region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-09-21,922,0,,,,,,,,,
Germany,2020-09-22,1821,10,,,,,,,,,
Germany,2020-09-23,1769,13,,,,,,,,,
Germany,2020-09-24,2143,19,,,,,,,,,
Germany,2020-09-25,2153,15,,,,,,,,,
Germany,2020-09-26,2507,9,,,,,,,,,
Germany,2020-09-27,1410,5,,,,,,,,,
Germany,2020-09-28,1192,3,,,,,,,,,
Germany,2020-09-29,2089,11,,,,,,,,,
Germany,2020-09-30,1798,17,,,,,,,,,
Germany,2020-10-01,2503,12,,,,,,,,,
Germany,2020-10-02,2673,8,,,,,,,,,
Germany,2020-10-03,2563,19,,,,,,,,,
Germany,2020-10-04,2279,2,,,,,,,,,
Germany,2020-10-05,1382,5,,,,,,,,,
Germany,2020-10-06,2639,12,,,,,,,,,
Germany,2020-10-07,2828,16,,,,,,,,,
Germany,2020-10-08,4058,16,,,,,,,,,
Germany,2020-10-09,4516,11,,,,,,,,,
Germany,2020-10-10,4721,15,,,,,,,,,
Germany,2020-10-11,3483,11,,,,,,,,,
Germany,2020-10-12,2467,6,,,,,,,,,
Germany,2020-10-13,4122,13,,,,,,,,,
Germany,2020-10-14,5132,43,,,,,,,,,
Germany,2020-10-15,6638,33,,,,,,,,,
Germany,2020-10-16,7334,24,,,,,,,,,
Germany,2020-10-17,7830,33,,,,,,,,,
Germany,2020-10-18,5587,10,,,,,,,,,
Germany,2020-10-19,4325,12,,,,,,,,,
Germany,2020-10-20,6868,47,,,,,,,,,
Germany,2020-10-21,7595,39,,,,,,,,,
Germany,2020-10-22,11287,30,,,,,,,,,
Germany,2020-10-23,11242,49,,,,,,,,,
Germany,2020-10-24,14714,49,,,,,,,,,
Germany,2020-10-25,11176,29,,,,,,,,,
Germany,2020-10-26,8685,24,,,,,,,,,
Germany,2020-10-27,11409,42,,,,,,,,,
Germany,2020-10-28,14964,85,,,,,,,,,
Germany,2020-10-29,16774,89,,,,,,,,,
Germany,2020-10-30,18681,77,,,,,,,,,
Germany,2020-10-31,19059,103,,,,,,,,,
Germany,2020-11-01,14177,29,,,,,,,,,
Germany,2020-11-02,12097,49,,,,,,,,,
Germany,2020-11-03,15352,131,,,,,,,,,
Germany,2020-11-04,17214,151,,,,,,,,,
Germany,2020-11-05,19990,118,,,,,,,,,
Germany,2020-11-06,21506,166,,,,,,,,,
Germany,2020-11-07,23399,130,,,,,,,,,
Germany,2020-11-08,16017,63,,,,,,,,,
Germany,2020-11-09,13363,63,,,,,,,,,
Germany,2020-11-10,15332,154,,,,,,,,,
Germany,2020-11-11,18487,261,,,,,,,,,
Germany,2020-11-12,21866,215,,,,,,,,,
Germany,2020-11-13,23542,218,,,,,,,,,
Germany,2020-11-14,22461,178,,,,,,,,,
Germany,2020-11-15,16947,107,,,,,,,,,
Germany,2020-11-16,10824,62,,,,,,,,,
Germany,2020-11-17,17465.5,,204.1,62,195,116.9,163,182,209,235,316
Germany,2020-11-18,18523,,297.2,90.9,286,168.9,237,266,307,343,459.1
Germany,2020-11-19,21938,,247.2,73.1,238,144,196,223,257,293.2,387
Germany,2020-11-20,21201.5,,261.9,85.7,254.5,143,206,236,271,303.2,409
Germany,2020-11-21,22028,,237.7,77.7,228,132.9,185,213,247,276,377
Germany,2020-11-22,14407,,101.8,35.6,96,56.9,79,90,104,118,165
Germany,2020-11-23,10588,,92.7,31.5,89,53,71,82,96,108,153
Germany,2020-11-24,16167.5,,229.2,77.6,221,120,176,203,237,271.2,364
Germany,2020-11-25,17180.5,,325.5,107,313,188.9,256.8,288.6,337,383,506
Germany,2020-11-26,20406,,274.3,92.3,263,151.9,214,240.6,282,322,433
Germany,2020-11-27,19843.5,,276.4,95.8,266,149.9,210,242,288,324,446
Germany,2020-11-28,20187,,252.3,82.2,241,143,196,223,262,293.2,407
Germany,2020-11-29,13330,,107.4,37.6,102,55,81,94,110,127,178
Germany,2020-11-30,9686,,98.7,36.2,93,50,74,86,102,116,169
Germany,2020-12-01,14882,,236.2,91.9,221.5,119,176,201,242.4,282.2,400
Germany,2020-12-02,15877,,334.2,122.7,319,158,252.8,293,349,400,557
Germany,2020-12-03,18560,,275.3,108.7,261,126,206,236,284.4,331,469.1
Germany,2020-12-04,18215,,281.6,115.9,264,130.9,208,242,289,335.2,468
Germany,2020-12-05,18561,,250.8,105.4,236,121.7,180.8,214,261,299,443.1
Germany,2020-12-06,12106.5,,105.7,44.3,100,48,75,89.6,109.4,128,183
Germany,2020-12-07,8944,,96.9,40.8,91,41,70,81,102,119,166
Germany,2020-12-08,13728.5,,235.6,108.9,216.5,97.9,163,195,242.4,291,437.1
Germany,2020-12-09,14442,,326,157.4,302.5,132,222,269,337.4,404.2,572.1
Germany,2020-12-10,17158,,280.8,145.1,255.5,109,186,229,288,343.2,527
