Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,26606 (12014 -- 73965),Likely increasing,1.2 (0.96 -- 1.5),0.048 (-0.01 -- 0.14),14 (5.1 -- -69)
Bavaria,44728 (22908 -- 94039),Likely increasing,1.2 (0.99 -- 1.5),0.056 (-0.0019 -- 0.12),12 (5.8 -- -370)
Berlin,5154 (2667 -- 11177),Likely increasing,1.1 (0.91 -- 1.3),0.025 (-0.026 -- 0.077),28 (9 -- -27)
Brandenburg,7564 (4140 -- 16414),Increasing,1.4 (1.1 -- 1.8),0.095 (0.039 -- 0.19),7.3 (3.6 -- 18)
Bremen,481 (261 -- 862),Likely increasing,1.1 (0.91 -- 1.4),0.039 (-0.024 -- 0.1),18 (6.6 -- -29)
Dolnośląskie,5657 (3341 -- 10307),Increasing,1.3 (1.1 -- 1.6),0.089 (0.027 -- 0.17),7.8 (4.1 -- 26)
Germany,176628 (84839 -- 380577),Likely increasing,1.2 (0.98 -- 1.5),0.057 (-0.0058 -- 0.13),12 (5.4 -- -120)
Hamburg,2274 (1041 -- 5518),Likely increasing,1.1 (0.94 -- 1.4),0.038 (-0.018 -- 0.11),18 (6.3 -- -40)
Hesse,10565 (4876 -- 23109),Likely increasing,1.2 (0.89 -- 1.5),0.055 (-0.031 -- 0.13),13 (5.4 -- -22)
Kujawsko-Pomorskie,3818 (2314 -- 6382),Increasing,1.3 (1.1 -- 1.5),0.08 (0.03 -- 0.12),8.7 (5.7 -- 23)
Lower Saxony,7966 (3814 -- 16690),Likely increasing,1.2 (0.93 -- 1.5),0.049 (-0.02 -- 0.13),14 (5.5 -- -34)
Lubelskie,7026 (3715 -- 14360),Likely increasing,1.1 (0.81 -- 1.4),0.015 (-0.054 -- 0.11),47 (6.1 -- -13)
Lubuskie,1626 (1016 -- 2787),Increasing,1.4 (1.2 -- 1.6),0.093 (0.044 -- 0.14),7.5 (4.8 -- 16)
Mazowieckie,19918 (13945 -- 30437),Increasing,1.3 (1.2 -- 1.4),0.078 (0.046 -- 0.1),8.9 (6.7 -- 15)
Małopolskie,6756 (4408 -- 11429),Increasing,1.4 (1.3 -- 1.6),0.11 (0.071 -- 0.15),6.5 (4.6 -- 9.8)
Mecklenburg-Vorpommern,1872 (1113 -- 3588),Increasing,1.2 (1.1 -- 1.5),0.058 (0.021 -- 0.13),12 (5.5 -- 33)
North Rhine-Westphalia,23716 (11386 -- 52943),Likely increasing,1.2 (0.95 -- 1.5),0.055 (-0.015 -- 0.13),13 (5.2 -- -46)
Opolskie,1512 (901 -- 2647),Increasing,1.3 (1.1 -- 1.6),0.082 (0.028 -- 0.15),8.5 (4.7 -- 25)
Podkarpackie,3733 (2104 -- 7534),Increasing,1.2 (1 -- 1.6),0.062 (0.005 -- 0.16),11 (4.3 -- 140)
Podlaskie,3966 (2361 -- 7042),Likely increasing,1.1 (0.91 -- 1.3),0.024 (-0.026 -- 0.075),29 (9.3 -- -27)
Poland,78425 (55252 -- 120642),Increasing,1.3 (1.1 -- 1.4),0.071 (0.039 -- 0.11),9.8 (6.2 -- 18)
Pomorskie,5515 (3430 -- 9333),Increasing,1.3 (1.2 -- 1.6),0.09 (0.052 -- 0.14),7.7 (4.9 -- 13)
Rhineland-Palatinate,5675 (2744 -- 13261),Likely increasing,1.3 (0.98 -- 1.7),0.07 (-0.0065 -- 0.18),9.9 (3.8 -- -110)
Saarland,1200 (609 -- 3003),Increasing,1.3 (1.1 -- 1.9),0.08 (0.017 -- 0.22),8.7 (3.2 -- 41)
Saxony,20512 (10611 -- 43172),Increasing,1.3 (1.1 -- 1.5),0.067 (0.022 -- 0.13),10 (5.5 -- 32)
Saxony-Anhalt,3916 (2213 -- 7662),Increasing,1.2 (1 -- 1.4),0.056 (0.011 -- 0.11),12 (6.3 -- 61)
Schleswig-Holstein,1779 (859 -- 3472),Likely increasing,1.1 (0.85 -- 1.3),0.028 (-0.043 -- 0.091),25 (7.6 -- -16)
Thuringia,8940 (4984 -- 18398),Increasing,1.2 (1 -- 1.4),0.049 (0.0055 -- 0.1),14 (6.6 -- 130)
Warmińsko-Mazurskie,3986 (2451 -- 6936),Increasing,1.3 (1.2 -- 1.5),0.091 (0.043 -- 0.14),7.7 (5 -- 16)
Wielkopolskie,5824 (3716 -- 10576),Increasing,1.4 (1.2 -- 1.7),0.11 (0.065 -- 0.18),6.5 (3.8 -- 11)
Zachodniopomorskie,4727 (3086 -- 8077),Increasing,1.3 (1.1 -- 1.4),0.072 (0.04 -- 0.1),9.7 (6.7 -- 17)
Łódzkie,7795 (4755 -- 13586),Increasing,1.4 (1.2 -- 1.7),0.1 (0.054 -- 0.17),6.7 (4.1 -- 13)
Śląskie,8321 (5328 -- 14090),Increasing,1.4 (1.3 -- 1.6),0.11 (0.068 -- 0.15),6.6 (4.5 -- 10)
Świętokrzyskie,1676 (975 -- 2946),Increasing,1.3 (1.1 -- 1.5),0.081 (0.027 -- 0.14),8.6 (4.9 -- 25)
