Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,508 (102 -- 2243),Likely decreasing,0.81 (0.53 -- 1.2),-0.054 (-0.14 -- 0.043),-13 (16 -- -4.9)
Bavaria,744 (150 -- 2616),Likely decreasing,0.85 (0.55 -- 1.2),-0.043 (-0.13 -- 0.041),-16 (17 -- -5.2)
Berlin,19 (0 -- 620),Likely decreasing,0.56 (0.093 -- 1.3),-0.13 (-0.32 -- 0.084),-5.3 (8.2 -- -2.2)
Brandenburg,89 (5 -- 579),Likely decreasing,0.78 (0.38 -- 1.2),-0.062 (-0.19 -- 0.049),-11 (14 -- -3.6)
Bremen,32 (1 -- 1157),Likely decreasing,0.9 (0.47 -- 2),-0.029 (-0.16 -- 0.25),-24 (2.8 -- -4.3)
Dolnośląskie,228 (35 -- 1870),Likely decreasing,0.78 (0.5 -- 1.3),-0.061 (-0.15 -- 0.088),-11 (7.9 -- -4.6)
Germany,5543 (1734 -- 14628),Likely decreasing,0.84 (0.6 -- 1.1),-0.045 (-0.12 -- 0.016),-15 (43 -- -5.8)
Hamburg,121 (9 -- 703),Likely decreasing,0.9 (0.45 -- 1.3),-0.028 (-0.17 -- 0.078),-25 (8.9 -- -4.1)
Hesse,473 (60 -- 2060),Likely decreasing,0.85 (0.46 -- 1.2),-0.043 (-0.16 -- 0.049),-16 (14 -- -4.3)
Kujawsko-Pomorskie,184 (28 -- 2083),Likely decreasing,0.83 (0.56 -- 1.6),-0.047 (-0.13 -- 0.14),-15 (4.9 -- -5.3)
Lower Saxony,599 (114 -- 1853),Likely decreasing,0.89 (0.62 -- 1.1),-0.03 (-0.11 -- 0.019),-23 (36 -- -6.1)
Lubelskie,338 (54 -- 1403),Likely decreasing,0.86 (0.57 -- 1.2),-0.039 (-0.13 -- 0.043),-18 (16 -- -5.5)
Lubuskie,28 (0 -- 265),Likely decreasing,0.69 (0.24 -- 1.1),-0.09 (-0.24 -- 0.026),-7.7 (27 -- -2.8)
Mazowieckie,313 (54 -- 1699),Likely decreasing,0.82 (0.52 -- 1.3),-0.051 (-0.14 -- 0.083),-14 (8.4 -- -4.8)
Małopolskie,415 (62 -- 2359),Likely decreasing,0.81 (0.49 -- 1.1),-0.055 (-0.15 -- 0.033),-13 (21 -- -4.6)
Mecklenburg-Vorpommern,582 (50 -- 46554),Stable,1.1 (0.65 -- 3.3),0.03 (-0.1 -- 0.53),23 (1.3 -- -6.8)
North Rhine-Westphalia,1510 (360 -- 5997),Likely decreasing,0.89 (0.63 -- 1.3),-0.031 (-0.11 -- 0.074),-22 (9.4 -- -6.3)
Opolskie,21 (0 -- 277),Likely decreasing,0.67 (0.23 -- 1.1),-0.098 (-0.25 -- 0.02),-7.1 (35 -- -2.8)
Podkarpackie,54 (2 -- 414),Likely decreasing,0.68 (0.3 -- 1.1),-0.092 (-0.22 -- 0.035),-7.5 (20 -- -3.1)
Podlaskie,141 (16 -- 807),Likely decreasing,0.85 (0.52 -- 1.3),-0.042 (-0.14 -- 0.068),-17 (10 -- -4.9)
Poland,2539 (556 -- 9982),Likely decreasing,0.78 (0.52 -- 1.1),-0.063 (-0.14 -- 0.031),-11 (22 -- -4.8)
Pomorskie,25 (0 -- 528),Likely decreasing,0.66 (0.26 -- 1.4),-0.099 (-0.24 -- 0.1),-7 (6.9 -- -2.9)
Rhineland-Palatinate,524 (113 -- 2008),Likely decreasing,0.94 (0.69 -- 1.2),-0.018 (-0.09 -- 0.064),-39 (11 -- -7.7)
Saarland,12 (0 -- 418),Likely decreasing,0.63 (0.061 -- 1.2),-0.11 (-0.32 -- 0.045),-6.5 (15 -- -2.2)
Saxony,2133 (64 -- 10114),Likely decreasing,0.9 (0.25 -- 1.3),-0.029 (-0.24 -- 0.07),-24 (9.9 -- -2.9)
Saxony-Anhalt,542 (41 -- 3103),Likely decreasing,0.88 (0.51 -- 1.2),-0.035 (-0.15 -- 0.047),-20 (15 -- -4.7)
Schleswig-Holstein,80 (4 -- 487),Likely decreasing,0.82 (0.39 -- 1.2),-0.05 (-0.19 -- 0.05),-14 (14 -- -3.7)
Thuringia,371 (45 -- 2036),Likely decreasing,0.84 (0.49 -- 1.2),-0.045 (-0.15 -- 0.056),-16 (12 -- -4.5)
Warmińsko-Mazurskie,177 (10 -- 734),Likely decreasing,0.86 (0.42 -- 1.1),-0.039 (-0.18 -- 0.027),-18 (26 -- -3.9)
Wielkopolskie,413 (73 -- 2613),Likely decreasing,0.84 (0.55 -- 1.4),-0.045 (-0.13 -- 0.11),-15 (6.4 -- -5.1)
Zachodniopomorskie,179 (22 -- 1315),Likely decreasing,0.83 (0.49 -- 1.4),-0.049 (-0.15 -- 0.093),-14 (7.5 -- -4.5)
Łódzkie,332 (50 -- 2534),Likely decreasing,0.82 (0.51 -- 1.3),-0.05 (-0.15 -- 0.081),-14 (8.5 -- -4.7)
Śląskie,118 (3 -- 928),Decreasing,0.6 (0.21 -- 1),-0.12 (-0.26 -- 0.0037),-5.9 (190 -- -2.7)
Świętokrzyskie,268 (38 -- 1746),Likely decreasing,0.84 (0.53 -- 1.3),-0.045 (-0.14 -- 0.082),-16 (8.4 -- -5)
