region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Poland,10117,2725,20608,5049,11508,6963,9244,New confirmed cases by infection date,Likely increasing
Germany,8508,3889,16364,5196,9259,6008,7361,New confirmed cases by infection date,Increasing
Germany,1.4,1.1,1.8,1.2,1.4,1.2,1.3,Effective reproduction no.,Increasing
Poland,1.4,0.9,2,1.2,1.6,1.3,1.5,Effective reproduction no.,Likely increasing
