Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,594 (193 -- 3328),Likely decreasing,0.94 (0.73 -- 1.4),-0.018 (-0.077 -- 0.096),-39 (7.2 -- -9)
Bavaria,1667 (452 -- 11752),Stable,1 (0.76 -- 1.6),0.003 (-0.069 -- 0.14),230 (4.8 -- -10)
Berlin,31 (0 -- 491),Likely decreasing,0.77 (0.33 -- 1.4),-0.066 (-0.21 -- 0.1),-10 (6.9 -- -3.3)
Brandenburg,148 (21 -- 872),Likely decreasing,0.92 (0.61 -- 1.3),-0.022 (-0.11 -- 0.091),-31 (7.6 -- -6.1)
Bremen,42 (2 -- 777),Likely decreasing,0.93 (0.49 -- 1.7),-0.019 (-0.15 -- 0.17),-36 (4 -- -4.6)
Dolnośląskie,11 (0 -- 623),Likely decreasing,0.87 (0.44 -- 2),-0.037 (-0.17 -- 0.26),-19 (2.7 -- -4)
Germany,6220 (2188 -- 30868),Likely decreasing,0.96 (0.76 -- 1.4),-0.012 (-0.069 -- 0.097),-58 (7.1 -- -10)
Hamburg,474 (86 -- 6655),Stable,1 (0.68 -- 1.7),0.00033 (-0.094 -- 0.18),2100 (3.9 -- -7.4)
Hesse,997 (194 -- 5128),Stable,0.99 (0.67 -- 1.3),-0.003 (-0.096 -- 0.089),-230 (7.8 -- -7.2)
Kujawsko-Pomorskie,5 (0 -- 358),Likely decreasing,0.86 (0.37 -- 2),-0.04 (-0.2 -- 0.25),-17 (2.8 -- -3.5)
Lower Saxony,1675 (409 -- 10798),Likely decreasing,0.97 (0.73 -- 1.4),-0.0093 (-0.079 -- 0.11),-74 (6.4 -- -8.8)
Lubelskie,3 (0 -- 54),Likely decreasing,0.79 (0.18 -- 1.3),-0.06 (-0.27 -- 0.081),-12 (8.5 -- -2.5)
Lubuskie,0 (0 -- 6),Likely decreasing,0.37 (0.017 -- 1.6),-0.2 (-0.37 -- 0.16),-3.5 (4.4 -- -1.9)
Mazowieckie,57 (4 -- 348),Likely decreasing,0.9 (0.55 -- 1.3),-0.028 (-0.14 -- 0.077),-25 (9 -- -5.1)
Małopolskie,72 (0 -- 184813),Stable,1.2 (0.56 -- 6.2),0.047 (-0.13 -- 1),15 (0.67 -- -5.2)
Mecklenburg-Vorpommern,78 (16 -- 670),Likely decreasing,0.92 (0.69 -- 1.4),-0.022 (-0.091 -- 0.092),-31 (7.5 -- -7.6)
North Rhine-Westphalia,4562 (770 -- 57187),Likely increasing,1.2 (0.83 -- 2.3),0.063 (-0.046 -- 0.32),11 (2.2 -- -15)
Opolskie,95 (5 -- 73980),Likely increasing,1.1 (0.7 -- 4.8),0.033 (-0.086 -- 0.78),21 (0.89 -- -8)
Podkarpackie,10 (0 -- 114),Likely decreasing,0.87 (0.32 -- 1.3),-0.035 (-0.21 -- 0.073),-20 (9.5 -- -3.3)
Podlaskie,39 (1 -- 2855),Stable,1 (0.5 -- 2.4),0.012 (-0.15 -- 0.33),57 (2.1 -- -4.6)
Poland,209 (70 -- 1038),Likely decreasing,0.9 (0.72 -- 1.3),-0.028 (-0.081 -- 0.066),-24 (11 -- -8.6)
Pomorskie,18 (0 -- 446),Likely decreasing,0.88 (0.37 -- 1.6),-0.033 (-0.2 -- 0.16),-21 (4.4 -- -3.6)
Rhineland-Palatinate,342 (81 -- 3489),Stable,0.97 (0.68 -- 1.6),-0.0094 (-0.092 -- 0.16),-74 (4.3 -- -7.5)
Saarland,140 (18 -- 1330),Likely decreasing,0.95 (0.58 -- 1.5),-0.014 (-0.12 -- 0.13),-48 (5.3 -- -5.7)
Saxony,239 (59 -- 3095),Likely decreasing,0.92 (0.68 -- 1.6),-0.023 (-0.091 -- 0.16),-31 (4.5 -- -7.6)
Saxony-Anhalt,131 (29 -- 626),Likely decreasing,0.9 (0.66 -- 1.2),-0.027 (-0.1 -- 0.06),-26 (11 -- -6.9)
Schleswig-Holstein,198 (20 -- 877),Likely decreasing,0.93 (0.57 -- 1.2),-0.02 (-0.13 -- 0.054),-34 (13 -- -5.4)
Thuringia,164 (7 -- 896),Likely decreasing,0.87 (0.42 -- 1.2),-0.037 (-0.18 -- 0.059),-19 (12 -- -3.8)
Warmińsko-Mazurskie,16 (0 -- 325),Likely decreasing,0.92 (0.34 -- 1.5),-0.023 (-0.21 -- 0.14),-31 (4.9 -- -3.4)
Wielkopolskie,0 (0 -- 10),Likely decreasing,0.51 (0.056 -- 1.5),-0.15 (-0.34 -- 0.12),-4.7 (5.6 -- -2.1)
Zachodniopomorskie,0 (0 -- 29),Likely decreasing,0.75 (0.13 -- 1.5),-0.073 (-0.29 -- 0.11),-9.5 (6.1 -- -2.4)
Łódzkie,5 (0 -- 124),Likely decreasing,0.68 (0.059 -- 1.4),-0.092 (-0.34 -- 0.093),-7.5 (7.5 -- -2.1)
Śląskie,2 (0 -- 56),Likely decreasing,0.77 (0.27 -- 1.3),-0.066 (-0.23 -- 0.078),-11 (8.9 -- -3)
Świętokrzyskie,21 (0 -- 786),Likely decreasing,0.91 (0.49 -- 1.9),-0.025 (-0.15 -- 0.23),-28 (3 -- -4.5)
