Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,3136 (1772 -- 7326),Stable,1 (0.9 -- 1.3),-0.00089 (-0.029 -- 0.088),-780 (7.9 -- -24)
Bavaria,4432 (2685 -- 8840),Stable,1 (0.9 -- 1.3),0.00093 (-0.028 -- 0.069),740 (10 -- -25)
Berlin,1985 (967 -- 5170),Likely increasing,1.1 (0.93 -- 1.6),0.036 (-0.02 -- 0.15),19 (4.7 -- -34)
Brandenburg,1145 (463 -- 3262),Stable,1 (0.77 -- 1.5),0.01 (-0.066 -- 0.13),68 (5.2 -- -10)
Bremen,392 (222 -- 778),Likely increasing,1 (0.92 -- 1.2),0.0088 (-0.021 -- 0.06),79 (12 -- -33)
Dolnośląskie,5463 (3119 -- 10267),Increasing,1.3 (1.1 -- 1.7),0.089 (0.027 -- 0.17),7.8 (4.1 -- 26)
Germany,43037 (24256 -- 77643),Likely increasing,1.1 (0.91 -- 1.4),0.03 (-0.026 -- 0.1),23 (6.7 -- -27)
Hamburg,868 (514 -- 1723),Stable,1 (0.9 -- 1.2),0.0036 (-0.028 -- 0.059),190 (12 -- -25)
Hesse,2188 (1307 -- 4595),Stable,0.99 (0.9 -- 1.3),-0.0025 (-0.027 -- 0.073),-270 (9.5 -- -26)
Kujawsko-Pomorskie,3261 (1868 -- 5856),Likely increasing,1.1 (0.9 -- 1.4),0.03 (-0.027 -- 0.093),23 (7.5 -- -25)
Lower Saxony,3464 (2214 -- 6060),Stable,1 (0.92 -- 1.2),0.00056 (-0.022 -- 0.049),1200 (14 -- -31)
Lubelskie,2025 (1266 -- 3642),Increasing,1.1 (1 -- 1.3),0.037 (0.0027 -- 0.088),19 (7.9 -- 250)
Lubuskie,2341 (1381 -- 4393),Increasing,1.2 (1 -- 1.4),0.058 (0.0099 -- 0.12),12 (6 -- 70)
Mazowieckie,13453 (8157 -- 23704),Increasing,1.3 (1.1 -- 1.6),0.077 (0.021 -- 0.15),9.1 (4.7 -- 33)
Małopolskie,5135 (2665 -- 10467),Increasing,1.4 (1.1 -- 1.8),0.1 (0.026 -- 0.2),6.9 (3.5 -- 26)
Mecklenburg-Vorpommern,885 (491 -- 1780),Likely increasing,1.1 (0.91 -- 1.4),0.024 (-0.025 -- 0.099),29 (7 -- -28)
North Rhine-Westphalia,7124 (4025 -- 15508),Stable,1 (0.91 -- 1.3),0.0077 (-0.025 -- 0.088),89 (7.9 -- -28)
Opolskie,674 (366 -- 1274),Likely increasing,1.1 (0.92 -- 1.4),0.039 (-0.022 -- 0.11),18 (6.1 -- -31)
Podkarpackie,4587 (1537 -- 15075),Likely increasing,1.3 (0.73 -- 2.3),0.075 (-0.078 -- 0.31),9.2 (2.2 -- -8.9)
Podlaskie,1241 (852 -- 2030),Likely increasing,1.1 (0.99 -- 1.2),0.023 (-0.0023 -- 0.066),30 (11 -- -300)
Poland,67622 (41721 -- 115303),Increasing,1.2 (1 -- 1.5),0.066 (0.0069 -- 0.13),10 (5.2 -- 100)
Pomorskie,5551 (3259 -- 9424),Likely increasing,1.2 (0.97 -- 1.4),0.049 (-0.007 -- 0.1),14 (6.8 -- -99)
Rhineland-Palatinate,1021 (622 -- 1942),Likely decreasing,0.94 (0.85 -- 1.1),-0.018 (-0.041 -- 0.034),-39 (20 -- -17)
Saarland,423 (236 -- 1074),Likely decreasing,0.96 (0.86 -- 1.3),-0.0097 (-0.038 -- 0.067),-72 (10 -- -18)
Saxony,2981 (1556 -- 6058),Likely increasing,1.1 (0.93 -- 1.5),0.04 (-0.02 -- 0.12),17 (5.6 -- -35)
Saxony-Anhalt,1367 (643 -- 3074),Likely increasing,1.1 (0.83 -- 1.4),0.02 (-0.049 -- 0.11),34 (6.3 -- -14)
Schleswig-Holstein,772 (487 -- 1409),Likely decreasing,0.96 (0.88 -- 1.1),-0.011 (-0.035 -- 0.039),-64 (18 -- -20)
Thuringia,1879 (1044 -- 3493),Likely increasing,1.1 (0.85 -- 1.3),0.019 (-0.04 -- 0.084),36 (8.2 -- -17)
Warmińsko-Mazurskie,4295 (2308 -- 8113),Likely increasing,1.2 (0.9 -- 1.4),0.044 (-0.027 -- 0.11),16 (6.1 -- -25)
Wielkopolskie,4994 (2904 -- 9544),Increasing,1.2 (1 -- 1.5),0.062 (0.0066 -- 0.13),11 (5.2 -- 110)
Zachodniopomorskie,1856 (1005 -- 3479),Likely increasing,1.1 (0.89 -- 1.4),0.034 (-0.032 -- 0.1),20 (6.9 -- -22)
Łódzkie,2998 (1696 -- 5400),Increasing,1.2 (1 -- 1.5),0.056 (0.00056 -- 0.12),12 (5.7 -- 1200)
Śląskie,7514 (4470 -- 13869),Increasing,1.3 (1.1 -- 1.6),0.08 (0.024 -- 0.15),8.6 (4.5 -- 29)
Świętokrzyskie,1217 (695 -- 2404),Increasing,1.2 (1 -- 1.5),0.055 (0.0036 -- 0.14),13 (5 -- 190)
