region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Poland,75871 (34579 -- 148392),75871,82218,41828,34579,54667,66366,83576,99989,148392,New confirmed cases by infection date,Likely increasing,0.19
Germany,46391 (30263 -- 71937),46391,47957,12984,30263,38674,43703,49042,54808,71937,New confirmed cases by infection date,Likely increasing,0.34
Poland,1.1 (0.86 -- 1.5),1.1,1.2,0.2,0.86,1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.19
Germany,1 (0.87 -- 1.3),1,1.1,0.13,0.87,0.97,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.34
