Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,102 (7 -- 452),Likely decreasing,0.86 (0.47 -- 1.3),-0.038 (-0.16 -- 0.07),-18 (9.9 -- -4.3)
Bavaria,234 (3 -- 3761),Likely decreasing,0.88 (0.21 -- 1.8),-0.034 (-0.26 -- 0.19),-20 (3.6 -- -2.7)
Berlin,8 (0 -- 133),Likely decreasing,0.81 (0.091 -- 1.4),-0.054 (-0.32 -- 0.11),-13 (6.1 -- -2.2)
Brandenburg,1 (0 -- 274),Likely decreasing,0.72 (0.13 -- 1.9),-0.079 (-0.29 -- 0.23),-8.8 (3 -- -2.4)
Bremen,44 (2 -- 2852),Stable,1 (0.6 -- 2.4),0.0016 (-0.12 -- 0.32),430 (2.2 -- -5.9)
Dolnośląskie,9 (0 -- 607),Likely decreasing,0.84 (0.4 -- 2),-0.044 (-0.19 -- 0.24),-16 (2.9 -- -3.7)
Germany,1290 (430 -- 4034),Likely decreasing,0.96 (0.72 -- 1.3),-0.011 (-0.081 -- 0.074),-66 (9.4 -- -8.5)
Hamburg,40 (0 -- 418),Likely decreasing,0.83 (0.083 -- 1.2),-0.048 (-0.32 -- 0.062),-14 (11 -- -2.2)
Hesse,245 (24 -- 2217),Stable,0.99 (0.53 -- 1.6),-0.0031 (-0.14 -- 0.15),-220 (4.5 -- -4.9)
Kujawsko-Pomorskie,1 (0 -- 54),Likely decreasing,0.73 (0.091 -- 1.4),-0.078 (-0.32 -- 0.11),-8.9 (6.2 -- -2.2)
Lower Saxony,84 (13 -- 1048),Likely decreasing,0.93 (0.6 -- 1.5),-0.018 (-0.12 -- 0.14),-38 (4.9 -- -5.8)
Lubelskie,9 (0 -- 305),Likely decreasing,0.84 (0.35 -- 1.6),-0.045 (-0.2 -- 0.16),-15 (4.2 -- -3.5)
Lubuskie,0 (0 -- 47),Likely decreasing,0.76 (0.11 -- 1.5),-0.069 (-0.31 -- 0.13),-10 (5.5 -- -2.3)
Mazowieckie,85 (2 -- 8143),Stable,1.1 (0.48 -- 3.1),0.034 (-0.16 -- 0.47),20 (1.5 -- -4.4)
Małopolskie,3 (0 -- 1466),Likely decreasing,0.83 (0.25 -- 2.7),-0.05 (-0.24 -- 0.41),-14 (1.7 -- -2.9)
Mecklenburg-Vorpommern,29 (0 -- 48757),Likely decreasing,0.9 (0.29 -- 6.6),-0.027 (-0.23 -- 1.1),-26 (0.62 -- -3.1)
North Rhine-Westphalia,1862 (247 -- 19795),Likely increasing,1.3 (0.78 -- 2.4),0.079 (-0.063 -- 0.32),8.8 (2.1 -- -11)
Opolskie,0 (0 -- 124),Likely decreasing,0.75 (0.097 -- 2.1),-0.071 (-0.31 -- 0.26),-9.8 (2.6 -- -2.2)
Podkarpackie,4 (0 -- 60),Likely decreasing,0.81 (0.14 -- 1.3),-0.054 (-0.29 -- 0.08),-13 (8.6 -- -2.4)
Podlaskie,4 (0 -- 302),Likely decreasing,0.85 (0.065 -- 1.9),-0.043 (-0.33 -- 0.23),-16 (3.1 -- -2.1)
Poland,125 (30 -- 690),Likely decreasing,0.9 (0.63 -- 1.3),-0.027 (-0.11 -- 0.082),-26 (8.4 -- -6.4)
Pomorskie,3 (0 -- 197),Likely decreasing,0.79 (0.2 -- 1.7),-0.06 (-0.26 -- 0.17),-12 (4 -- -2.7)
Rhineland-Palatinate,7 (0 -- 1829),Likely decreasing,0.54 (0.017 -- 2.5),-0.14 (-0.36 -- 0.34),-5.1 (2 -- -1.9)
Saarland,0 (0 -- 21),Likely decreasing,0.53 (0.019 -- 1.6),-0.14 (-0.36 -- 0.15),-5 (4.6 -- -1.9)
Saxony,254 (24 -- 4511),Likely increasing,1.1 (0.59 -- 2.2),0.033 (-0.12 -- 0.29),21 (2.4 -- -5.8)
Saxony-Anhalt,3 (0 -- 217),Likely decreasing,0.59 (0.0078 -- 1.6),-0.12 (-0.37 -- 0.15),-5.7 (4.7 -- -1.9)
Schleswig-Holstein,30 (0 -- 1101),Likely decreasing,0.94 (0.18 -- 2.4),-0.016 (-0.27 -- 0.33),-42 (2.1 -- -2.5)
Thuringia,33 (1 -- 248),Likely decreasing,0.87 (0.38 -- 1.6),-0.037 (-0.19 -- 0.17),-19 (4.2 -- -3.7)
Warmińsko-Mazurskie,0 (0 -- 43),Likely decreasing,0.71 (0.066 -- 1.4),-0.082 (-0.33 -- 0.1),-8.4 (6.7 -- -2.1)
Wielkopolskie,1 (0 -- 62),Likely decreasing,0.62 (0.015 -- 1.6),-0.11 (-0.36 -- 0.15),-6.2 (4.6 -- -1.9)
Zachodniopomorskie,1 (0 -- 184),Likely decreasing,0.78 (0.17 -- 1.8),-0.063 (-0.28 -- 0.19),-11 (3.7 -- -2.5)
Łódzkie,0 (0 -- 9),Likely decreasing,0.54 (0.011 -- 1.3),-0.14 (-0.35 -- 0.094),-5 (7.3 -- -2)
Śląskie,84 (0 -- 6862),Stable,1.1 (0.24 -- 3.1),0.025 (-0.25 -- 0.49),27 (1.4 -- -2.8)
Świętokrzyskie,6 (0 -- 1184),Likely decreasing,0.86 (0.3 -- 2.4),-0.041 (-0.23 -- 0.33),-17 (2.1 -- -3.1)
