Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1962 (574 -- 5757),Likely decreasing,0.94 (0.69 -- 1.2),-0.017 (-0.089 -- 0.051),-40 (14 -- -7.8)
Bavaria,5448 (2513 -- 12033),Likely increasing,1 (0.87 -- 1.2),0.0067 (-0.037 -- 0.065),100 (11 -- -19)
Berlin,773 (115 -- 3299),Stable,1 (0.72 -- 1.3),-0.00028 (-0.081 -- 0.085),-2500 (8.2 -- -8.6)
Brandenburg,771 (204 -- 2129),Likely decreasing,0.99 (0.74 -- 1.2),-0.004 (-0.076 -- 0.053),-170 (13 -- -9.2)
Bremen,92 (7 -- 429),Likely decreasing,0.93 (0.5 -- 1.2),-0.019 (-0.15 -- 0.058),-37 (12 -- -4.6)
Dolnośląskie,236 (26 -- 2034),Likely decreasing,0.87 (0.46 -- 1.5),-0.036 (-0.16 -- 0.14),-20 (5 -- -4.2)
Germany,25780 (14692 -- 49523),Likely increasing,1 (0.9 -- 1.2),0.0084 (-0.027 -- 0.057),82 (12 -- -26)
Hamburg,796 (134 -- 10176),Stable,0.99 (0.66 -- 1.7),-0.0015 (-0.097 -- 0.18),-460 (3.9 -- -7.1)
Hesse,2653 (607 -- 11633),Stable,1 (0.72 -- 1.4),-0.00048 (-0.08 -- 0.094),-1400 (7.4 -- -8.7)
Kujawsko-Pomorskie,489 (150 -- 1464),Likely decreasing,0.91 (0.66 -- 1.2),-0.025 (-0.098 -- 0.048),-28 (14 -- -7.1)
Lower Saxony,3956 (991 -- 17312),Likely increasing,1 (0.73 -- 1.5),0.013 (-0.077 -- 0.14),55 (5.1 -- -9)
Lubelskie,106 (15 -- 597),Likely decreasing,0.78 (0.46 -- 1.2),-0.062 (-0.16 -- 0.054),-11 (13 -- -4.2)
Lubuskie,344 (50 -- 1440),Likely decreasing,0.92 (0.57 -- 1.2),-0.023 (-0.13 -- 0.064),-31 (11 -- -5.5)
Mazowieckie,546 (65 -- 2731),Likely decreasing,0.88 (0.39 -- 1.4),-0.033 (-0.19 -- 0.098),-21 (7.1 -- -3.7)
Małopolskie,196 (27 -- 811),Likely decreasing,0.81 (0.5 -- 1.1),-0.053 (-0.15 -- 0.036),-13 (19 -- -4.6)
Mecklenburg-Vorpommern,1220 (425 -- 2716),Likely increasing,1 (0.82 -- 1.2),0.012 (-0.052 -- 0.058),56 (12 -- -13)
North Rhine-Westphalia,7699 (2898 -- 25131),Likely increasing,1.1 (0.82 -- 1.5),0.02 (-0.05 -- 0.12),35 (5.6 -- -14)
Opolskie,32 (1 -- 270),Likely decreasing,0.75 (0.35 -- 1.3),-0.071 (-0.2 -- 0.069),-9.8 (10 -- -3.4)
Podkarpackie,131 (14 -- 843),Likely decreasing,0.79 (0.45 -- 1.2),-0.06 (-0.17 -- 0.045),-11 (15 -- -4.2)
Podlaskie,456 (63 -- 7963),Likely increasing,1.1 (0.68 -- 2.3),0.035 (-0.093 -- 0.32),20 (2.2 -- -7.4)
Poland,4726 (1444 -- 15730),Likely decreasing,0.91 (0.6 -- 1.3),-0.026 (-0.12 -- 0.075),-27 (9.2 -- -5.9)
Pomorskie,1732 (233 -- 51013),Likely increasing,1.2 (0.71 -- 2.7),0.044 (-0.084 -- 0.4),16 (1.7 -- -8.3)
Rhineland-Palatinate,1359 (424 -- 4560),Stable,1 (0.77 -- 1.4),0.0036 (-0.065 -- 0.1),190 (6.7 -- -11)
Saarland,904 (279 -- 2613),Likely increasing,1.1 (0.81 -- 1.3),0.015 (-0.053 -- 0.075),45 (9.2 -- -13)
Saxony,2586 (543 -- 10894),Likely increasing,1.1 (0.67 -- 1.5),0.017 (-0.096 -- 0.14),40 (5.1 -- -7.2)
Saxony-Anhalt,1057 (231 -- 3426),Stable,1 (0.65 -- 1.3),0.0016 (-0.1 -- 0.091),450 (7.6 -- -6.9)
Schleswig-Holstein,1268 (406 -- 3974),Stable,1 (0.77 -- 1.2),0.0023 (-0.063 -- 0.054),310 (13 -- -11)
Thuringia,1282 (517 -- 6626),Likely increasing,1 (0.85 -- 1.5),0.0091 (-0.042 -- 0.12),76 (5.6 -- -16)
Warmińsko-Mazurskie,139 (22 -- 625),Likely decreasing,0.83 (0.53 -- 1.2),-0.049 (-0.14 -- 0.047),-14 (15 -- -5)
Wielkopolskie,692 (276 -- 2654),Likely decreasing,0.94 (0.79 -- 1.3),-0.017 (-0.058 -- 0.085),-40 (8.1 -- -12)
Zachodniopomorskie,180 (27 -- 745),Likely decreasing,0.82 (0.51 -- 1.1),-0.052 (-0.15 -- 0.031),-13 (22 -- -4.7)
Łódzkie,437 (113 -- 1497),Likely decreasing,0.89 (0.65 -- 1.2),-0.03 (-0.1 -- 0.064),-23 (11 -- -6.9)
Śląskie,382 (52 -- 2508),Likely decreasing,0.83 (0.49 -- 1.3),-0.049 (-0.15 -- 0.083),-14 (8.4 -- -4.5)
Świętokrzyskie,124 (11 -- 585),Likely decreasing,0.8 (0.44 -- 1.1),-0.056 (-0.17 -- 0.036),-12 (19 -- -4)
