Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,2149 (626 -- 7651),Likely decreasing,0.9 (0.68 -- 1.2),-0.027 (-0.092 -- 0.058),-26 (12 -- -7.5)
Bavaria,2273 (496 -- 8636),Likely decreasing,0.89 (0.59 -- 1.3),-0.03 (-0.12 -- 0.07),-23 (9.9 -- -5.7)
Berlin,542 (73 -- 4229),Stable,0.97 (0.59 -- 1.6),-0.0074 (-0.12 -- 0.15),-94 (4.7 -- -5.8)
Brandenburg,544 (59 -- 2812),Likely decreasing,0.81 (0.45 -- 1.1),-0.054 (-0.17 -- 0.035),-13 (20 -- -4.1)
Bremen,554 (101 -- 3943),Likely increasing,1 (0.79 -- 1.6),0.012 (-0.058 -- 0.14),59 (4.8 -- -12)
Dolnośląskie,1437 (196 -- 8606),Likely decreasing,0.84 (0.51 -- 1.3),-0.044 (-0.15 -- 0.069),-16 (10 -- -4.7)
Germany,25940 (9055 -- 134574),Stable,0.99 (0.74 -- 1.7),-0.0036 (-0.075 -- 0.17),-190 (4 -- -9.3)
Hamburg,2614 (757 -- 29190),Likely increasing,1.1 (0.97 -- 2),0.039 (-0.0088 -- 0.25),18 (2.8 -- -79)
Hesse,2027 (478 -- 9582),Stable,1 (0.72 -- 1.5),0.0029 (-0.081 -- 0.12),240 (6 -- -8.5)
Kujawsko-Pomorskie,1057 (251 -- 5165),Likely decreasing,0.84 (0.61 -- 1.2),-0.045 (-0.12 -- 0.054),-15 (13 -- -5.9)
Lower Saxony,838 (137 -- 3116),Likely decreasing,0.92 (0.58 -- 1.2),-0.023 (-0.12 -- 0.055),-30 (13 -- -5.6)
Lubelskie,894 (324 -- 2633),Likely decreasing,0.9 (0.73 -- 1.1),-0.028 (-0.078 -- 0.033),-25 (21 -- -8.9)
Lubuskie,306 (17 -- 3258),Likely decreasing,0.77 (0.35 -- 1.2),-0.066 (-0.2 -- 0.059),-11 (12 -- -3.5)
Mazowieckie,1641 (320 -- 5603),Likely decreasing,0.81 (0.55 -- 1),-0.053 (-0.13 -- 0.011),-13 (61 -- -5.1)
Małopolskie,1625 (267 -- 10781),Likely decreasing,0.83 (0.53 -- 1.2),-0.047 (-0.14 -- 0.065),-15 (11 -- -5)
Mecklenburg-Vorpommern,217 (4 -- 1484),Likely decreasing,0.75 (0.22 -- 1.1),-0.071 (-0.26 -- 0.019),-9.8 (36 -- -2.7)
North Rhine-Westphalia,19865 (4940 -- 138610),Likely increasing,1.4 (0.96 -- 2.4),0.1 (-0.011 -- 0.33),6.9 (2.1 -- -62)
Opolskie,647 (108 -- 3963),Likely decreasing,0.84 (0.52 -- 1.2),-0.045 (-0.14 -- 0.066),-15 (11 -- -4.9)
Podkarpackie,3404 (907 -- 29362),Stable,0.98 (0.76 -- 1.6),-0.0045 (-0.07 -- 0.15),-160 (4.5 -- -9.9)
Podlaskie,830 (232 -- 3356),Likely decreasing,0.92 (0.73 -- 1.3),-0.022 (-0.077 -- 0.072),-32 (9.7 -- -9)
Poland,20405 (6662 -- 68056),Likely decreasing,0.87 (0.68 -- 1.2),-0.036 (-0.095 -- 0.045),-19 (15 -- -7.3)
Pomorskie,2304 (399 -- 14507),Likely decreasing,0.91 (0.6 -- 1.3),-0.025 (-0.12 -- 0.07),-28 (10 -- -6)
Rhineland-Palatinate,609 (117 -- 5888),Stable,0.99 (0.67 -- 1.7),-0.0036 (-0.096 -- 0.19),-190 (3.7 -- -7.2)
Saarland,204 (19 -- 1640),Likely decreasing,0.87 (0.47 -- 1.4),-0.036 (-0.16 -- 0.11),-19 (6.3 -- -4.4)
Saxony,774 (64 -- 6178),Likely decreasing,0.68 (0.33 -- 1.1),-0.091 (-0.21 -- 0.026),-7.6 (26 -- -3.3)
Saxony-Anhalt,1456 (344 -- 7611),Likely decreasing,0.93 (0.68 -- 1.3),-0.019 (-0.094 -- 0.077),-36 (9 -- -7.4)
Schleswig-Holstein,1450 (346 -- 12066),Likely increasing,1.2 (0.85 -- 1.9),0.041 (-0.04 -- 0.22),17 (3.2 -- -18)
Thuringia,216 (3 -- 1973),Likely decreasing,0.64 (0.17 -- 1),-0.11 (-0.27 -- 0.005),-6.6 (140 -- -2.6)
Warmińsko-Mazurskie,726 (143 -- 3457),Likely decreasing,0.87 (0.57 -- 1.2),-0.035 (-0.13 -- 0.065),-20 (11 -- -5.4)
Wielkopolskie,1649 (429 -- 8777),Likely decreasing,0.85 (0.6 -- 1.3),-0.042 (-0.12 -- 0.078),-17 (8.8 -- -5.9)
Zachodniopomorskie,937 (128 -- 5624),Likely decreasing,0.81 (0.48 -- 1.1),-0.054 (-0.16 -- 0.021),-13 (33 -- -4.4)
Łódzkie,1739 (356 -- 6615),Likely decreasing,0.89 (0.6 -- 1.1),-0.032 (-0.12 -- 0.04),-22 (17 -- -5.9)
Śląskie,1218 (2 -- 6291),Likely decreasing,0.78 (0.061 -- 1.2),-0.063 (-0.34 -- 0.045),-11 (15 -- -2.1)
Świętokrzyskie,1316 (164 -- 5894),Likely decreasing,0.9 (0.53 -- 1.1),-0.029 (-0.14 -- 0.037),-24 (19 -- -5.1)
