region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Germany,3000,0,38207,266,3174,649,1484,New confirmed cases by infection date,Likely increasing
Poland,2093,1080,3665,1578,2335,1649,1920,New confirmed cases by infection date,Increasing
Germany,1.1,0.9,1.3,1.1,1.2,1.1,1.1,Effective reproduction no.,Likely increasing
Poland,1.1,1,1.1,1.1,1.1,1.1,1.1,Effective reproduction no.,Increasing
