region,target_end_date,strat,type,value,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,target_type
Germany,2020-11-16,,estimate,0.97,0.96,0.08,0.83,0.91,0.95,0.99,1.02,1.09,case
Germany,2020-11-17,,estimate,0.97,0.96,0.07,0.85,0.92,0.95,0.98,1.01,1.07,case
Germany,2020-11-18,,estimate,0.97,0.97,0.06,0.86,0.92,0.95,0.98,1.01,1.06,case
Germany,2020-11-19,,estimate,0.97,0.97,0.05,0.88,0.93,0.95,0.98,1.01,1.05,case
Germany,2020-11-20,,estimate,0.97,0.97,0.05,0.89,0.94,0.96,0.99,1.01,1.05,case
Germany,2020-11-21,,estimate,0.98,0.98,0.05,0.9,0.94,0.96,0.99,1.01,1.05,case
Germany,2020-11-22,,estimate,0.98,0.98,0.04,0.91,0.95,0.97,1,1.01,1.05,case
Germany,2020-11-23,,estimate,0.99,0.99,0.04,0.92,0.96,0.98,1,1.02,1.05,case
Germany,2020-11-24,,estimate,1,1,0.04,0.93,0.98,0.99,1.01,1.03,1.06,case
Germany,2020-11-25,,estimate,1.01,1.01,0.04,0.95,0.99,1,1.02,1.04,1.06,case
Germany,2020-11-26,,estimate,1.02,1.02,0.03,0.96,1,1.02,1.03,1.05,1.07,case
Germany,2020-11-27,,estimate,1.04,1.03,0.03,0.98,1.01,1.03,1.04,1.05,1.08,case
Germany,2020-11-28,,estimate,1.05,1.05,0.03,0.99,1.03,1.04,1.05,1.07,1.1,case
Germany,2020-11-29,,estimate,1.06,1.06,0.03,1.01,1.04,1.05,1.07,1.08,1.11,case
Germany,2020-11-30,,estimate,1.07,1.07,0.03,1.02,1.05,1.06,1.08,1.09,1.12,case
Germany,2020-12-01,,estimate,1.08,1.08,0.04,1.03,1.05,1.07,1.09,1.1,1.14,case
Germany,2020-12-02,,estimate,1.09,1.09,0.04,1.03,1.06,1.08,1.1,1.12,1.15,case
Germany,2020-12-03,,estimate,1.1,1.1,0.04,1.03,1.06,1.08,1.11,1.13,1.17,case
Germany,2020-12-04,,estimate,1.1,1.1,0.05,1.03,1.07,1.09,1.11,1.13,1.17,case
Germany,2020-12-05,,estimate,1.1,1.1,0.05,1.03,1.06,1.09,1.11,1.13,1.18,case
Germany,2020-12-06,,estimate,1.1,1.1,0.05,1.02,1.06,1.08,1.11,1.13,1.18,case
Germany,2020-12-07,,estimate,1.09,1.09,0.05,1.02,1.05,1.08,1.1,1.13,1.18,case
Germany,2020-12-08,,estimate,1.08,1.08,0.05,1.02,1.05,1.07,1.09,1.12,1.17,case
Germany,2020-12-09,,estimate,1.07,1.07,0.04,1.01,1.04,1.05,1.08,1.1,1.15,case
Germany,2020-12-10,,estimate,1.05,1.06,0.04,1,1.02,1.04,1.06,1.08,1.13,case
Germany,2020-12-11,,estimate,1.03,1.04,0.04,0.99,1.01,1.02,1.04,1.06,1.11,case
Germany,2020-12-12,,estimate,1.01,1.02,0.03,0.97,1,1.01,1.02,1.03,1.08,case
Germany,2020-12-13,,estimate,1,1,0.03,0.95,0.98,0.99,1,1.01,1.05,case
Germany,2020-12-14,,estimate,0.98,0.98,0.03,0.92,0.96,0.97,0.99,1,1.02,case
Germany,2020-12-15,,estimate,0.96,0.96,0.03,0.9,0.94,0.95,0.97,0.98,1.01,case
Germany,2020-12-16,,estimate,0.94,0.94,0.04,0.88,0.91,0.93,0.95,0.97,1,case
Germany,2020-12-17,,estimate,0.92,0.93,0.04,0.85,0.89,0.91,0.94,0.96,0.99,case
Germany,2020-12-18,,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,0.99,case
Germany,2020-12-19,,estimate,0.9,0.9,0.05,0.82,0.87,0.89,0.92,0.94,0.99,case
Germany,2020-12-20,,estimate,0.9,0.9,0.05,0.81,0.86,0.88,0.91,0.94,0.98,case
Germany,2020-12-21,,estimate,0.9,0.9,0.05,0.81,0.86,0.88,0.91,0.94,0.98,case
Germany,2020-12-22,,estimate,0.9,0.9,0.05,0.81,0.87,0.89,0.92,0.94,0.98,case
Germany,2020-12-23,,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.92,0.94,0.98,case
