Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,160901 (57739 -- 445483),Likely increasing,1.1 (0.79 -- 1.6),0.035 (-0.06 -- 0.15),20 (4.8 -- -12)
Bavaria,216147 (80300 -- 614421),Likely increasing,1.1 (0.77 -- 1.6),0.033 (-0.065 -- 0.14),21 (4.8 -- -11)
Berlin,46392 (14414 -- 130073),Stable,1 (0.67 -- 1.3),0.0019 (-0.098 -- 0.085),370 (8.2 -- -7.1)
Brandenburg,37107 (13530 -- 92207),Likely increasing,1.1 (0.78 -- 1.4),0.027 (-0.062 -- 0.11),25 (6.2 -- -11)
Bremen,6252 (1797 -- 17928),Stable,0.99 (0.66 -- 1.3),-0.0041 (-0.1 -- 0.08),-170 (8.6 -- -7)
Dolnośląskie,6609 (2536 -- 16281),Decreasing,0.59 (0.34 -- 0.93),-0.12 (-0.21 -- -0.021),-5.8 (-33 -- -3.4)
Germany,1196190 (410079 -- 2955130),Likely increasing,1.1 (0.78 -- 1.5),0.037 (-0.062 -- 0.14),19 (5.1 -- -11)
Hamburg,33694 (11214 -- 74262),Likely increasing,1.1 (0.78 -- 1.3),0.029 (-0.063 -- 0.084),24 (8.3 -- -11)
Hesse,88022 (31975 -- 210930),Likely increasing,1.1 (0.75 -- 1.4),0.023 (-0.073 -- 0.11),30 (6.5 -- -9.5)
Kujawsko-Pomorskie,11190 (5054 -- 22177),Likely decreasing,0.94 (0.64 -- 1.2),-0.016 (-0.1 -- 0.063),-43 (11 -- -6.6)
Lower Saxony,108489 (32953 -- 386584),Likely increasing,1.2 (0.84 -- 1.6),0.052 (-0.047 -- 0.15),13 (4.6 -- -15)
Lubelskie,3314 (1301 -- 7787),Decreasing,0.57 (0.33 -- 0.93),-0.13 (-0.21 -- -0.02),-5.5 (-35 -- -3.3)
Lubuskie,4747 (2108 -- 10528),Stable,0.96 (0.62 -- 1.3),-0.012 (-0.11 -- 0.088),-56 (7.9 -- -6.2)
Mazowieckie,15055 (6873 -- 32548),Likely decreasing,0.74 (0.48 -- 1.1),-0.073 (-0.16 -- 0.036),-9.5 (19 -- -4.4)
Małopolskie,6383 (3070 -- 12699),Decreasing,0.66 (0.44 -- 0.91),-0.1 (-0.17 -- -0.026),-7 (-27 -- -4.1)
Mecklenburg-Vorpommern,21037 (8623 -- 52264),Likely increasing,1.2 (0.85 -- 1.5),0.045 (-0.042 -- 0.13),15 (5.3 -- -16)
North Rhine-Westphalia,275200 (108457 -- 657888),Likely increasing,1.1 (0.8 -- 1.5),0.035 (-0.056 -- 0.12),20 (5.7 -- -12)
Opolskie,3313 (1168 -- 9047),Decreasing,0.64 (0.36 -- 0.98),-0.1 (-0.2 -- -0.0057),-6.6 (-120 -- -3.5)
Podkarpackie,1822 (741 -- 4429),Decreasing,0.51 (0.3 -- 0.84),-0.15 (-0.22 -- -0.045),-4.7 (-16 -- -3.1)
Podlaskie,2229 (847 -- 5282),Likely decreasing,0.72 (0.41 -- 1.1),-0.081 (-0.18 -- 0.036),-8.6 (19 -- -3.8)
Poland,104710 (48383 -- 235890),Likely decreasing,0.72 (0.47 -- 1.1),-0.081 (-0.16 -- 0.024),-8.5 (28 -- -4.3)
Pomorskie,4884 (1886 -- 12327),Decreasing,0.55 (0.31 -- 0.89),-0.13 (-0.22 -- -0.031),-5.2 (-22 -- -3.2)
Rhineland-Palatinate,43548 (16623 -- 119236),Likely increasing,1.1 (0.79 -- 1.6),0.035 (-0.058 -- 0.15),20 (4.5 -- -12)
Saarland,13688 (5166 -- 33574),Likely increasing,1.1 (0.79 -- 1.5),0.031 (-0.058 -- 0.12),22 (5.6 -- -12)
Saxony,58415 (17621 -- 462762),Likely increasing,1.4 (0.91 -- 3),0.093 (-0.026 -- 0.51),7.5 (1.4 -- -27)
Saxony-Anhalt,36204 (13216 -- 100261),Likely increasing,1.3 (0.94 -- 1.8),0.082 (-0.016 -- 0.21),8.4 (3.3 -- -43)
Schleswig-Holstein,12964 (4924 -- 32055),Likely decreasing,0.91 (0.63 -- 1.2),-0.025 (-0.11 -- 0.063),-28 (11 -- -6.4)
Thuringia,25322 (10442 -- 68359),Increasing,1.4 (1.1 -- 2),0.12 (0.019 -- 0.24),6 (2.9 -- 36)
Warmińsko-Mazurskie,4130 (1795 -- 9194),Likely decreasing,0.76 (0.48 -- 1.1),-0.068 (-0.16 -- 0.033),-10 (21 -- -4.4)
Wielkopolskie,19616 (9029 -- 43961),Likely decreasing,0.88 (0.61 -- 1.2),-0.032 (-0.11 -- 0.061),-22 (11 -- -6.1)
Zachodniopomorskie,5270 (2056 -- 12403),Likely decreasing,0.77 (0.47 -- 1.1),-0.066 (-0.16 -- 0.039),-10 (18 -- -4.3)
Łódzkie,7558 (3208 -- 17333),Likely decreasing,0.72 (0.44 -- 1.1),-0.08 (-0.17 -- 0.029),-8.7 (24 -- -4.1)
Śląskie,10868 (3918 -- 30053),Decreasing,0.54 (0.29 -- 0.91),-0.14 (-0.22 -- -0.024),-5.1 (-29 -- -3.1)
Świętokrzyskie,4082 (2092 -- 8258),Likely decreasing,0.88 (0.63 -- 1.2),-0.032 (-0.11 -- 0.046),-21 (15 -- -6.4)
