Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,3035 (772 -- 8126),Stable,1 (0.68 -- 1.2),-0.0011 (-0.091 -- 0.066),-620 (10 -- -7.6)
Bavaria,3955 (1449 -- 10829),Stable,1 (0.78 -- 1.3),0.0023 (-0.064 -- 0.079),310 (8.8 -- -11)
Berlin,30826 (2752 -- 1224550),Increasing,2 (1.1 -- 5.6),0.25 (0.035 -- 0.95),2.8 (0.73 -- 20)
Brandenburg,1244 (261 -- 3965),Stable,1 (0.64 -- 1.3),5e-04 (-0.11 -- 0.077),1400 (9.1 -- -6.6)
Bremen,118 (2 -- 709),Likely decreasing,0.92 (0.31 -- 1.4),-0.021 (-0.21 -- 0.095),-33 (7.3 -- -3.2)
Dolnośląskie,4167 (989 -- 16595),Likely decreasing,0.94 (0.66 -- 1.3),-0.018 (-0.098 -- 0.068),-39 (10 -- -7.1)
Germany,24182 (9748 -- 58165),Stable,0.98 (0.74 -- 1.3),-0.0058 (-0.074 -- 0.079),-120 (8.8 -- -9.4)
Hamburg,370 (3 -- 2367),Likely decreasing,0.85 (0.16 -- 1.3),-0.041 (-0.28 -- 0.067),-17 (10 -- -2.5)
Hesse,2969 (1580 -- 6339),Likely increasing,1 (0.88 -- 1.2),0.0088 (-0.035 -- 0.05),79 (14 -- -20)
Kujawsko-Pomorskie,1639 (369 -- 6668),Likely decreasing,0.86 (0.59 -- 1.3),-0.039 (-0.12 -- 0.069),-18 (10 -- -5.8)
Lower Saxony,1370 (402 -- 3525),Likely decreasing,0.97 (0.68 -- 1.2),-0.0087 (-0.091 -- 0.045),-79 (15 -- -7.6)
Lubelskie,980 (143 -- 13725),Likely decreasing,0.86 (0.5 -- 1.8),-0.039 (-0.15 -- 0.19),-18 (3.6 -- -4.6)
Lubuskie,499 (34 -- 3480),Likely decreasing,0.81 (0.4 -- 1.2),-0.053 (-0.19 -- 0.064),-13 (11 -- -3.7)
Mazowieckie,1731 (393 -- 9470),Likely decreasing,0.82 (0.51 -- 1.4),-0.052 (-0.14 -- 0.091),-13 (7.6 -- -4.8)
Małopolskie,1459 (207 -- 8799),Likely decreasing,0.8 (0.47 -- 1.3),-0.056 (-0.16 -- 0.077),-12 (9 -- -4.3)
Mecklenburg-Vorpommern,1061 (359 -- 4432),Likely increasing,1.1 (0.8 -- 1.5),0.02 (-0.057 -- 0.13),34 (5.2 -- -12)
North Rhine-Westphalia,4397 (1060 -- 12849),Likely decreasing,0.92 (0.59 -- 1.2),-0.023 (-0.12 -- 0.062),-31 (11 -- -5.7)
Opolskie,539 (70 -- 7344),Likely decreasing,0.89 (0.49 -- 1.8),-0.032 (-0.15 -- 0.19),-22 (3.6 -- -4.5)
Podkarpackie,696 (102 -- 3248),Likely decreasing,0.76 (0.42 -- 1.1),-0.069 (-0.18 -- 0.038),-10 (18 -- -3.9)
Podlaskie,435 (56 -- 1941),Likely decreasing,0.83 (0.46 -- 1.2),-0.049 (-0.16 -- 0.048),-14 (14 -- -4.3)
Poland,22706 (6631 -- 103548),Likely decreasing,0.87 (0.61 -- 1.3),-0.037 (-0.11 -- 0.091),-19 (7.6 -- -6.1)
Pomorskie,2866 (864 -- 24114),Stable,0.99 (0.79 -- 1.8),-0.0027 (-0.061 -- 0.2),-260 (3.5 -- -11)
Rhineland-Palatinate,610 (98 -- 2388),Likely decreasing,0.93 (0.55 -- 1.4),-0.02 (-0.14 -- 0.094),-34 (7.4 -- -5.1)
Saarland,95 (0 -- 1618),Likely decreasing,0.87 (0.15 -- 1.8),-0.038 (-0.29 -- 0.21),-18 (3.4 -- -2.4)
Saxony,625 (31 -- 5058),Likely decreasing,0.67 (0.21 -- 1.3),-0.095 (-0.26 -- 0.067),-7.3 (10 -- -2.7)
Saxony-Anhalt,175 (6 -- 1819),Likely decreasing,0.63 (0.21 -- 1.3),-0.11 (-0.26 -- 0.078),-6.5 (8.9 -- -2.7)
Schleswig-Holstein,288 (46 -- 1757),Stable,1 (0.62 -- 1.5),-0.00024 (-0.11 -- 0.14),-2900 (5 -- -6.2)
Thuringia,2631 (1228 -- 7600),Likely increasing,1 (0.88 -- 1.3),0.0048 (-0.033 -- 0.07),140 (9.9 -- -21)
Warmińsko-Mazurskie,698 (64 -- 3081),Likely decreasing,0.88 (0.44 -- 1.2),-0.034 (-0.17 -- 0.058),-20 (12 -- -4)
Wielkopolskie,3856 (768 -- 100761),Stable,0.96 (0.61 -- 2.6),-0.01 (-0.12 -- 0.38),-69 (1.8 -- -6)
Zachodniopomorskie,1283 (183 -- 4582),Likely decreasing,0.89 (0.49 -- 1.2),-0.031 (-0.15 -- 0.047),-22 (15 -- -4.5)
Łódzkie,1113 (150 -- 5370),Likely decreasing,0.79 (0.44 -- 1.1),-0.059 (-0.17 -- 0.037),-12 (19 -- -4)
Śląskie,7889 (1643 -- 34614),Likely decreasing,0.91 (0.6 -- 1.2),-0.026 (-0.12 -- 0.063),-27 (11 -- -5.9)
Świętokrzyskie,2252 (445 -- 10056),Likely decreasing,0.95 (0.66 -- 1.3),-0.013 (-0.1 -- 0.082),-54 (8.4 -- -6.9)
