Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1249 (269 -- 4852),Likely decreasing,0.79 (0.52 -- 1.1),-0.059 (-0.14 -- 0.035),-12 (20 -- -4.9)
Bavaria,2448 (502 -- 8083),Likely decreasing,0.81 (0.51 -- 1.1),-0.053 (-0.14 -- 0.022),-13 (32 -- -4.8)
Berlin,1052 (233 -- 4560),Likely decreasing,0.85 (0.57 -- 1.2),-0.044 (-0.13 -- 0.048),-16 (15 -- -5.5)
Brandenburg,1175 (102 -- 20014),Likely decreasing,0.78 (0.4 -- 1.6),-0.063 (-0.18 -- 0.15),-11 (4.7 -- -3.8)
Bremen,364 (65 -- 1431),Stable,0.98 (0.67 -- 1.2),-0.0043 (-0.097 -- 0.066),-160 (11 -- -7.2)
Dolnośląskie,779 (80 -- 2283),Likely decreasing,0.91 (0.51 -- 1.1),-0.024 (-0.15 -- 0.022),-29 (31 -- -4.8)
Germany,30800 (12483 -- 100936),Likely decreasing,0.89 (0.69 -- 1.2),-0.031 (-0.09 -- 0.053),-22 (13 -- -7.7)
Hamburg,786 (153 -- 6607),Likely decreasing,0.95 (0.66 -- 1.6),-0.014 (-0.098 -- 0.15),-51 (4.5 -- -7)
Hesse,1669 (440 -- 5261),Likely decreasing,0.82 (0.59 -- 1),-0.051 (-0.12 -- 0.012),-14 (56 -- -5.6)
Kujawsko-Pomorskie,150 (3 -- 1029),Decreasing,0.62 (0.17 -- 0.96),-0.11 (-0.27 -- -0.012),-6.3 (-58 -- -2.5)
Lower Saxony,3481 (722 -- 10692),Likely decreasing,0.89 (0.61 -- 1.1),-0.03 (-0.11 -- 0.024),-23 (29 -- -6.1)
Lubelskie,325 (9 -- 1686),Likely decreasing,0.73 (0.23 -- 1),-0.077 (-0.25 -- 0.0068),-9 (100 -- -2.7)
Lubuskie,205 (5 -- 1110),Likely decreasing,0.81 (0.29 -- 1.1),-0.054 (-0.23 -- 0.034),-13 (20 -- -3.1)
Mazowieckie,270 (7 -- 2294),Decreasing,0.59 (0.18 -- 1),-0.12 (-0.27 -- -0.0012),-5.7 (-590 -- -2.5)
Małopolskie,320 (4 -- 1598),Likely decreasing,0.79 (0.2 -- 1.1),-0.059 (-0.26 -- 0.015),-12 (47 -- -2.6)
Mecklenburg-Vorpommern,546 (79 -- 2989),Likely decreasing,0.83 (0.5 -- 1.3),-0.048 (-0.15 -- 0.072),-14 (9.7 -- -4.5)
North Rhine-Westphalia,6577 (2337 -- 18927),Likely decreasing,0.9 (0.7 -- 1.2),-0.027 (-0.085 -- 0.045),-26 (16 -- -8.2)
Opolskie,57 (0 -- 834),Likely decreasing,0.65 (0.097 -- 1.2),-0.1 (-0.31 -- 0.052),-6.8 (13 -- -2.2)
Podkarpackie,687 (54 -- 1842),Likely decreasing,0.93 (0.45 -- 1.1),-0.02 (-0.17 -- 0.02),-35 (34 -- -4.2)
Podlaskie,838 (87 -- 2564),Likely decreasing,0.96 (0.55 -- 1.1),-0.0099 (-0.13 -- 0.04),-70 (17 -- -5.2)
Poland,24309 (12323 -- 112937),Stable,0.99 (0.86 -- 1.5),-0.0021 (-0.039 -- 0.12),-320 (5.6 -- -18)
Pomorskie,711 (15 -- 3532),Likely decreasing,0.83 (0.28 -- 1.1),-0.049 (-0.23 -- 0.024),-14 (29 -- -3)
Rhineland-Palatinate,1023 (203 -- 4901),Likely decreasing,0.85 (0.58 -- 1.2),-0.043 (-0.13 -- 0.057),-16 (12 -- -5.4)
Saarland,280 (41 -- 1811),Likely decreasing,0.86 (0.56 -- 1.3),-0.04 (-0.13 -- 0.071),-17 (9.8 -- -5.3)
Saxony,10940 (2784 -- 124651),Stable,1 (0.76 -- 1.9),-0.00051 (-0.068 -- 0.23),-1400 (3.1 -- -10)
Saxony-Anhalt,2426 (418 -- 19098),Likely decreasing,0.89 (0.51 -- 1.5),-0.032 (-0.15 -- 0.12),-22 (5.6 -- -4.8)
Schleswig-Holstein,807 (102 -- 4486),Likely decreasing,0.81 (0.46 -- 1.2),-0.053 (-0.16 -- 0.054),-13 (13 -- -4.2)
Thuringia,2001 (440 -- 9603),Likely decreasing,0.89 (0.58 -- 1.3),-0.029 (-0.12 -- 0.072),-24 (9.6 -- -5.6)
Warmińsko-Mazurskie,561 (85 -- 2092),Likely decreasing,0.9 (0.56 -- 1.1),-0.029 (-0.13 -- 0.036),-24 (19 -- -5.3)
Wielkopolskie,101 (1 -- 778),Decreasing,0.53 (0.1 -- 0.91),-0.14 (-0.31 -- -0.025),-5 (-28 -- -2.2)
Zachodniopomorskie,311 (27 -- 1428),Likely decreasing,0.79 (0.39 -- 1.1),-0.061 (-0.19 -- 0.016),-11 (45 -- -3.7)
Łódzkie,395 (17 -- 1968),Likely decreasing,0.8 (0.3 -- 1.1),-0.057 (-0.22 -- 0.029),-12 (24 -- -3.1)
Śląskie,1029 (154 -- 2493),Likely decreasing,0.92 (0.52 -- 1.1),-0.023 (-0.14 -- 0.015),-30 (47 -- -4.9)
Świętokrzyskie,143 (2 -- 1078),Likely decreasing,0.77 (0.2 -- 1.2),-0.067 (-0.27 -- 0.042),-10 (16 -- -2.6)
