region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Berlin,2022-03-28,252,0,,,,,,,,,
Berlin,2022-03-29,7330,8,,,,,,,,,
Berlin,2022-03-30,7005,6,,,,,,,,,
Berlin,2022-03-31,7613,12,,,,,,,,,
Berlin,2022-04-01,6562,3,,,,,,,,,
Berlin,2022-04-02,5515,2,,,,,,,,,
Berlin,2022-04-03,666,0,,,,,,,,,
Berlin,2022-04-04,251,0,,,,,,,,,
Berlin,2022-04-05,5222,6,,,,,,,,,
Berlin,2022-04-06,7273,4,,,,,,,,,
Berlin,2022-04-07,5755,6,,,,,,,,,
Berlin,2022-04-08,4975,4,,,,,,,,,
Berlin,2022-04-09,3889,1,,,,,,,,,
Berlin,2022-04-10,1,0,,,,,,,,,
Berlin,2022-04-11,99,0,,,,,,,,,
Berlin,2022-04-12,4537,5,,,,,,,,,
Berlin,2022-04-13,5151,9,,,,,,,,,
Berlin,2022-04-14,4587,1,,,,,,,,,
Berlin,2022-04-15,3916,5,,,,,,,,,
Berlin,2022-04-16,197,0,,,,,,,,,
Berlin,2022-04-17,319,0,,,,,,,,,
Berlin,2022-04-18,147,0,,,,,,,,,
Berlin,2022-04-19,106,0,,,,,,,,,
Berlin,2022-04-20,4592,16,,,,,,,,,
Berlin,2022-04-21,4553,9,,,,,,,,,
Berlin,2022-04-22,3273,3,,,,,,,,,
Berlin,2022-04-23,2833,3,,,,,,,,,
Berlin,2022-04-24,286,0,,,,,,,,,
Berlin,2022-04-25,92,0,,,,,,,,,
Berlin,2022-04-26,5002,3,,,,,,,,,
Berlin,2022-04-27,4036,2,,,,,,,,,
Berlin,2022-04-28,4732,15,,,,,,,,,
Berlin,2022-04-29,3516,2,,,,,,,,,
Berlin,2022-04-30,2788,5,,,,,,,,,
Berlin,2022-05-01,124,2,,,,,,,,,
Berlin,2022-05-02,36,0,,,,,,,,,
Berlin,2022-05-03,2945,2,,,,,,,,,
Berlin,2022-05-04,4100,6,,,,,,,,,
Berlin,2022-05-05,2673,8,,,,,,,,,
Berlin,2022-05-06,2186,6,,,,,,,,,
Berlin,2022-05-07,1623,3,,,,,,,,,
Berlin,2022-05-08,111,0,,,,,,,,,
Berlin,2022-05-09,93,0,,,,,,,,,
Berlin,2022-05-10,2798,13,,,,,,,,,
Berlin,2022-05-11,3804,3,,,,,,,,,
Berlin,2022-05-12,2899,8,,,,,,,,,
Berlin,2022-05-13,2471,8,,,,,,,,,
Berlin,2022-05-14,2344,12,,,,,,,,,
Berlin,2022-05-15,233,0,,,,,,,,,
Berlin,2022-05-16,16,0,,,,,,,,,
Berlin,2022-05-17,2689,0,,,,,,,,,
Berlin,2022-05-18,2237,6,,,,,,,,,
Berlin,2022-05-19,1977,12,,,,,,,,,
Berlin,2022-05-20,1637,0,,,,,,,,,
Berlin,2022-05-21,1699,4,,,,,,,,,
Berlin,2022-05-22,38,0,,,,,,,,,
Berlin,2022-05-23,45,,0.5,1.2,0,0,0,0,0,0,2
Berlin,2022-05-24,1447.5,,5,7.6,3,0,1,2,4,6,17
Berlin,2022-05-25,1571.5,,5.5,7.4,3,0,1,2,5,7,18
Berlin,2022-05-26,1534.5,,7.4,10.6,4,0,1,3,6,9,26
Berlin,2022-05-27,1265.5,,4.2,5.8,2,0,1,2,3,5,15
Berlin,2022-05-28,984,,6.1,7.7,3,0,1,2,5,8,21
Berlin,2022-05-29,97,,0.8,1.5,0,0,0,0,1,1,4
Berlin,2022-05-30,36,,0.4,1,0,0,0,0,0,0,2
Berlin,2022-05-31,1076,,4.1,5.7,2,0,1,2,3,5,14
Berlin,2022-06-01,1290.5,,4,5.6,2,0,1,2,3,5,14
Berlin,2022-06-02,1228,,6.7,8.9,4,0,1,3,5,8,23
Berlin,2022-06-03,1094,,3.3,4.7,2,0,0,1,3,4,12
Berlin,2022-06-04,810,,5,7,3,0,1,2,4,6,17
Berlin,2022-06-05,82.5,,0.5,1.1,0,0,0,0,0,1,3
Berlin,2022-06-06,28,,0.4,1,0,0,0,0,0,0,2
Berlin,2022-06-07,868.5,,3.5,5.4,2,0,0,1,3,5,12
Berlin,2022-06-08,1003,,3.7,6.3,2,0,0,1,3,5,12
Berlin,2022-06-09,948.5,,5.3,7.5,3,0,1,2,4,7,17
Berlin,2022-06-10,818,,3,4.9,2,0,0,1,2,4,10
Berlin,2022-06-11,639.5,,3.9,6.2,2,0,1,1,3,5,13
Berlin,2022-06-12,62,,0.6,1.9,0,0,0,0,0,1,2
Berlin,2022-06-13,23,,0.3,0.9,0,0,0,0,0,0,2
Berlin,2022-06-14,718,,2.8,4.4,2,0,0,1,2,4,10
Berlin,2022-06-15,819,,3,5.9,1,0,0,1,2,4,11
Berlin,2022-06-16,718,,4.4,7.4,2,0,1,1,3,5,17
Berlin,2022-06-17,670.5,,2.3,3.6,1,0,0,1,2,3,9
Berlin,2022-06-18,496,,4,10.3,2,0,0,1,3,4,14
Berlin,2022-06-19,48,,0.5,1.4,0,0,0,0,0,1,2
Berlin,2022-06-20,18,,0.2,0.7,0,0,0,0,0,0,1
Berlin,2022-06-21,537,,2.2,3.9,1,0,0,1,2,3,9
Berlin,2022-06-22,612,,2.5,4.9,1,0,0,1,2,3,10
Brandenburg,2022-03-28,0,0,,,,,,,,,
Brandenburg,2022-03-29,6531,12,,,,,,,,,
Brandenburg,2022-03-30,6944,7,,,,,,,,,
Brandenburg,2022-03-31,7428,12,,,,,,,,,
Brandenburg,2022-04-01,4959,7,,,,,,,,,
Brandenburg,2022-04-02,4246,8,,,,,,,,,
Brandenburg,2022-04-03,0,0,,,,,,,,,
Brandenburg,2022-04-04,0,0,,,,,,,,,
Brandenburg,2022-04-05,5068,14,,,,,,,,,
Brandenburg,2022-04-06,6049,7,,,,,,,,,
Brandenburg,2022-04-07,4373,10,,,,,,,,,
Brandenburg,2022-04-08,3662,1,,,,,,,,,
Brandenburg,2022-04-09,2488,5,,,,,,,,,
Brandenburg,2022-04-10,0,0,,,,,,,,,
Brandenburg,2022-04-11,0,0,,,,,,,,,
Brandenburg,2022-04-12,4033,8,,,,,,,,,
Brandenburg,2022-04-13,4296,3,,,,,,,,,
Brandenburg,2022-04-14,3525,8,,,,,,,,,
Brandenburg,2022-04-15,3080,3,,,,,,,,,
Brandenburg,2022-04-16,1,0,,,,,,,,,
Brandenburg,2022-04-17,0,0,,,,,,,,,
Brandenburg,2022-04-18,0,0,,,,,,,,,
Brandenburg,2022-04-19,0,0,,,,,,,,,
Brandenburg,2022-04-20,4681,7,,,,,,,,,
Brandenburg,2022-04-21,4796,16,,,,,,,,,
Brandenburg,2022-04-22,3802,9,,,,,,,,,
Brandenburg,2022-04-23,2497,8,,,,,,,,,
Brandenburg,2022-04-24,0,0,,,,,,,,,
Brandenburg,2022-04-25,0,0,,,,,,,,,
Brandenburg,2022-04-26,3318,3,,,,,,,,,
Brandenburg,2022-04-27,4144,11,,,,,,,,,
Brandenburg,2022-04-28,3360,6,,,,,,,,,
Brandenburg,2022-04-29,2706,5,,,,,,,,,
Brandenburg,2022-04-30,1635,3,,,,,,,,,
Brandenburg,2022-05-01,0,0,,,,,,,,,
Brandenburg,2022-05-02,0,0,,,,,,,,,
Brandenburg,2022-05-03,1979,4,,,,,,,,,
Brandenburg,2022-05-04,3003,4,,,,,,,,,
Brandenburg,2022-05-05,2071,5,,,,,,,,,
Brandenburg,2022-05-06,1600,4,,,,,,,,,
Brandenburg,2022-05-07,1178,15,,,,,,,,,
Brandenburg,2022-05-08,0,0,,,,,,,,,
Brandenburg,2022-05-09,0,0,,,,,,,,,
Brandenburg,2022-05-10,2220,4,,,,,,,,,
Brandenburg,2022-05-11,2059,9,,,,,,,,,
Brandenburg,2022-05-12,1839,13,,,,,,,,,
Brandenburg,2022-05-13,931,4,,,,,,,,,
Brandenburg,2022-05-14,1054,3,,,,,,,,,
Brandenburg,2022-05-15,1,0,,,,,,,,,
Brandenburg,2022-05-16,0,0,,,,,,,,,
Brandenburg,2022-05-17,1344,6,,,,,,,,,
