Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,27393 (11841 -- 61120),Likely decreasing,0.9 (0.67 -- 1.1),-0.027 (-0.097 -- 0.038),-26 (18 -- -7.2)
Bavaria,20058 (8303 -- 46338),Likely decreasing,0.81 (0.59 -- 1.1),-0.053 (-0.12 -- 0.019),-13 (37 -- -5.8)
Berlin,9852 (3639 -- 20604),Stable,1 (0.76 -- 1.2),0.0039 (-0.068 -- 0.061),180 (11 -- -10)
Brandenburg,7810 (3486 -- 17187),Likely decreasing,0.89 (0.66 -- 1.2),-0.032 (-0.096 -- 0.044),-22 (16 -- -7.2)
Bremen,669 (205 -- 1802),Likely decreasing,0.9 (0.58 -- 1.2),-0.028 (-0.12 -- 0.047),-25 (15 -- -5.6)
Dolnośląskie,7761 (4569 -- 13518),Likely decreasing,0.95 (0.77 -- 1.1),-0.015 (-0.066 -- 0.032),-46 (22 -- -11)
Germany,172799 (68820 -- 394275),Likely decreasing,0.91 (0.66 -- 1.1),-0.025 (-0.098 -- 0.038),-28 (18 -- -7.1)
Hamburg,3294 (1659 -- 5728),Likely increasing,1 (0.87 -- 1.2),0.013 (-0.037 -- 0.043),55 (16 -- -19)
Hesse,9085 (4281 -- 17786),Likely decreasing,0.94 (0.71 -- 1.2),-0.016 (-0.084 -- 0.044),-42 (16 -- -8.2)
Kujawsko-Pomorskie,3991 (2425 -- 7008),Likely decreasing,0.91 (0.76 -- 1.1),-0.024 (-0.069 -- 0.026),-29 (27 -- -10)
Lower Saxony,7501 (2336 -- 19061),Likely decreasing,0.91 (0.6 -- 1.1),-0.026 (-0.12 -- 0.036),-27 (19 -- -5.8)
Lubelskie,1577 (976 -- 2615),Decreasing,0.84 (0.71 -- 0.99),-0.046 (-0.084 -- -0.0027),-15 (-250 -- -8.2)
Lubuskie,2612 (1583 -- 4480),Stable,0.98 (0.81 -- 1.2),-0.0045 (-0.054 -- 0.041),-150 (17 -- -13)
Mazowieckie,9716 (6335 -- 15952),Likely decreasing,0.88 (0.77 -- 1),-0.034 (-0.065 -- 0.0023),-21 (300 -- -11)
Małopolskie,7780 (4868 -- 12873),Likely decreasing,0.96 (0.81 -- 1.1),-0.01 (-0.053 -- 0.033),-66 (21 -- -13)
Mecklenburg-Vorpommern,4430 (2067 -- 9225),Likely decreasing,0.93 (0.71 -- 1.2),-0.019 (-0.084 -- 0.044),-37 (16 -- -8.2)
North Rhine-Westphalia,29639 (12146 -- 61728),Likely decreasing,0.96 (0.71 -- 1.2),-0.012 (-0.084 -- 0.047),-60 (15 -- -8.3)
Opolskie,2800 (1605 -- 5151),Likely decreasing,0.95 (0.77 -- 1.2),-0.013 (-0.065 -- 0.042),-53 (17 -- -11)
Podkarpackie,2744 (1570 -- 5122),Likely decreasing,0.92 (0.73 -- 1.2),-0.022 (-0.077 -- 0.051),-32 (14 -- -9)
Podlaskie,753 (437 -- 1302),Decreasing,0.79 (0.65 -- 0.93),-0.06 (-0.1 -- -0.019),-12 (-37 -- -6.8)
Poland,77455 (52821 -- 118886),Likely decreasing,0.94 (0.83 -- 1.1),-0.017 (-0.047 -- 0.015),-40 (46 -- -15)
Pomorskie,6000 (3751 -- 10262),Likely decreasing,0.98 (0.85 -- 1.1),-0.0058 (-0.043 -- 0.032),-120 (21 -- -16)
Rhineland-Palatinate,5909 (2517 -- 11866),Likely decreasing,0.91 (0.67 -- 1.1),-0.026 (-0.097 -- 0.032),-27 (22 -- -7.1)
Saarland,1465 (691 -- 3261),Likely decreasing,0.84 (0.61 -- 1.2),-0.046 (-0.11 -- 0.044),-15 (16 -- -6.1)
Saxony,20680 (5894 -- 64014),Likely decreasing,0.86 (0.55 -- 1.2),-0.04 (-0.13 -- 0.048),-17 (15 -- -5.1)
Saxony-Anhalt,14736 (6240 -- 31020),Stable,1 (0.75 -- 1.2),0.0017 (-0.072 -- 0.057),400 (12 -- -9.6)
Schleswig-Holstein,2942 (1604 -- 5617),Stable,1 (0.84 -- 1.2),0.003 (-0.046 -- 0.053),230 (13 -- -15)
Thuringia,18503 (8712 -- 34903),Likely increasing,1.1 (0.84 -- 1.2),0.014 (-0.047 -- 0.051),48 (14 -- -15)
Warmińsko-Mazurskie,3560 (2081 -- 6840),Stable,0.99 (0.82 -- 1.2),-0.0031 (-0.052 -- 0.046),-220 (15 -- -13)
Wielkopolskie,7447 (4734 -- 11986),Likely decreasing,0.95 (0.81 -- 1.1),-0.015 (-0.055 -- 0.027),-46 (26 -- -13)
Zachodniopomorskie,4540 (2829 -- 7600),Likely decreasing,0.93 (0.81 -- 1.1),-0.018 (-0.053 -- 0.017),-38 (41 -- -13)
Łódzkie,4661 (2828 -- 7968),Likely decreasing,0.96 (0.8 -- 1.1),-0.011 (-0.057 -- 0.037),-64 (19 -- -12)
Śląskie,11080 (6735 -- 19251),Likely decreasing,0.94 (0.78 -- 1.1),-0.017 (-0.062 -- 0.032),-41 (21 -- -11)
Świętokrzyskie,1718 (1104 -- 2775),Likely decreasing,0.96 (0.82 -- 1.1),-0.012 (-0.05 -- 0.025),-57 (28 -- -14)
