Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,6056 (3092 -- 11307),Decreasing,0.82 (0.61 -- 1),-0.05 (-0.12 -- -0.00072),-14 (-970 -- -6)
Bavaria,5748 (3464 -- 10144),Likely decreasing,0.87 (0.72 -- 1.1),-0.038 (-0.081 -- 0.031),-18 (23 -- -8.5)
Berlin,1493 (719 -- 2829),Likely decreasing,0.86 (0.67 -- 1),-0.038 (-0.097 -- 0.0065),-18 (110 -- -7.2)
Brandenburg,814 (434 -- 1479),Likely decreasing,0.87 (0.68 -- 1.1),-0.036 (-0.093 -- 0.024),-19 (29 -- -7.4)
Bremen,372 (152 -- 762),Likely decreasing,0.93 (0.7 -- 1.1),-0.021 (-0.086 -- 0.021),-33 (33 -- -8)
Dolnośląskie,1035 (572 -- 2060),Likely decreasing,0.82 (0.67 -- 1.1),-0.051 (-0.096 -- 0.016),-14 (44 -- -7.2)
Germany,35918 (20143 -- 61864),Likely decreasing,0.85 (0.65 -- 1.1),-0.041 (-0.1 -- 0.028),-17 (24 -- -6.8)
Hamburg,798 (369 -- 1671),Likely decreasing,0.91 (0.72 -- 1.1),-0.024 (-0.08 -- 0.029),-29 (24 -- -8.6)
Hesse,3037 (1736 -- 5255),Likely decreasing,0.87 (0.7 -- 1),-0.038 (-0.087 -- 0.0063),-18 (110 -- -7.9)
Kujawsko-Pomorskie,533 (308 -- 1103),Likely decreasing,0.85 (0.7 -- 1.1),-0.043 (-0.087 -- 0.037),-16 (18 -- -8)
Lower Saxony,2842 (1486 -- 5381),Likely decreasing,0.87 (0.67 -- 1.1),-0.036 (-0.095 -- 0.024),-19 (29 -- -7.3)
Lubelskie,647 (356 -- 1339),Likely decreasing,0.91 (0.73 -- 1.2),-0.025 (-0.077 -- 0.057),-28 (12 -- -9)
Lubuskie,243 (133 -- 591),Likely decreasing,0.85 (0.69 -- 1.2),-0.043 (-0.089 -- 0.066),-16 (11 -- -7.8)
Mazowieckie,1534 (894 -- 3172),Likely decreasing,0.89 (0.73 -- 1.2),-0.03 (-0.077 -- 0.056),-23 (12 -- -9)
Małopolskie,906 (500 -- 1890),Likely decreasing,0.81 (0.67 -- 1),-0.053 (-0.095 -- 0.0085),-13 (81 -- -7.3)
Mecklenburg-Vorpommern,513 (276 -- 911),Decreasing,0.82 (0.66 -- 1),-0.052 (-0.098 -- -0.00091),-13 (-760 -- -7.1)
North Rhine-Westphalia,7826 (4181 -- 14221),Likely decreasing,0.82 (0.62 -- 1.1),-0.051 (-0.11 -- 0.025),-14 (28 -- -6.2)
Opolskie,309 (175 -- 588),Likely decreasing,0.81 (0.66 -- 1),-0.055 (-0.099 -- 0.0062),-13 (110 -- -7)
Podkarpackie,263 (131 -- 688),Likely decreasing,0.85 (0.66 -- 1.3),-0.044 (-0.099 -- 0.074),-16 (9.3 -- -7)
Podlaskie,411 (147 -- 1626),Likely increasing,1.1 (0.77 -- 2.1),0.039 (-0.067 -- 0.26),18 (2.7 -- -10)
Poland,13103 (7588 -- 27974),Likely decreasing,0.9 (0.74 -- 1.3),-0.027 (-0.074 -- 0.069),-26 (10 -- -9.3)
Pomorskie,815 (461 -- 1675),Stable,0.98 (0.8 -- 1.3),-0.0066 (-0.058 -- 0.086),-100 (8.1 -- -12)
Rhineland-Palatinate,1668 (869 -- 3192),Likely decreasing,0.87 (0.65 -- 1.2),-0.038 (-0.1 -- 0.045),-18 (15 -- -6.7)
Saarland,724 (285 -- 1421),Stable,1 (0.76 -- 1.1),-0.00069 (-0.07 -- 0.038),-1000 (18 -- -10)
Saxony,3188 (1777 -- 5287),Likely decreasing,0.87 (0.68 -- 1),-0.037 (-0.094 -- 0.0096),-19 (72 -- -7.4)
Saxony-Anhalt,994 (546 -- 1693),Decreasing,0.81 (0.64 -- 0.97),-0.054 (-0.11 -- -0.0088),-13 (-78 -- -6.5)
Schleswig-Holstein,508 (320 -- 782),Decreasing,0.87 (0.73 -- 1),-0.038 (-0.076 -- -0.0013),-18 (-520 -- -9.1)
Thuringia,1524 (850 -- 2484),Decreasing,0.87 (0.69 -- 1),-0.036 (-0.09 -- 0.00047),-19 (1500 -- -7.7)
Warmińsko-Mazurskie,262 (145 -- 577),Likely decreasing,0.81 (0.68 -- 1),-0.054 (-0.092 -- 0.013),-13 (55 -- -7.5)
Wielkopolskie,1561 (777 -- 3673),Likely decreasing,0.95 (0.72 -- 1.4),-0.014 (-0.081 -- 0.098),-51 (7.1 -- -8.5)
Zachodniopomorskie,565 (317 -- 1174),Likely decreasing,0.84 (0.69 -- 1.1),-0.045 (-0.091 -- 0.032),-15 (22 -- -7.6)
Łódzkie,990 (537 -- 2120),Likely decreasing,0.88 (0.71 -- 1.2),-0.034 (-0.084 -- 0.054),-21 (13 -- -8.3)
Śląskie,1419 (796 -- 2786),Likely decreasing,0.79 (0.64 -- 1),-0.06 (-0.11 -- 0.0086),-12 (81 -- -6.6)
Świętokrzyskie,336 (153 -- 1127),Likely decreasing,0.92 (0.68 -- 1.7),-0.022 (-0.091 -- 0.17),-31 (4 -- -7.6)
