location,location_name,epiweek,value,target_end_date
GM,Germany,2,0,2020-01-11
GM,Germany,3,0,2020-01-18
GM,Germany,4,0,2020-01-25
GM,Germany,5,7,2020-02-01
GM,Germany,6,13,2020-02-08
GM,Germany,7,15,2020-02-15
GM,Germany,8,15,2020-02-22
GM,Germany,9,57,2020-02-29
GM,Germany,10,684,2020-03-07
GM,Germany,11,3062,2020-03-14
GM,Germany,12,18187,2020-03-21
GM,Germany,13,48582,2020-03-28
GM,Germany,14,85778,2020-04-04
GM,Germany,15,117658,2020-04-11
GM,Germany,16,137439,2020-04-18
GM,Germany,17,152438,2020-04-25
GM,Germany,18,161703,2020-05-02
GM,Germany,19,168551,2020-05-09
GM,Germany,20,173772,2020-05-16
GM,Germany,21,177850,2020-05-23
GM,Germany,22,181196,2020-05-30
GM,Germany,23,183678,2020-06-06
GM,Germany,24,186022,2020-06-13
GM,Germany,25,189135,2020-06-20
GM,Germany,26,193243,2020-06-27
GM,Germany,27,196096,2020-07-04
GM,Germany,28,198556,2020-07-11
GM,Germany,29,201372,2020-07-18
GM,Germany,30,204964,2020-07-25
GM,Germany,31,209653,2020-08-01
GM,Germany,32,215921,2020-08-08
GM,Germany,33,223515,2020-08-15
GM,Germany,34,232082,2020-08-22
GM,Germany,35,240986,2020-08-29
GM,Germany,36,248997,2020-09-05
GM,Germany,37,258480,2020-09-12
GM,Germany,38,270070,2020-09-19
GM,Germany,39,282730,2020-09-26
GM,Germany,40,296958,2020-10-03
GM,Germany,41,319381,2020-10-10
PL,Poland,10,5,2020-03-07
PL,Poland,11,68,2020-03-14
PL,Poland,12,425,2020-03-21
PL,Poland,13,1389,2020-03-28
PL,Poland,14,3383,2020-04-04
PL,Poland,15,5955,2020-04-11
PL,Poland,16,8379,2020-04-18
PL,Poland,17,10892,2020-04-25
PL,Poland,18,13105,2020-05-02
PL,Poland,19,15366,2020-05-09
PL,Poland,20,18016,2020-05-16
PL,Poland,21,20619,2020-05-23
PL,Poland,22,23155,2020-05-30
PL,Poland,23,25419,2020-06-06
PL,Poland,24,28577,2020-06-13
PL,Poland,25,31316,2020-06-20
PL,Poland,26,33395,2020-06-27
PL,Poland,27,35405,2020-07-04
PL,Poland,28,37216,2020-07-11
PL,Poland,29,39407,2020-07-18
PL,Poland,30,42038,2020-07-25
PL,Poland,31,45688,2020-08-01
PL,Poland,32,50324,2020-08-08
PL,Poland,33,55319,2020-08-15
PL,Poland,34,60281,2020-08-22
PL,Poland,35,65480,2020-08-29
PL,Poland,36,69820,2020-09-05
PL,Poland,37,73047,2020-09-12
PL,Poland,38,77328,2020-09-19
PL,Poland,39,84396,2020-09-26
PL,Poland,40,95773,2020-10-03
PL,Poland,41,116338,2020-10-10
