location,location_name,epiweek,value,target_end_date
GM,Germany,2,0,2020-01-11
GM,Germany,3,0,2020-01-18
GM,Germany,4,0,2020-01-25
GM,Germany,5,7,2020-02-01
GM,Germany,6,6,2020-02-08
GM,Germany,7,2,2020-02-15
GM,Germany,8,0,2020-02-22
GM,Germany,9,42,2020-02-29
GM,Germany,10,627,2020-03-07
GM,Germany,11,2378,2020-03-14
GM,Germany,12,15125,2020-03-21
GM,Germany,13,30395,2020-03-28
GM,Germany,14,37196,2020-04-04
GM,Germany,15,31880,2020-04-11
GM,Germany,16,19781,2020-04-18
GM,Germany,17,14999,2020-04-25
GM,Germany,18,9265,2020-05-02
GM,Germany,19,6848,2020-05-09
GM,Germany,20,5221,2020-05-16
GM,Germany,21,4078,2020-05-23
GM,Germany,22,3346,2020-05-30
GM,Germany,23,2482,2020-06-06
GM,Germany,24,2344,2020-06-13
GM,Germany,25,3113,2020-06-20
GM,Germany,26,4108,2020-06-27
GM,Germany,27,2853,2020-07-04
GM,Germany,28,2460,2020-07-11
GM,Germany,29,2816,2020-07-18
GM,Germany,30,3592,2020-07-25
GM,Germany,31,4689,2020-08-01
GM,Germany,32,6268,2020-08-08
GM,Germany,33,7594,2020-08-15
GM,Germany,34,8567,2020-08-22
GM,Germany,35,8904,2020-08-29
GM,Germany,36,8011,2020-09-05
GM,Germany,37,9483,2020-09-12
GM,Germany,38,11590,2020-09-19
GM,Germany,39,12660,2020-09-26
GM,Germany,40,14228,2020-10-03
GM,Germany,41,22423,2020-10-10
PL,Poland,10,5,2020-03-07
PL,Poland,11,63,2020-03-14
PL,Poland,12,357,2020-03-21
PL,Poland,13,964,2020-03-28
PL,Poland,14,1994,2020-04-04
PL,Poland,15,2572,2020-04-11
PL,Poland,16,2424,2020-04-18
PL,Poland,17,2513,2020-04-25
PL,Poland,18,2213,2020-05-02
PL,Poland,19,2261,2020-05-09
PL,Poland,20,2650,2020-05-16
PL,Poland,21,2603,2020-05-23
PL,Poland,22,2536,2020-05-30
PL,Poland,23,2264,2020-06-06
PL,Poland,24,3158,2020-06-13
PL,Poland,25,2739,2020-06-20
PL,Poland,26,2079,2020-06-27
PL,Poland,27,2010,2020-07-04
PL,Poland,28,1811,2020-07-11
PL,Poland,29,2191,2020-07-18
PL,Poland,30,2631,2020-07-25
PL,Poland,31,3650,2020-08-01
PL,Poland,32,4636,2020-08-08
PL,Poland,33,4995,2020-08-15
PL,Poland,34,4962,2020-08-22
PL,Poland,35,5199,2020-08-29
PL,Poland,36,4340,2020-09-05
PL,Poland,37,3227,2020-09-12
PL,Poland,38,4281,2020-09-19
PL,Poland,39,7068,2020-09-26
PL,Poland,40,11377,2020-10-03
PL,Poland,41,20565,2020-10-10
