region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,101673 (36400 -- 222867),101673,113498,69852,36400,71002,89804,114172,141514,222867,New confirmed cases by infection date,Likely decreasing,0.75
Poland,30754 (6253 -- 82778),30754,36705,28745,6253,19491,26759,36385,46151,82778,New confirmed cases by infection date,Likely decreasing,0.67
North Rhine-Westphalia State,16959 (6253 -- 48191),16959,21434,22498,6253,11299,14500,19428,24905,48191,New confirmed cases by infection date,Likely decreasing,0.69
Free State of Bavaria,16794 (3945 -- 47021),16794,20253,15724,3945,10334,14310,19964,25452,47021,New confirmed cases by infection date,Likely decreasing,0.69
Brandenburg State,13129 (2189 -- 43989),13129,17005,18053,2189,4992,9624,16475,23002,43989,New confirmed cases by infection date,Stable,0.42
Free State of Thuringia,12884 (1243 -- 128244),12884,33851,78325,1243,5015,9256,18362,33973,128244,New confirmed cases by infection date,Likely increasing,0.38
Free State of Saxony,12832 (1335 -- 72950),12832,21721,29941,1335,6081,9944,16534,24973,72950,New confirmed cases by infection date,Likely decreasing,0.8
Sachsen-Anhalt State,11450 (1593 -- 43872),11450,15796,16271,1593,6172,9201,13792,19596,43872,New confirmed cases by infection date,Stable,0.4
Berlin State,10361 (3399 -- 32628),10361,13842,17685,3399,6832,8841,11991,15883,32628,New confirmed cases by infection date,Likely increasing,0.33
Lower Saxony State,10162 (3779 -- 22691),10162,11382,6268,3779,7365,9107,11403,13914,22691,New confirmed cases by infection date,Likely increasing,0.28
Free State of Thüringia,9143 (1650 -- 36372),9143,12801,13069,1650,5174,7370,11071,15752,36372,New confirmed cases by infection date,Stable,0.54
Hesse State,8229 (2901 -- 24044),8229,10397,8989,2901,5644,7195,9570,12392,24044,New confirmed cases by infection date,Likely decreasing,0.72
Rhineland-Palatinate State,8136 (2359 -- 38267),8136,44283,565164,2359,4862,6724,9909,14392,38267,New confirmed cases by infection date,Stable,0.45
Mazowieckie,7557 (2668 -- 23216),7557,10018,12379,2668,5025,6437,8645,11187,23216,New confirmed cases by infection date,Likely increasing,0.28
Baden-Württemberg State,7478 (1559 -- 24793),7478,9972,10630,1559,4299,6168,9086,12582,24793,New confirmed cases by infection date,Likely decreasing,0.8
Schleswig-Holstein State,5882 (1770 -- 36383),5882,24811,482022,1770,3836,5027,6988,9803,36383,New confirmed cases by infection date,Likely increasing,0.15
Wielkopolskie,4072 (1339 -- 8988),4072,4558,3057,1339,2956,3646,4575,5392,8988,New confirmed cases by infection date,Likely decreasing,0.77
Mecklenburg-Western Pomerania State,3639 (1236 -- 10752),3639,4701,5368,1236,2533,3179,4157,5274,10752,New confirmed cases by infection date,Likely increasing,0.15
Zachodniopomorskie,3077 (543 -- 12558),3077,4874,19445,543,1757,2515,3646,4971,12558,New confirmed cases by infection date,Likely decreasing,0.64
Slaskie,2783 (460 -- 9579),2783,3658,3490,460,1624,2313,3321,4501,9579,New confirmed cases by infection date,Likely decreasing,0.72
Free Hanseatic City of Hamburg,2683 (354 -- 13718),2683,4605,7613,354,1320,2071,3441,5002,13718,New confirmed cases by infection date,Stable,0.56
Kujawsko-Pomorskie,2630 (807 -- 6065),2630,3025,2392,807,1721,2256,3032,3763,6065,New confirmed cases by infection date,Likely decreasing,0.69
Dolnoslaskie,2603 (841 -- 10504),2603,3913,7097,841,1611,2131,3085,4261,10504,New confirmed cases by infection date,Stable,0.49
Pomorskie,2140 (86 -- 10629),2140,4012,17741,86,775,1573,2763,4063,10629,New confirmed cases by infection date,Likely decreasing,0.7
Lodzkie,2134 (25 -- 19327),2134,10368,139126,25,590,1429,3119,5119,19327,New confirmed cases by infection date,Likely decreasing,0.71
Lubelskie,2103 (253 -- 7053),2103,2709,3686,253,1112,1744,2513,3293,7053,New confirmed cases by infection date,Likely decreasing,0.75
Warminsko-Mazurskie,2055 (306 -- 8246),2055,3260,6688,306,1192,1711,2497,3387,8246,New confirmed cases by infection date,Likely decreasing,0.69
Podlaskie,1714 (477 -- 13266),1714,5454,38929,477,964,1369,2139,3381,13266,New confirmed cases by infection date,Likely increasing,0.33
Saarland State,1427 (181 -- 6525),1427,3118,25899,181,697,1045,1824,2667,6525,New confirmed cases by infection date,Likely decreasing,0.6
Lubuskie,1263 (47 -- 6015),1263,3312,43877,47,589,999,1566,2274,6015,New confirmed cases by infection date,Likely decreasing,0.62
Malopolskie,1132 (61 -- 6032),1132,2036,4844,61,453,847,1484,2363,6032,New confirmed cases by infection date,Likely decreasing,0.7
Podkarpackie,1114 (133 -- 5043),1114,2179,11714,133,583,878,1399,1949,5043,New confirmed cases by infection date,Likely decreasing,0.7
Swietokrzyskie,885 (116 -- 4186),885,1483,3474,116,471,708,1102,1572,4186,New confirmed cases by infection date,Likely decreasing,0.6
Free Hanseatic City of Bremen,516 (139 -- 2209),516,828,1325,139,341,439,625,873,2209,New confirmed cases by infection date,Stable,0.44
Opolskie,474 (175 -- 1853),474,700,1027,175,324,407,563,751,1853,New confirmed cases by infection date,Likely decreasing,0.87
Free State of Thuringia,1.1 (0.68 -- 1.7),1.1,1.1,0.36,0.68,0.92,1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.38
Mazowieckie,1.1 (0.81 -- 1.4),1.1,1.1,0.22,0.81,0.99,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.28
Mecklenburg-Western Pomerania State,1.1 (0.87 -- 1.3),1.1,1.1,0.17,0.87,1.1,1.1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.15
Podlaskie,1.1 (0.83 -- 1.8),1.1,1.2,0.4,0.83,0.97,1,1.1,1.2,1.8,Effective reproduction no.,Likely increasing,0.33
Schleswig-Holstein State,1.1 (0.89 -- 1.9),1.1,1.2,0.41,0.89,1.1,1.1,1.2,1.2,1.9,Effective reproduction no.,Likely increasing,0.15
Berlin State,1 (0.85 -- 1.2),1,1,0.15,0.85,0.98,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.33
Brandenburg State,1 (0.51 -- 1.2),1,0.95,0.26,0.51,0.63,0.99,1.1,1.1,1.2,Effective reproduction no.,Stable,0.42
Dolnoslaskie,1 (0.78 -- 1.4),1,1,0.2,0.78,0.93,0.97,1,1.1,1.4,Effective reproduction no.,Stable,0.49
Free Hanseatic City of Bremen,1 (0.77 -- 1.3),1,1,0.18,0.77,0.95,0.99,1,1.1,1.3,Effective reproduction no.,Stable,0.44
Lower Saxony State,1 (0.84 -- 1.1),1,1,0.1,0.84,0.99,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing,0.28
Rhineland-Palatinate State,1 (0.79 -- 1.5),1,1.1,0.5,0.79,0.93,0.98,1.1,1.1,1.5,Effective reproduction no.,Stable,0.45
Sachsen-Anhalt State,1 (0.63 -- 1.3),1,1,0.2,0.63,0.92,1,1.1,1.1,1.3,Effective reproduction no.,Stable,0.4
Free State of Thüringia,0.99 (0.61 -- 1.2),0.99,0.96,0.2,0.61,0.87,0.94,1,1.1,1.2,Effective reproduction no.,Stable,0.54
Free Hanseatic City of Hamburg,0.98 (0.59 -- 1.3),0.98,0.96,0.23,0.59,0.86,0.93,1,1.1,1.3,Effective reproduction no.,Stable,0.56
Zachodniopomorskie,0.98 (0.61 -- 1.2),0.98,0.96,0.21,0.61,0.89,0.96,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.64
Kujawsko-Pomorskie,0.97 (0.73 -- 1.1),0.97,0.95,0.14,0.73,0.89,0.94,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.69
Lubuskie,0.97 (0.38 -- 1.3),0.97,0.93,0.37,0.38,0.82,0.94,0.99,1,1.3,Effective reproduction no.,Likely decreasing,0.62
Wielkopolskie,0.97 (0.73 -- 1.1),0.97,0.95,0.14,0.73,0.92,0.96,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.77
Saarland State,0.96 (0.57 -- 1.3),0.96,0.95,0.26,0.57,0.82,0.91,1,1.1,1.3,Effective reproduction no.,Likely decreasing,0.6
Swietokrzyskie,0.96 (0.48 -- 1.3),0.96,0.96,0.27,0.48,0.85,0.93,1,1.1,1.3,Effective reproduction no.,Likely decreasing,0.6
