region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2021-05-10,981,11,,,,,,,,,
Baden-Wurttemberg,2021-05-11,1000,28,,,,,,,,,
Baden-Wurttemberg,2021-05-12,2562,43,,,,,,,,,
Baden-Wurttemberg,2021-05-13,2841,32,,,,,,,,,
Baden-Wurttemberg,2021-05-14,2040,11,,,,,,,,,
Baden-Wurttemberg,2021-05-15,1165,35,,,,,,,,,
Baden-Wurttemberg,2021-05-16,1392,8,,,,,,,,,
Baden-Wurttemberg,2021-05-17,615,9,,,,,,,,,
Baden-Wurttemberg,2021-05-18,594,22,,,,,,,,,
Baden-Wurttemberg,2021-05-19,1863,26,,,,,,,,,
Baden-Wurttemberg,2021-05-20,2103,29,,,,,,,,,
Baden-Wurttemberg,2021-05-21,1451,31,,,,,,,,,
Baden-Wurttemberg,2021-05-22,1247,17,,,,,,,,,
Baden-Wurttemberg,2021-05-23,1249,13,,,,,,,,,
Baden-Wurttemberg,2021-05-24,507,5,,,,,,,,,
Baden-Wurttemberg,2021-05-25,266,3,,,,,,,,,
Baden-Wurttemberg,2021-05-26,360,26,,,,,,,,,
Baden-Wurttemberg,2021-05-27,1000,18,,,,,,,,,
Baden-Wurttemberg,2021-05-28,1237,22,,,,,,,,,
Baden-Wurttemberg,2021-05-29,840,18,,,,,,,,,
Baden-Wurttemberg,2021-05-30,758,7,,,,,,,,,
Baden-Wurttemberg,2021-05-31,284,9,,,,,,,,,
Baden-Wurttemberg,2021-06-01,264,20,,,,,,,,,
Baden-Wurttemberg,2021-06-02,773,22,,,,,,,,,
Baden-Wurttemberg,2021-06-03,828,12,,,,,,,,,
Baden-Wurttemberg,2021-06-04,575,5,,,,,,,,,
Baden-Wurttemberg,2021-06-05,258,6,,,,,,,,,
Baden-Wurttemberg,2021-06-06,422,3,,,,,,,,,
Baden-Wurttemberg,2021-06-07,117,0,,,,,,,,,
Baden-Wurttemberg,2021-06-08,220,13,,,,,,,,,
Baden-Wurttemberg,2021-06-09,667,6,,,,,,,,,
Baden-Wurttemberg,2021-06-10,617,10,,,,,,,,,
Baden-Wurttemberg,2021-06-11,429,14,,,,,,,,,
Baden-Wurttemberg,2021-06-12,388,12,,,,,,,,,
Baden-Wurttemberg,2021-06-13,329,2,,,,,,,,,
Baden-Wurttemberg,2021-06-14,108,2,,,,,,,,,
Baden-Wurttemberg,2021-06-15,97,20,,,,,,,,,
Baden-Wurttemberg,2021-06-16,275,17,,,,,,,,,
Baden-Wurttemberg,2021-06-17,289,23,,,,,,,,,
Baden-Wurttemberg,2021-06-18,178,9,,,,,,,,,
Baden-Wurttemberg,2021-06-19,142,12,,,,,,,,,
Baden-Wurttemberg,2021-06-20,155,2,,,,,,,,,
Baden-Wurttemberg,2021-06-21,65,2,,,,,,,,,
Baden-Wurttemberg,2021-06-22,64,9,,,,,,,,,
Baden-Wurttemberg,2021-06-23,163,5,,,,,,,,,
Baden-Wurttemberg,2021-06-24,303,10,,,,,,,,,
Baden-Wurttemberg,2021-06-25,112,10,,,,,,,,,
Baden-Wurttemberg,2021-06-26,160,26,,,,,,,,,
Baden-Wurttemberg,2021-06-27,94,1,,,,,,,,,
Baden-Wurttemberg,2021-06-28,31,4,,,,,,,,,
Baden-Wurttemberg,2021-06-29,50,9,,,,,,,,,
Baden-Wurttemberg,2021-06-30,141,8,,,,,,,,,
Baden-Wurttemberg,2021-07-01,133,18,,,,,,,,,
Baden-Wurttemberg,2021-07-02,85,11,,,,,,,,,
Baden-Wurttemberg,2021-07-03,102,4,,,,,,,,,
Baden-Wurttemberg,2021-07-04,108,2,,,,,,,,,
Baden-Wurttemberg,2021-07-05,34,,1.6,2.1,1,0,0,1,1,2,5
Baden-Wurttemberg,2021-07-06,32,,5.2,5,4,0,2,3,5,7,13
Baden-Wurttemberg,2021-07-07,90,,4.2,3.8,3,0,2,3,4,6,11
Baden-Wurttemberg,2021-07-08,103,,6.9,5.3,6,1,3,5,7,9,17
Baden-Wurttemberg,2021-07-09,79,,4.8,4.1,4,0,2,3,5,7,13
Baden-Wurttemberg,2021-07-10,67,,5.4,4.7,4,0,2,3,5,8,13
Baden-Wurttemberg,2021-07-11,61,,0.9,1.3,1,0,0,0,1,1,3
Baden-Wurttemberg,2021-07-12,27,,1,1.5,1,0,0,0,1,1,3
Baden-Wurttemberg,2021-07-13,25,,3.3,3.1,3,0,1,2,3,5,9
Baden-Wurttemberg,2021-07-14,65,,2.7,2.8,2,0,1,1,3,4,7
Baden-Wurttemberg,2021-07-15,76,,4.6,4,4,0,2,3,5,6,12
Baden-Wurttemberg,2021-07-16,61,,3.3,3.1,3,0,1,2,3,4,9
Baden-Wurttemberg,2021-07-17,50,,3.9,3.5,3,0,1,2,4,5,11
Baden-Wurttemberg,2021-07-18,46,,0.7,1.1,0,0,0,0,1,1,3
Baden-Wurttemberg,2021-07-19,19,,0.7,1.1,0,0,0,0,1,1,3
Baden-Wurttemberg,2021-07-20,18,,2.5,2.7,2,0,1,1,2,3,7
Baden-Wurttemberg,2021-07-21,50,,2.2,2.3,2,0,1,1,2,3,7
Baden-Wurttemberg,2021-07-22,57,,3.5,3.2,3,0,1,2,4,5,10
Baden-Wurttemberg,2021-07-23,46,,2.6,2.9,2,0,1,1,2,4,7
Baden-Wurttemberg,2021-07-24,37,,3,3,2,0,1,2,3,4,9
Baden-Wurttemberg,2021-07-25,35,,0.6,1.1,0,0,0,0,0,1,2
Baden-Wurttemberg,2021-07-26,15,,0.6,1.2,0,0,0,0,0,1,3
Baden-Wurttemberg,2021-07-27,14,,2,2.8,1,0,0,1,2,2,6
Baden-Wurttemberg,2021-07-28,38,,1.7,2.4,1,0,0,1,1,2,6
Baden-Wurttemberg,2021-07-29,44,,3.1,5.5,2,0,1,2,3,4,8
Baden-Wurttemberg,2021-07-30,35,,2.3,4.6,1,0,0,1,2,3,7
Baden-Wurttemberg,2021-07-31,30,,2.8,5.2,2,0,1,1,2,3,8
Baden-Wurttemberg,2021-08-01,27,,0.5,1.5,0,0,0,0,0,1,2
Baden-Wurttemberg,2021-08-02,11,,0.6,2.3,0,0,0,0,0,1,2
Baden-Wurttemberg,2021-08-03,10,,2.2,7.4,1,0,0,1,1,2,6
Baden-Wurttemberg,2021-08-04,29,,1.8,4.5,1,0,0,1,1,2,6
Bavaria,2021-05-10,1232,6,,,,,,,,,
Bavaria,2021-05-11,608,53,,,,,,,,,
Bavaria,2021-05-12,2232,26,,,,,,,,,
Bavaria,2021-05-13,2567,40,,,,,,,,,
Bavaria,2021-05-14,1879,15,,,,,,,,,
Bavaria,2021-05-15,1230,25,,,,,,,,,
Bavaria,2021-05-16,1521,9,,,,,,,,,
Bavaria,2021-05-17,1028,11,,,,,,,,,
Bavaria,2021-05-18,604,36,,,,,,,,,
