Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,15384 (6649 -- 38205),Likely increasing,1.2 (0.95 -- 1.6),0.057 (-0.013 -- 0.16),12 (4.4 -- -52)
Bavaria,28395 (17557 -- 48121),Increasing,1.3 (1.1 -- 1.6),0.086 (0.038 -- 0.15),8.1 (4.8 -- 18)
Berlin,3629 (2085 -- 6425),Likely increasing,1.1 (0.93 -- 1.3),0.031 (-0.018 -- 0.079),22 (8.8 -- -38)
Brandenburg,2352 (1313 -- 4982),Increasing,1.2 (1 -- 1.6),0.058 (0.0017 -- 0.15),12 (4.6 -- 420)
Bremen,204 (120 -- 369),Likely decreasing,0.93 (0.78 -- 1.2),-0.021 (-0.062 -- 0.042),-33 (16 -- -11)
Dolnośląskie,3222 (1774 -- 6486),Increasing,1.7 (1.3 -- 2.2),0.17 (0.086 -- 0.29),4.1 (2.4 -- 8)
Germany,109442 (69978 -- 177836),Increasing,1.3 (1.2 -- 1.6),0.088 (0.041 -- 0.15),7.9 (4.6 -- 17)
Hamburg,1205 (621 -- 3146),Likely increasing,1.1 (0.94 -- 1.4),0.02 (-0.016 -- 0.11),35 (6.4 -- -43)
Hesse,6477 (3391 -- 13058),Increasing,1.4 (1.1 -- 2),0.11 (0.022 -- 0.24),6.3 (2.9 -- 32)
Kujawsko-Pomorskie,1734 (1023 -- 3148),Increasing,1.4 (1.2 -- 1.7),0.11 (0.064 -- 0.18),6.1 (3.9 -- 11)
Lower Saxony,3723 (2095 -- 6816),Likely increasing,1.1 (0.92 -- 1.4),0.038 (-0.022 -- 0.11),18 (6.3 -- -32)
Lubelskie,8054 (4254 -- 14803),Likely increasing,1.2 (0.87 -- 1.6),0.06 (-0.036 -- 0.15),11 (4.5 -- -19)
Lubuskie,544 (293 -- 1159),Increasing,1.3 (1.1 -- 1.6),0.085 (0.035 -- 0.16),8.1 (4.3 -- 20)
Mazowieckie,9124 (6277 -- 14728),Increasing,1.4 (1.3 -- 1.6),0.11 (0.079 -- 0.15),6.5 (4.5 -- 8.8)
Małopolskie,1807 (1114 -- 3208),Increasing,1.3 (1.2 -- 1.6),0.087 (0.042 -- 0.15),8 (4.7 -- 16)
Mecklenburg-Vorpommern,737 (416 -- 1422),Likely increasing,1 (0.85 -- 1.2),0.0078 (-0.043 -- 0.051),89 (14 -- -16)
North Rhine-Westphalia,14978 (8449 -- 28876),Increasing,1.4 (1.1 -- 1.8),0.094 (0.023 -- 0.19),7.4 (3.6 -- 30)
Opolskie,774 (430 -- 1532),Increasing,1.5 (1.2 -- 1.8),0.13 (0.066 -- 0.21),5.4 (3.3 -- 11)
Podkarpackie,3119 (1856 -- 5598),Increasing,1.6 (1.4 -- 2),0.15 (0.092 -- 0.24),4.5 (2.9 -- 7.6)
Podlaskie,4059 (2559 -- 6984),Increasing,1.3 (1.1 -- 1.5),0.08 (0.038 -- 0.12),8.7 (5.9 -- 18)
Poland,49333 (33785 -- 73758),Increasing,1.4 (1.3 -- 1.6),0.11 (0.072 -- 0.16),6.2 (4.4 -- 9.6)
Pomorskie,1584 (1011 -- 2637),Increasing,1.3 (1.2 -- 1.5),0.08 (0.042 -- 0.13),8.6 (5.4 -- 16)
Rhineland-Palatinate,2731 (1474 -- 5463),Likely increasing,1.2 (0.94 -- 1.6),0.055 (-0.016 -- 0.15),13 (4.5 -- -43)
Saarland,309 (136 -- 672),Likely decreasing,0.95 (0.66 -- 1.2),-0.014 (-0.098 -- 0.059),-49 (12 -- -7.1)
Saxony,6326 (3813 -- 14501),Increasing,1.2 (1.1 -- 1.5),0.046 (0.021 -- 0.12),15 (5.9 -- 33)
Saxony-Anhalt,2167 (1293 -- 4113),Increasing,1.2 (1.1 -- 1.5),0.058 (0.023 -- 0.12),12 (5.7 -- 30)
Schleswig-Holstein,2684 (1554 -- 5447),Increasing,1.4 (1.2 -- 1.8),0.11 (0.054 -- 0.19),6 (3.6 -- 13)
Thuringia,4961 (2765 -- 10267),Increasing,1.3 (1.1 -- 1.6),0.074 (0.024 -- 0.15),9.4 (4.6 -- 29)
Warmińsko-Mazurskie,1822 (1091 -- 3439),Increasing,1.5 (1.3 -- 1.9),0.14 (0.076 -- 0.23),5.1 (3 -- 9.1)
Wielkopolskie,1985 (1200 -- 3656),Increasing,1.4 (1.2 -- 1.6),0.1 (0.055 -- 0.16),6.9 (4.4 -- 13)
Zachodniopomorskie,2290 (1397 -- 4130),Increasing,1.4 (1.2 -- 1.6),0.095 (0.053 -- 0.16),7.3 (4.3 -- 13)
Łódzkie,2240 (1318 -- 3994),Increasing,1.4 (1.2 -- 1.7),0.1 (0.048 -- 0.17),6.8 (4.2 -- 14)
Śląskie,2037 (1336 -- 3377),Increasing,1.4 (1.2 -- 1.6),0.1 (0.062 -- 0.14),6.9 (4.8 -- 11)
Świętokrzyskie,961 (542 -- 1768),Increasing,1.5 (1.3 -- 1.8),0.12 (0.067 -- 0.19),5.6 (3.6 -- 10)
