forecaster_id,location,location_name,inc,type,forecast_date,forecast_week,expert,leaderboard,name_board,assigned_forecast_type,forecast_type,distribution,median,lower_90,upper_90,width,horizon,target_end_date,assigned_baseline_model,chosen_baseline_model,forecast_duration,quantile,value,target
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.01,75196.3557633934,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.025,81508.493119989,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.05,87359.4751035101,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.1,94628.429773662,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.15,99871.459664015,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.2,104244.867837574,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.25,108149.178499521,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.3,111779.836224539,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.35,115252.894769559,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.4,118648.215031639,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.45,122028.400078269,1 wk ahead inc case
515822,GM,Germany,incident,quantile,2020-11-23T00:00:00Z,48,TRUE,yes,seabbs,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,,0.5,125449,1 wk ahead inc case
