Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,4449 (1262 -- 19561),Stable,0.97 (0.72 -- 1.4),-0.0093 (-0.082 -- 0.1),-74 (6.8 -- -8.5)
Bavaria,7688 (1677 -- 43217),Stable,0.97 (0.66 -- 1.4),-0.0076 (-0.098 -- 0.12),-92 (6 -- -7.1)
Berlin,420 (69 -- 4288),Stable,0.96 (0.63 -- 1.7),-0.012 (-0.11 -- 0.19),-58 (3.7 -- -6.4)
Brandenburg,1044 (239 -- 4992),Likely decreasing,0.88 (0.59 -- 1.3),-0.032 (-0.12 -- 0.087),-21 (7.9 -- -5.7)
Bremen,192 (8 -- 1355),Likely decreasing,0.95 (0.47 -- 1.4),-0.015 (-0.16 -- 0.096),-46 (7.2 -- -4.3)
Dolnośląskie,9227 (2110 -- 64210),Likely increasing,1.1 (0.77 -- 1.7),0.015 (-0.065 -- 0.17),48 (4.1 -- -11)
Germany,36721 (12296 -- 129011),Likely decreasing,0.94 (0.73 -- 1.3),-0.016 (-0.077 -- 0.08),-43 (8.7 -- -9.1)
Hamburg,598 (177 -- 1890),Likely increasing,1 (0.79 -- 1.3),0.0087 (-0.06 -- 0.071),80 (9.8 -- -12)
Hesse,506 (94 -- 2297),Likely decreasing,0.86 (0.54 -- 1.3),-0.039 (-0.14 -- 0.068),-18 (10 -- -5.1)
Kujawsko-Pomorskie,2878 (509 -- 14941),Likely decreasing,0.88 (0.58 -- 1.2),-0.033 (-0.12 -- 0.057),-21 (12 -- -5.6)
Lower Saxony,3537 (708 -- 33554),Likely increasing,1.1 (0.75 -- 1.8),0.019 (-0.073 -- 0.21),37 (3.4 -- -9.5)
Lubelskie,2241 (456 -- 11349),Likely decreasing,0.93 (0.65 -- 1.3),-0.02 (-0.1 -- 0.08),-35 (8.7 -- -6.7)
Lubuskie,1506 (58 -- 14660),Likely decreasing,0.86 (0.29 -- 1.4),-0.039 (-0.22 -- 0.11),-18 (6.3 -- -3.1)
Mazowieckie,7272 (2305 -- 34848),Stable,1 (0.75 -- 1.5),0.0023 (-0.071 -- 0.14),300 (4.9 -- -9.8)
Małopolskie,3156 (455 -- 22937),Likely decreasing,0.85 (0.53 -- 1.3),-0.041 (-0.14 -- 0.092),-17 (7.6 -- -5)
Mecklenburg-Vorpommern,1504 (530 -- 7284),Likely increasing,1.1 (0.87 -- 1.6),0.021 (-0.037 -- 0.15),33 (4.5 -- -19)
North Rhine-Westphalia,1782 (414 -- 6123),Likely decreasing,0.82 (0.55 -- 1.1),-0.052 (-0.13 -- 0.026),-13 (26 -- -5.2)
Opolskie,1218 (172 -- 9951),Likely decreasing,0.85 (0.53 -- 1.4),-0.041 (-0.14 -- 0.094),-17 (7.3 -- -4.9)
Podkarpackie,4599 (557 -- 29155),Stable,1 (0.6 -- 1.4),0.0034 (-0.12 -- 0.12),210 (5.8 -- -5.9)
Podlaskie,1103 (175 -- 9431),Stable,0.97 (0.58 -- 1.6),-0.0096 (-0.12 -- 0.17),-72 (4.2 -- -5.6)
Poland,53517 (15019 -- 215906),Likely decreasing,0.95 (0.72 -- 1.3),-0.015 (-0.081 -- 0.084),-48 (8.2 -- -8.6)
Pomorskie,4409 (814 -- 24969),Stable,0.99 (0.63 -- 1.4),-0.0036 (-0.11 -- 0.1),-190 (6.8 -- -6.4)
Rhineland-Palatinate,186 (20 -- 943),Likely decreasing,0.72 (0.39 -- 1.1),-0.081 (-0.19 -- 0.021),-8.6 (33 -- -3.7)
Saarland,1190 (158 -- 25897),Likely increasing,1.1 (0.7 -- 2.3),0.018 (-0.089 -- 0.31),38 (2.2 -- -7.8)
Saxony,8959 (1534 -- 63914),Likely decreasing,0.93 (0.6 -- 1.4),-0.019 (-0.12 -- 0.12),-36 (6 -- -5.8)
Saxony-Anhalt,1231 (207 -- 5844),Likely decreasing,0.87 (0.55 -- 1.2),-0.038 (-0.13 -- 0.055),-18 (13 -- -5.2)
Schleswig-Holstein,350 (77 -- 2280),Stable,0.99 (0.72 -- 1.6),-0.0032 (-0.079 -- 0.15),-210 (4.6 -- -8.7)
Thuringia,4577 (1121 -- 24331),Stable,0.97 (0.68 -- 1.4),-0.0081 (-0.093 -- 0.11),-85 (6.5 -- -7.5)
Warmińsko-Mazurskie,1120 (184 -- 5697),Likely decreasing,0.86 (0.55 -- 1.2),-0.039 (-0.14 -- 0.062),-18 (11 -- -5.1)
Wielkopolskie,3688 (624 -- 20478),Likely decreasing,0.89 (0.56 -- 1.3),-0.031 (-0.13 -- 0.075),-23 (9.3 -- -5.2)
Zachodniopomorskie,2386 (449 -- 11677),Likely decreasing,0.95 (0.61 -- 1.4),-0.013 (-0.11 -- 0.095),-52 (7.3 -- -6.1)
Łódzkie,4019 (868 -- 16256),Stable,0.98 (0.7 -- 1.3),-0.0059 (-0.087 -- 0.089),-120 (7.8 -- -8)
Śląskie,4902 (1266 -- 23479),Likely decreasing,0.91 (0.64 -- 1.3),-0.026 (-0.11 -- 0.088),-27 (7.9 -- -6.6)
Świętokrzyskie,3989 (791 -- 35549),Likely increasing,1.1 (0.75 -- 1.9),0.018 (-0.071 -- 0.22),38 (3.2 -- -9.7)
