location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,median,shape_log_normal,horizon,target_end_date,zero_baseline,forecaster_id
GM,Germany,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:29:58.907267Z,42,TRUE,24918,0.12,1,2020-10-17T00:00:00Z,TRUE,332193
GM,Germany,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:29:58.907267Z,42,TRUE,27140,0.15,2,2020-10-24T00:00:00Z,TRUE,332193
GM,Germany,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:29:58.907267Z,42,TRUE,29101.4618464851,0.18,3,2020-10-31T00:00:00Z,TRUE,332193
GM,Germany,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:29:58.907267Z,42,TRUE,29244,0.18,4,2020-11-07T00:00:00Z,TRUE,332193
GM,Germany,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:30:53.923141Z,42,TRUE,80,0.1,1,2020-10-17T00:00:00Z,TRUE,332193
GM,Germany,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:30:53.923141Z,42,TRUE,83,0.12,2,2020-10-24T00:00:00Z,TRUE,332193
GM,Germany,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:30:53.923141Z,42,TRUE,90,0.15,3,2020-10-31T00:00:00Z,TRUE,332193
GM,Germany,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:30:53.923141Z,42,TRUE,96,0.18,4,2020-11-07T00:00:00Z,TRUE,332193
PL,Poland,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:32:56.950278Z,42,TRUE,26438,0.2,1,2020-10-17T00:00:00Z,TRUE,332193
PL,Poland,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:32:56.950278Z,42,TRUE,31720,0.2,2,2020-10-24T00:00:00Z,TRUE,332193
PL,Poland,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:32:56.950278Z,42,TRUE,37322,0.2,3,2020-10-31T00:00:00Z,TRUE,332193
PL,Poland,incident,cases,2020-10-11T00:00:00Z,2020-10-11T17:32:56.950278Z,42,TRUE,45046.6244330927,0.2,4,2020-11-07T00:00:00Z,TRUE,332193
PL,Poland,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:33:25.552653Z,42,TRUE,500,0.2,1,2020-10-17T00:00:00Z,TRUE,332193
PL,Poland,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:33:25.552653Z,42,TRUE,622,0.2,2,2020-10-24T00:00:00Z,TRUE,332193
PL,Poland,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:33:25.552653Z,42,TRUE,801,0.2,3,2020-10-31T00:00:00Z,TRUE,332193
PL,Poland,incident,deaths,2020-10-11T00:00:00Z,2020-10-11T17:33:25.552653Z,42,TRUE,1084.19963830413,0.2,4,2020-11-07T00:00:00Z,TRUE,332193
