region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Poland,171,14,524,59,194,90,137,New confirmed cases by infection date,Likely increasing
Germany,22,0,82,5,26,14,20,New confirmed cases by infection date,Unsure
Poland,1.3,0.9,1.9,1.1,1.5,1.2,1.3,Effective reproduction no.,Likely increasing
Germany,1.1,0.5,1.7,1,1.3,1.1,1.1,Effective reproduction no.,Unsure
