Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,6988 (2006 -- 20996),Likely increasing,1.1 (0.77 -- 1.4),0.022 (-0.067 -- 0.1),31 (6.8 -- -10)
Bavaria,6087 (2061 -- 16249),Likely increasing,1 (0.79 -- 1.3),0.013 (-0.059 -- 0.087),52 (8 -- -12)
Berlin,535 (69 -- 1859),Likely decreasing,0.98 (0.63 -- 1.2),-0.0066 (-0.11 -- 0.051),-100 (14 -- -6.3)
Brandenburg,1531 (323 -- 7366),Stable,1 (0.69 -- 1.5),0.0097 (-0.09 -- 0.13),71 (5.4 -- -7.7)
Bremen,117 (16 -- 553),Likely decreasing,0.95 (0.62 -- 1.2),-0.014 (-0.11 -- 0.066),-51 (11 -- -6.1)
Dolnośląskie,57 (0 -- 1215),Likely decreasing,0.55 (0.1 -- 1.1),-0.13 (-0.31 -- 0.036),-5.2 (19 -- -2.2)
Germany,22351 (8795 -- 56412),Stable,0.99 (0.76 -- 1.3),-0.0025 (-0.07 -- 0.072),-280 (9.6 -- -10)
Hamburg,230 (21 -- 1471),Likely decreasing,0.84 (0.45 -- 1.2),-0.045 (-0.17 -- 0.065),-15 (11 -- -4.2)
Hesse,1999 (506 -- 5946),Stable,1 (0.76 -- 1.3),0.0033 (-0.069 -- 0.075),210 (9.2 -- -10)
Kujawsko-Pomorskie,535 (45 -- 3072),Likely decreasing,0.78 (0.37 -- 1.3),-0.062 (-0.2 -- 0.07),-11 (9.9 -- -3.5)
Lower Saxony,1743 (123 -- 8642),Likely decreasing,0.93 (0.45 -- 1.4),-0.02 (-0.17 -- 0.095),-34 (7.3 -- -4.2)
Lubelskie,680 (86 -- 2804),Likely decreasing,0.88 (0.47 -- 1.3),-0.033 (-0.16 -- 0.082),-21 (8.4 -- -4.4)
Lubuskie,404 (15 -- 7843),Likely decreasing,0.87 (0.32 -- 2.1),-0.036 (-0.21 -- 0.26),-19 (2.7 -- -3.2)
Mazowieckie,156 (8 -- 1668),Likely decreasing,0.57 (0.21 -- 1.2),-0.13 (-0.26 -- 0.049),-5.5 (14 -- -2.7)
Małopolskie,1153 (215 -- 12180),Likely decreasing,0.93 (0.59 -- 1.7),-0.018 (-0.12 -- 0.19),-38 (3.7 -- -5.7)
Mecklenburg-Vorpommern,3127 (671 -- 16403),Likely increasing,1.1 (0.76 -- 1.6),0.037 (-0.07 -- 0.17),19 (4.2 -- -9.9)
North Rhine-Westphalia,2064 (422 -- 7402),Likely decreasing,0.81 (0.49 -- 1.2),-0.053 (-0.15 -- 0.054),-13 (13 -- -4.5)
Opolskie,249 (15 -- 940),Likely decreasing,0.87 (0.41 -- 1.2),-0.036 (-0.18 -- 0.043),-19 (16 -- -3.9)
Podkarpackie,351 (23 -- 1492),Likely decreasing,0.81 (0.39 -- 1.1),-0.055 (-0.19 -- 0.026),-13 (26 -- -3.7)
Podlaskie,96 (3 -- 616),Likely decreasing,0.71 (0.26 -- 1.1),-0.083 (-0.24 -- 0.032),-8.4 (22 -- -2.9)
Poland,4416 (770 -- 19325),Likely decreasing,0.74 (0.42 -- 1.2),-0.073 (-0.18 -- 0.041),-9.5 (17 -- -3.9)
Pomorskie,598 (14 -- 2958),Likely decreasing,0.84 (0.29 -- 1.1),-0.046 (-0.22 -- 0.024),-15 (29 -- -3.1)
Rhineland-Palatinate,596 (62 -- 3131),Likely decreasing,0.86 (0.44 -- 1.4),-0.039 (-0.17 -- 0.096),-18 (7.2 -- -4)
Saarland,507 (112 -- 2730),Stable,1 (0.68 -- 1.4),0.0054 (-0.092 -- 0.11),130 (6.4 -- -7.5)
Saxony,2685 (428 -- 19134),Likely increasing,1.2 (0.67 -- 1.9),0.044 (-0.097 -- 0.22),16 (3.2 -- -7.1)
Saxony-Anhalt,3127 (829 -- 15911),Likely increasing,1.2 (0.86 -- 1.7),0.049 (-0.04 -- 0.19),14 (3.7 -- -17)
Schleswig-Holstein,1029 (305 -- 3322),Likely increasing,1 (0.79 -- 1.4),0.0095 (-0.06 -- 0.096),73 (7.2 -- -11)
Thuringia,1099 (106 -- 19718),Stable,1 (0.56 -- 2.2),0.0022 (-0.13 -- 0.28),310 (2.5 -- -5.3)
Warmińsko-Mazurskie,651 (99 -- 2288),Likely decreasing,0.94 (0.55 -- 1.2),-0.017 (-0.13 -- 0.067),-40 (10 -- -5.2)
Wielkopolskie,852 (129 -- 2218),Likely decreasing,0.91 (0.55 -- 1.1),-0.025 (-0.13 -- 0.023),-28 (30 -- -5.3)
Zachodniopomorskie,604 (46 -- 2471),Likely decreasing,0.87 (0.4 -- 1.2),-0.037 (-0.19 -- 0.049),-19 (14 -- -3.7)
Łódzkie,1695 (425 -- 4704),Likely decreasing,0.95 (0.68 -- 1.1),-0.013 (-0.09 -- 0.03),-55 (23 -- -7.7)
Śląskie,887 (47 -- 4454),Likely decreasing,0.79 (0.32 -- 1.1),-0.059 (-0.21 -- 0.033),-12 (21 -- -3.2)
Świętokrzyskie,1063 (289 -- 3595),Likely decreasing,0.96 (0.7 -- 1.2),-0.01 (-0.089 -- 0.059),-69 (12 -- -7.8)
