region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,134667 (44007 -- 292376),134667,148872,80924,44007,95226,119311,154305,187804,292376,New confirmed cases by infection date,Likely decreasing,0.64
Free State of Bavaria,72364 (17589 -- 392100),72364,120414,158827,17589,40745,56975,87459,131256,392100,New confirmed cases by infection date,Likely increasing,0.39
Poland,55573 (9989 -- 166074),55573,67784,58957,9989,32851,46740,65242,85213,166074,New confirmed cases by infection date,Stable,0.55
Free State of Saxony,19307 (3495 -- 68663),19307,26179,27710,3495,10936,15593,23726,33114,68663,New confirmed cases by infection date,Stable,0.57
North Rhine-Westphalia State,18831 (4211 -- 50778),18831,22029,16249,4211,11656,15993,22028,27833,50778,New confirmed cases by infection date,Likely decreasing,0.74
Baden-Württemberg State,17784 (4480 -- 62296),17784,24564,34224,4480,10500,14820,20914,28665,62296,New confirmed cases by infection date,Likely decreasing,0.62
Sachsen-Anhalt State,16453 (4455 -- 53863),16453,21520,21235,4455,10350,13936,19636,26001,53863,New confirmed cases by infection date,Likely increasing,0.16
Brandenburg State,15468 (4321 -- 44295),15468,19621,25605,4321,10103,13214,17786,23067,44295,New confirmed cases by infection date,Likely increasing,0.19
Free State of Thüringia,12040 (2497 -- 49211),12040,17791,25667,2497,7059,10002,14595,21223,49211,New confirmed cases by infection date,Stable,0.42
Lower Saxony State,9978 (4055 -- 22560),9978,11267,7150,4055,7260,8880,11245,13579,22560,New confirmed cases by infection date,Likely increasing,0.2
Berlin State,9130 (2136 -- 24408),9130,10873,11401,2136,5587,7761,10494,13441,24408,New confirmed cases by infection date,Likely increasing,0.36
Kujawsko-Pomorskie,8305 (2536 -- 37866),8305,13111,18938,2536,5082,6888,9991,14357,37866,New confirmed cases by infection date,Stable,0.51
Mazowieckie,8048 (2665 -- 28781),8048,10952,10286,2665,5244,6849,9661,13223,28781,New confirmed cases by infection date,Stable,0.4
Wielkopolskie,7560 (2665 -- 20776),7560,9177,6976,2665,5207,6613,8636,10960,20776,New confirmed cases by infection date,Likely decreasing,0.63
Hesse State,7456 (1991 -- 19452),7456,8738,6732,1991,4687,6204,8596,11249,19452,New confirmed cases by infection date,Likely decreasing,0.76
Lubelskie,6579 (1689 -- 26727),6579,10241,17445,1689,3888,5480,8235,11701,26727,New confirmed cases by infection date,Stable,0.46
Slaskie,6088 (1321 -- 24940),6088,9539,22086,1321,3419,4981,7305,10702,24940,New confirmed cases by infection date,Stable,0.54
Zachodniopomorskie,5422 (1001 -- 31663),5422,9977,16731,1001,3114,4419,6812,10355,31663,New confirmed cases by infection date,Stable,0.55
Rhineland-Palatinate State,5069 (759 -- 18454),5069,7831,45217,759,2807,4101,6086,8583,18454,New confirmed cases by infection date,Likely decreasing,0.65
Malopolskie,4071 (605 -- 29687),4071,8848,19780,605,2055,3262,5435,8877,29687,New confirmed cases by infection date,Likely increasing,0.39
Pomorskie,3817 (277 -- 19632),3817,7223,24024,277,1812,3027,4796,7202,19632,New confirmed cases by infection date,Stable,0.54
Saarland State,3473 (679 -- 13803),3473,5328,12176,679,1929,2907,4142,5565,13803,New confirmed cases by infection date,Likely increasing,0.29
Warminsko-Mazurskie,3122 (578 -- 17856),3122,6702,52109,578,1754,2529,3829,5754,17856,New confirmed cases by infection date,Stable,0.51
Swietokrzyskie,3107 (565 -- 27709),3107,8372,24393,565,1468,2353,4075,7056,27709,New confirmed cases by infection date,Likely increasing,0.22
Mecklenburg-Western Pomerania State,2763 (793 -- 7948),2763,3615,9549,793,1821,2400,3158,4038,7948,New confirmed cases by infection date,Likely increasing,0.2
Lubuskie,2594 (451 -- 17583),2594,6045,21669,451,1399,2006,3258,5105,17583,New confirmed cases by infection date,Stable,0.44
Lodzkie,2535 (23 -- 42140),2535,14240,84570,23,550,1481,4086,8351,42140,New confirmed cases by infection date,Likely decreasing,0.69
Free Hanseatic City of Hamburg,2290 (193 -- 9403),2290,3380,5937,193,1063,1793,2928,4094,9403,New confirmed cases by infection date,Stable,0.55
Dolnoslaskie,1867 (543 -- 6896),1867,2699,4109,543,1238,1621,2191,2932,6896,New confirmed cases by infection date,Likely decreasing,0.78
Schleswig-Holstein State,1766 (212 -- 7953),1766,2850,4953,212,826,1345,2313,3460,7953,New confirmed cases by infection date,Stable,0.59
Podlaskie,1095 (374 -- 5885),1095,1964,3579,374,709,925,1341,1970,5885,New confirmed cases by infection date,Likely decreasing,0.6
Podkarpackie,929 (61 -- 4693),929,1641,5217,61,301,667,1222,1812,4693,New confirmed cases by infection date,Likely decreasing,0.76
Opolskie,626 (155 -- 2282),626,1453,25090,155,365,514,754,1064,2282,New confirmed cases by infection date,Likely decreasing,0.84
Free Hanseatic City of Bremen,462 (115 -- 2013),462,740,1530,115,287,390,557,762,2013,New confirmed cases by infection date,Stable,0.44
Swietokrzyskie,1.2 (0.8 -- 2.1),1.2,1.3,0.45,0.8,1,1.1,1.3,1.5,2.1,Effective reproduction no.,Likely increasing,0.22
Brandenburg State,1.1 (0.84 -- 1.3),1.1,1.1,0.14,0.84,1,1.1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.19
Lower Saxony State,1.1 (0.88 -- 1.2),1.1,1.1,0.11,0.88,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.2
Malopolskie,1.1 (0.61 -- 1.7),1.1,1.1,0.35,0.61,0.9,1,1.1,1.3,1.7,Effective reproduction no.,Likely increasing,0.39
Mecklenburg-Western Pomerania State,1.1 (0.8 -- 1.3),1.1,1.1,0.19,0.8,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.2
Saarland State,1.1 (0.75 -- 1.4),1.1,1.1,0.21,0.75,0.98,1,1.1,1.1,1.4,Effective reproduction no.,Likely increasing,0.29
Sachsen-Anhalt State,1.1 (0.85 -- 1.4),1.1,1.1,0.18,0.85,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.16
Berlin State,1 (0.72 -- 1.2),1,1,0.15,0.72,0.96,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.36
Free Hanseatic City of Bremen,1 (0.77 -- 1.3),1,1,0.2,0.77,0.94,0.99,1,1.1,1.3,Effective reproduction no.,Stable,0.44
Free State of Bavaria,1 (0.82 -- 1.2),1,1,0.13,0.82,0.96,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.39
Free State of Thüringia,1 (0.71 -- 1.2),1,1,0.17,0.71,0.93,0.99,1.1,1.1,1.2,Effective reproduction no.,Stable,0.42
Kujawsko-Pomorskie,1 (0.83 -- 1.1),1,0.99,0.11,0.83,0.95,0.99,1,1,1.1,Effective reproduction no.,Stable,0.51
Lubelskie,1 (0.7 -- 1.3),1,1,0.2,0.7,0.95,0.99,1,1.1,1.3,Effective reproduction no.,Stable,0.46
Lubuskie,1 (0.63 -- 1.5),1,1.1,0.3,0.63,0.94,0.99,1.1,1.2,1.5,Effective reproduction no.,Stable,0.44
Mazowieckie,1 (0.79 -- 1.4),1,1.1,0.19,0.79,0.96,1,1.1,1.1,1.4,Effective reproduction no.,Stable,0.4
Warminsko-Mazurskie,1 (0.62 -- 1.5),1,1,0.28,0.62,0.9,0.97,1,1.1,1.5,Effective reproduction no.,Stable,0.51
Pomorskie,0.99 (0.43 -- 1.5),0.99,0.97,0.37,0.43,0.81,0.95,1,1.1,1.5,Effective reproduction no.,Stable,0.54
Zachodniopomorskie,0.99 (0.65 -- 1.2),0.99,0.98,0.18,0.65,0.92,0.98,1,1,1.2,Effective reproduction no.,Stable,0.55
Free Hanseatic City of Hamburg,0.98 (0.52 -- 1.2),0.98,0.94,0.25,0.52,0.83,0.93,1,1.1,1.2,Effective reproduction no.,Stable,0.55
Poland,0.98 (0.58 -- 1.3),0.98,0.96,0.21,0.58,0.87,0.95,1,1.1,1.3,Effective reproduction no.,Stable,0.55
Slaskie,0.98 (0.65 -- 1.4),0.98,1,0.23,0.65,0.9,0.95,1,1.1,1.4,Effective reproduction no.,Stable,0.54
Wielkopolskie,0.98 (0.78 -- 1.2),0.98,0.99,0.12,0.78,0.94,0.97,1,1,1.2,Effective reproduction no.,Likely decreasing,0.63
Free State of Saxony,0.97 (0.61 -- 1.2),0.97,0.96,0.21,0.61,0.86,0.93,1,1.1,1.2,Effective reproduction no.,Stable,0.57
Germany,0.97 (0.71 -- 1.1),0.97,0.95,0.13,0.71,0.9,0.95,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.64
Podlaskie,0.97 (0.78 -- 1.4),0.97,1,0.22,0.78,0.93,0.95,1,1.1,1.4,Effective reproduction no.,Likely decreasing,0.6
Baden-Württemberg State,0.96 (0.72 -- 1.2),0.96,0.97,0.16,0.72,0.89,0.94,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.62
Rhineland-Palatinate State,0.94 (0.54 -- 1.3),0.94,0.93,0.24,0.54,0.82,0.9,0.98,1,1.3,Effective reproduction no.,Likely decreasing,0.65
Schleswig-Holstein State,0.94 (0.52 -- 1.3),0.94,0.94,0.28,0.52,0.78,0.89,1,1.1,1.3,Effective reproduction no.,Stable,0.59
Dolnoslaskie,0.93 (0.71 -- 1.2),0.93,0.94,0.18,0.71,0.88,0.92,0.95,0.99,1.2,Effective reproduction no.,Likely decreasing,0.78
