forecaster_id,location,location_name,inc,type,forecast_week,expert,leaderboard,assigned_forecast_type,forecast_type,distribution,median,lower_90,upper_90,width,horizon,target_end_date,assigned_baseline_model,chosen_baseline_model,forecast_duration
515822,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,125449,89156,186570,0.22,1,2020-11-28,zero,constant,
515822,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,118481,89156,186570,0.23,2,2020-12-05,zero,constant,
515822,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,110613,89156,186570,0.25,3,2020-12-12,zero,constant,
515822,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,102654,89156,186570,0.3,4,2020-12-19,zero,constant,
515822,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,1818,1149,1975,0.16,1,2020-11-28,zero,constant,1.28975571791331
515822,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,2134,1149,1975,0.24,2,2020-12-05,zero,constant,1.28975571791331
515822,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,2104,1149,1975,0.24,3,2020-12-12,zero,constant,1.28975571791331
515822,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,1543,1149,1975,0.24,4,2020-12-19,zero,constant,1.28975571791331
515822,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,122124,102162,231282,0.2,1,2020-11-28,zero,constant,1.99368907610575
515822,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,88928,102162,231282,0.25,2,2020-12-05,zero,constant,1.99368907610575
515822,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,68699,102162,231282,0.35,3,2020-12-12,zero,constant,1.99368907610575
515822,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,56808,102162,231282,0.45,4,2020-12-19,zero,constant,1.99368907610575
515822,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,4192,2444,4229,0.15,1,2020-11-28,zero,constant,2.04144105911255
515822,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,4688,2444,4229,0.22,2,2020-12-05,zero,constant,2.04144105911255
515822,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,3987,2444,4229,0.3,3,2020-12-12,zero,constant,2.04144105911255
515822,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,3332,2444,4229,0.35,4,2020-12-19,zero,constant,2.04144105911255
228720,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,126641,89156,186570,0.22,1,2020-11-28,zero,constant,
228720,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,125917,89156,186570,0.22,2,2020-12-05,zero,constant,
228720,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,123725,89156,186570,0.22,3,2020-12-12,zero,constant,
228720,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,121728,89156,186570,0.22,4,2020-12-19,zero,constant,
228720,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,1668,1149,1975,0.16,1,2020-11-28,zero,constant,36.1052122116089
228720,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,1820,1149,1975,0.16,2,2020-12-05,zero,constant,36.1052122116089
228720,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,1909,1149,1975,0.16,3,2020-12-12,zero,constant,36.1052122116089
228720,GM,Germany,incident,deaths,48,TRUE,yes,distribution,distribution,log-normal,1924,1149,1975,0.16,4,2020-12-19,zero,constant,36.1052122116089
996366,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,125449,89156,186570,0.2,1,2020-11-28,zero,constant,
996366,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,117607,89156,186570,0.25,2,2020-12-05,zero,constant,
996366,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,112008,89156,186570,0.3,3,2020-12-12,zero,constant,
996366,GM,Germany,incident,cases,48,TRUE,yes,distribution,distribution,log-normal,107699,89156,186570,0.33,4,2020-12-19,zero,constant,
228720,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,fifth-power-normal,144057,102162,231282,0.17,1,2020-11-28,zero,constant,158.804366588593
228720,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,fifth-power-normal,137804,102162,231282,0.17,2,2020-12-05,zero,constant,158.804366588593
228720,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,fifth-power-normal,132366,102162,231282,0.17,3,2020-12-12,zero,constant,158.804366588593
228720,PL,Poland,incident,cases,48,TRUE,yes,distribution,distribution,fifth-power-normal,128287,102162,231282,0.17,4,2020-12-19,zero,constant,158.804366588593
228720,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,fifth-power-normal,4004,2444,4229,0.166626036996782,1,2020-11-28,zero,constant,46.9799041748047
228720,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,fifth-power-normal,4924,2444,4229,0.166626036996782,2,2020-12-05,zero,constant,46.9799041748047
228720,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,fifth-power-normal,5490,2444,4229,0.166626036996782,3,2020-12-12,zero,constant,46.9799041748047
228720,PL,Poland,incident,deaths,48,TRUE,yes,distribution,distribution,fifth-power-normal,4248,2444,4229,0.166626036996782,4,2020-12-19,zero,constant,46.9799041748047
