location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,median,shape_log_normal,horizon,target_end_date,zero_baseline,forecaster_id
GM,Germany,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,84123,0.23,1,2020-10-31T00:00:00Z,FALSE,
GM,Germany,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,102889,0.25,2,2020-11-07T00:00:00Z,FALSE,
GM,Germany,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,116388,0.27,3,2020-11-14T00:00:00Z,FALSE,
GM,Germany,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:09:33.355927Z,44,TRUE,124603,0.3,4,2020-11-21T00:00:00Z,FALSE,
GM,Germany,incident,deaths,2020-10-25T00:00:00Z,2020-10-25T17:10:45.610553Z,44,TRUE,302,0.17,1,2020-10-31T00:00:00Z,FALSE,
GM,Germany,incident,deaths,2020-10-25T00:00:00Z,2020-10-25T17:10:45.610553Z,44,TRUE,417,0.21,2,2020-11-07T00:00:00Z,FALSE,
GM,Germany,incident,deaths,2020-10-25T00:00:00Z,2020-10-25T17:10:45.610553Z,44,TRUE,472,0.27,3,2020-11-14T00:00:00Z,FALSE,
GM,Germany,incident,deaths,2020-10-25T00:00:00Z,2020-10-25T17:10:45.610553Z,44,TRUE,507.31950716481,0.25,4,2020-11-21T00:00:00Z,FALSE,
PL,Poland,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:11:57.154600Z,44,TRUE,93605,0.12,1,2020-10-31T00:00:00Z,FALSE,
PL,Poland,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:11:57.154600Z,44,TRUE,112664,0.15,2,2020-11-07T00:00:00Z,FALSE,
PL,Poland,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:11:57.154600Z,44,TRUE,127069,0.2,3,2020-11-14T00:00:00Z,FALSE,
PL,Poland,incident,cases,2020-10-25T00:00:00Z,2020-10-25T17:11:57.154600Z,44,TRUE,135292,0.225,4,2020-11-21T00:00:00Z,FALSE,
PL,Poland,incident,deaths,2020-10-25T00:00:00Z,2020-10-25T17:12:52.437157Z,44,TRUE,964,0.15,1,2020-10-31T00:00:00Z,FALSE,
