forecaster_id,location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,leaderboard,name_board,median,width,distribution,horizon,target_end_date,zero_baseline
996366,GM,Germany,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:12:37.843972Z,46,TRUE,yes,nib,139681,0.15,log-normal,1,2020-11-14T00:00:00Z,FALSE
996366,GM,Germany,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:12:37.843972Z,46,TRUE,yes,nib,147139,0.18,log-normal,2,2020-11-21T00:00:00Z,FALSE
996366,GM,Germany,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:12:37.843972Z,46,TRUE,yes,nib,147139,0.2,log-normal,3,2020-11-28T00:00:00Z,FALSE
996366,GM,Germany,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:12:37.843972Z,46,TRUE,yes,nib,144564.609596959,0.22,log-normal,4,2020-12-05T00:00:00Z,FALSE
996366,GM,Germany,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:14:25.500817Z,46,TRUE,yes,nib,1136,0.16,log-normal,1,2020-11-14T00:00:00Z,FALSE
996366,GM,Germany,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:14:25.500817Z,46,TRUE,yes,nib,1800,0.2,log-normal,2,2020-11-21T00:00:00Z,FALSE
996366,GM,Germany,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:14:25.500817Z,46,TRUE,yes,nib,2870,0.23,log-normal,3,2020-11-28T00:00:00Z,FALSE
996366,GM,Germany,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:14:25.500817Z,46,TRUE,yes,nib,4713,0.27,log-normal,4,2020-12-05T00:00:00Z,FALSE
996366,PL,Poland,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:16:13.991776Z,46,TRUE,yes,nib,183008,0.18,log-normal,1,2020-11-14T00:00:00Z,FALSE
996366,PL,Poland,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:16:13.991776Z,46,TRUE,yes,nib,206878,0.2,log-normal,2,2020-11-21T00:00:00Z,FALSE
996366,PL,Poland,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:16:13.991776Z,46,TRUE,yes,nib,211895,0.22,log-normal,3,2020-11-28T00:00:00Z,FALSE
996366,PL,Poland,incident,cases,2020-11-08T00:00:00Z,2020-11-08T23:16:13.991776Z,46,TRUE,yes,nib,206879,0.25,log-normal,4,2020-12-05T00:00:00Z,FALSE
996366,PL,Poland,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:17:14.064668Z,46,TRUE,yes,nib,2721,0.11,log-normal,1,2020-11-14T00:00:00Z,FALSE
996366,PL,Poland,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:17:14.064668Z,46,TRUE,yes,nib,3935,0.13,log-normal,2,2020-11-21T00:00:00Z,FALSE
996366,PL,Poland,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:17:14.064668Z,46,TRUE,yes,nib,5453,0.16,log-normal,3,2020-11-28T00:00:00Z,FALSE
996366,PL,Poland,incident,deaths,2020-11-08T00:00:00Z,2020-11-08T23:17:14.064668Z,46,TRUE,yes,nib,7462,0.2,log-normal,4,2020-12-05T00:00:00Z,FALSE
515822,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:07:49.806086Z,46,TRUE,yes,seabbs,144315,0.1,log-normal,1,2020-11-14T00:00:00Z,TRUE
