forecaster_id,location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,leaderboard,name_board,median,shape_log_normal,horizon,target_end_date,zero_baseline
515822,GM,Germany,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,seabbs,171377,0.1,1,2020-11-07T00:00:00Z,TRUE
515822,GM,Germany,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,seabbs,230529.792748561,0.15,2,2020-11-14T00:00:00Z,TRUE
515822,GM,Germany,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,seabbs,261604,0.2,3,2020-11-21T00:00:00Z,TRUE
515822,GM,Germany,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,seabbs,286390,0.25,4,2020-11-28T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-02T00:00:00Z,2020-11-02T19:13:13.957519Z,45,TRUE,yes,seabbs,636,0.1,1,2020-11-07T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-02T00:00:00Z,2020-11-02T19:13:13.957519Z,45,TRUE,yes,seabbs,875,0.15,2,2020-11-14T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-02T00:00:00Z,2020-11-02T19:13:13.957519Z,45,TRUE,yes,seabbs,1027,0.2,3,2020-11-21T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-02T00:00:00Z,2020-11-02T19:13:13.957519Z,45,TRUE,yes,seabbs,1080.95705517791,0.3,4,2020-11-28T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:14:54.692938Z,45,TRUE,yes,seabbs,163575,0.1,1,2020-11-07T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:14:54.692938Z,45,TRUE,yes,seabbs,245193,0.2,2,2020-11-14T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:14:54.692938Z,45,TRUE,yes,seabbs,330462,0.25,3,2020-11-21T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-02T00:00:00Z,2020-11-02T19:14:54.692938Z,45,TRUE,yes,seabbs,409750,0.28,4,2020-11-28T00:00:00Z,TRUE
515822,PL,Poland,incident,deaths,2020-11-02T00:00:00Z,2020-11-02T19:17:14.180726Z,45,TRUE,yes,seabbs,1824,0.1,1,2020-11-07T00:00:00Z,TRUE
