region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Germany,118268 (54477 -- 298418),118268,140473,93775,54477,84935,105531,133331,163882,298418,New confirmed cases by infection date,Likely increasing
Poland,69180 (22165 -- 271636),69180,105535,191577,22165,45071,58885,84244,117593,271636,New confirmed cases by infection date,Unsure
Germany,1.1 (0.9 -- 1.4),1.1,1.1,0.16,0.9,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing
Poland,0.92 (0.68 -- 1.3),0.92,0.95,0.21,0.68,0.83,0.89,0.96,1,1.3,Effective reproduction no.,Unsure
