region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Poland,43,10,130,20,47,25,34,New confirmed cases by infection date,Increasing
Germany,14,4,37,7,15,8,11,New confirmed cases by infection date,Increasing
Germany,1.1,1,1.2,1.1,1.1,1.1,1.1,Effective reproduction no.,Increasing
Poland,1.1,1,1.2,1.1,1.1,1.1,1.1,Effective reproduction no.,Increasing
