Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,7585 (3547 -- 19730),Likely increasing,1.1 (0.84 -- 1.5),0.023 (-0.045 -- 0.12),30 (5.6 -- -15)
Bavaria,9430 (5323 -- 17068),Likely increasing,1.1 (0.92 -- 1.4),0.037 (-0.023 -- 0.11),19 (6.3 -- -30)
Berlin,2932 (1695 -- 5565),Likely increasing,1.1 (0.98 -- 1.4),0.039 (-0.0049 -- 0.11),18 (6.5 -- -140)
Brandenburg,1005 (505 -- 1964),Likely increasing,1.1 (0.77 -- 1.4),0.016 (-0.065 -- 0.097),44 (7.2 -- -11)
Bremen,175 (88 -- 322),Decreasing,0.8 (0.6 -- 0.98),-0.055 (-0.12 -- -0.0047),-13 (-150 -- -5.9)
Dolnośląskie,685 (413 -- 1382),Increasing,1.2 (1.1 -- 1.6),0.056 (0.017 -- 0.14),12 (4.8 -- 41)
Germany,40423 (27402 -- 62272),Likely increasing,1.1 (0.96 -- 1.3),0.033 (-0.01 -- 0.09),21 (7.7 -- -67)
Hamburg,785 (371 -- 1859),Stable,0.99 (0.79 -- 1.2),-0.0023 (-0.057 -- 0.053),-300 (13 -- -12)
Hesse,2273 (1185 -- 4491),Stable,0.98 (0.75 -- 1.3),-0.0043 (-0.071 -- 0.079),-160 (8.7 -- -9.7)
Kujawsko-Pomorskie,491 (309 -- 841),Increasing,1.2 (1.1 -- 1.4),0.053 (0.028 -- 0.093),13 (7.4 -- 25)
Lower Saxony,2890 (1600 -- 5265),Likely increasing,1.1 (0.86 -- 1.3),0.023 (-0.038 -- 0.086),31 (8 -- -18)
Lubelskie,5972 (3174 -- 13193),Increasing,1.4 (1.1 -- 2),0.11 (0.02 -- 0.25),6.3 (2.8 -- 35)
Lubuskie,182 (112 -- 343),Increasing,1.2 (1.1 -- 1.4),0.044 (0.017 -- 0.092),16 (7.5 -- 40)
Mazowieckie,3168 (2254 -- 4660),Increasing,1.2 (1.1 -- 1.3),0.063 (0.039 -- 0.086),11 (8 -- 18)
Małopolskie,800 (521 -- 1357),Increasing,1.2 (1.1 -- 1.3),0.045 (0.018 -- 0.088),16 (7.9 -- 40)
Mecklenburg-Vorpommern,616 (297 -- 1135),Stable,1 (0.77 -- 1.2),0.0039 (-0.065 -- 0.059),180 (12 -- -11)
North Rhine-Westphalia,5809 (3336 -- 10667),Stable,1 (0.79 -- 1.3),0.0035 (-0.059 -- 0.076),200 (9.1 -- -12)
Opolskie,170 (105 -- 310),Increasing,1.2 (1.1 -- 1.4),0.048 (0.021 -- 0.11),14 (6.5 -- 32)
Podkarpackie,617 (439 -- 998),Increasing,1.1 (1.1 -- 1.3),0.037 (0.024 -- 0.069),18 (10 -- 29)
Podlaskie,2352 (1419 -- 3826),Increasing,1.3 (1.1 -- 1.5),0.086 (0.038 -- 0.12),8 (5.6 -- 18)
Poland,19470 (13707 -- 29531),Increasing,1.3 (1.1 -- 1.4),0.071 (0.04 -- 0.11),9.8 (6.3 -- 17)
Pomorskie,903 (556 -- 1613),Increasing,1.3 (1.1 -- 1.4),0.067 (0.026 -- 0.11),10 (6.1 -- 27)
Rhineland-Palatinate,1076 (543 -- 2015),Likely decreasing,0.91 (0.66 -- 1.2),-0.024 (-0.099 -- 0.048),-29 (15 -- -7)
Saarland,493 (258 -- 1002),Likely increasing,1.2 (0.77 -- 1.5),0.041 (-0.065 -- 0.12),17 (5.7 -- -11)
Saxony,3961 (2258 -- 7701),Increasing,1.1 (1 -- 1.3),0.037 (0.0085 -- 0.085),19 (8.2 -- 81)
Saxony-Anhalt,1151 (731 -- 2179),Increasing,1.1 (1 -- 1.3),0.027 (0.0036 -- 0.074),25 (9.3 -- 190)
Schleswig-Holstein,561 (330 -- 1002),Likely increasing,1.1 (0.88 -- 1.3),0.015 (-0.033 -- 0.071),45 (9.8 -- -21)
Thuringia,2524 (1408 -- 5426),Increasing,1.2 (1 -- 1.5),0.05 (0.0022 -- 0.13),14 (5.2 -- 310)
Warmińsko-Mazurskie,539 (348 -- 909),Increasing,1.2 (1.1 -- 1.4),0.054 (0.019 -- 0.095),13 (7.3 -- 36)
Wielkopolskie,710 (423 -- 1117),Increasing,1.2 (1.1 -- 1.3),0.055 (0.032 -- 0.091),13 (7.6 -- 21)
Zachodniopomorskie,793 (565 -- 1195),Increasing,1.2 (1.1 -- 1.2),0.045 (0.026 -- 0.065),15 (11 -- 26)
Łódzkie,1038 (611 -- 1976),Increasing,1.3 (1.1 -- 1.6),0.076 (0.035 -- 0.15),9.1 (4.7 -- 20)
Śląskie,831 (542 -- 1484),Increasing,1.2 (1.1 -- 1.3),0.055 (0.035 -- 0.089),13 (7.8 -- 20)
Świętokrzyskie,262 (145 -- 502),Increasing,1.3 (1.1 -- 1.5),0.073 (0.023 -- 0.13),9.5 (5.1 -- 30)
