Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,2664 (650 -- 9509),Likely decreasing,0.84 (0.58 -- 1.1),-0.046 (-0.12 -- 0.024),-15 (28 -- -5.6)
Bavaria,6228 (1648 -- 21000),Likely decreasing,0.87 (0.62 -- 1.1),-0.036 (-0.11 -- 0.035),-19 (20 -- -6.2)
Berlin,1382 (352 -- 5152),Likely decreasing,0.87 (0.59 -- 1.2),-0.036 (-0.12 -- 0.06),-19 (11 -- -5.8)
Brandenburg,493 (28 -- 4154),Likely decreasing,0.66 (0.28 -- 1.2),-0.1 (-0.23 -- 0.043),-7 (16 -- -3)
Bremen,442 (119 -- 1476),Stable,1 (0.77 -- 1.2),0.0015 (-0.065 -- 0.062),450 (11 -- -11)
Dolnośląskie,1281 (509 -- 4541),Likely decreasing,0.98 (0.79 -- 1.3),-0.0059 (-0.06 -- 0.07),-120 (9.8 -- -12)
Germany,37661 (14406 -- 98666),Likely decreasing,0.88 (0.69 -- 1.1),-0.035 (-0.092 -- 0.028),-20 (25 -- -7.5)
Hamburg,318 (4 -- 2085),Likely decreasing,0.8 (0.22 -- 1.2),-0.058 (-0.25 -- 0.064),-12 (11 -- -2.8)
Hesse,2926 (877 -- 9073),Likely decreasing,0.86 (0.62 -- 1.1),-0.04 (-0.11 -- 0.024),-17 (28 -- -6.2)
Kujawsko-Pomorskie,1192 (234 -- 3387),Likely decreasing,0.87 (0.58 -- 1),-0.036 (-0.12 -- 0.013),-19 (55 -- -5.6)
Lower Saxony,8331 (2458 -- 27044),Likely decreasing,0.97 (0.76 -- 1.2),-0.0087 (-0.068 -- 0.046),-80 (15 -- -10)
Lubelskie,1673 (570 -- 3547),Likely decreasing,0.97 (0.75 -- 1.1),-0.008 (-0.073 -- 0.031),-87 (22 -- -9.5)
Lubuskie,1242 (280 -- 17334),Stable,0.99 (0.64 -- 2),-0.0036 (-0.1 -- 0.24),-200 (2.9 -- -6.6)
Mazowieckie,2123 (350 -- 8114),Likely decreasing,0.86 (0.5 -- 1.2),-0.038 (-0.15 -- 0.061),-18 (11 -- -4.6)
Małopolskie,1440 (283 -- 7710),Stable,0.99 (0.63 -- 1.5),-0.0027 (-0.11 -- 0.12),-250 (5.8 -- -6.3)
Mecklenburg-Vorpommern,885 (120 -- 3851),Likely decreasing,0.87 (0.5 -- 1.1),-0.037 (-0.15 -- 0.039),-19 (18 -- -4.6)
North Rhine-Westphalia,8240 (2968 -- 27035),Likely decreasing,0.91 (0.7 -- 1.2),-0.025 (-0.087 -- 0.059),-28 (12 -- -8)
Opolskie,642 (54 -- 3357),Likely decreasing,0.96 (0.47 -- 1.3),-0.011 (-0.16 -- 0.084),-64 (8.2 -- -4.3)
Podkarpackie,1104 (446 -- 3338),Stable,0.99 (0.8 -- 1.3),-0.0032 (-0.056 -- 0.071),-220 (9.8 -- -12)
Podlaskie,1361 (447 -- 4963),Stable,1 (0.75 -- 1.3),0.00083 (-0.071 -- 0.08),840 (8.6 -- -9.8)
Poland,18371 (5838 -- 53279),Likely decreasing,0.95 (0.66 -- 1.3),-0.013 (-0.099 -- 0.071),-52 (9.7 -- -7)
Pomorskie,2492 (520 -- 7413),Stable,0.99 (0.64 -- 1.2),-0.0035 (-0.11 -- 0.052),-200 (13 -- -6.5)
Rhineland-Palatinate,1052 (123 -- 5648),Likely decreasing,0.79 (0.45 -- 1.1),-0.06 (-0.17 -- 0.024),-12 (29 -- -4.2)
Saarland,474 (60 -- 3287),Likely decreasing,0.86 (0.53 -- 1.3),-0.039 (-0.14 -- 0.073),-18 (9.5 -- -5)
Saxony,4052 (949 -- 20630),Likely decreasing,0.89 (0.61 -- 1.4),-0.031 (-0.12 -- 0.095),-22 (7.3 -- -6)
Saxony-Anhalt,2899 (543 -- 24610),Likely decreasing,0.89 (0.58 -- 1.6),-0.029 (-0.13 -- 0.15),-24 (4.7 -- -5.5)
Schleswig-Holstein,429 (16 -- 2537),Likely decreasing,0.69 (0.22 -- 1.1),-0.088 (-0.25 -- 0.024),-7.9 (28 -- -2.7)
Thuringia,3876 (960 -- 17099),Likely decreasing,0.93 (0.64 -- 1.3),-0.019 (-0.1 -- 0.084),-36 (8.3 -- -6.6)
Warmińsko-Mazurskie,698 (116 -- 2582),Likely decreasing,0.91 (0.6 -- 1.2),-0.025 (-0.12 -- 0.049),-28 (14 -- -5.8)
Wielkopolskie,2066 (560 -- 4681),Likely decreasing,0.92 (0.66 -- 1.1),-0.023 (-0.098 -- 0.028),-31 (24 -- -7.1)
Zachodniopomorskie,1127 (254 -- 4242),Likely decreasing,0.9 (0.61 -- 1.2),-0.027 (-0.11 -- 0.045),-26 (16 -- -6.1)
Łódzkie,1541 (311 -- 27965),Stable,0.98 (0.6 -- 2.4),-0.0058 (-0.12 -- 0.32),-120 (2.1 -- -5.9)
Śląskie,1783 (712 -- 7096),Likely decreasing,0.98 (0.76 -- 1.4),-0.0066 (-0.067 -- 0.099),-110 (7 -- -10)
Świętokrzyskie,474 (21 -- 2781),Likely decreasing,0.88 (0.35 -- 1.3),-0.035 (-0.2 -- 0.081),-20 (8.6 -- -3.4)
