Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,46502 (19926 -- 113035),Likely increasing,1.2 (0.97 -- 1.6),0.062 (-0.0097 -- 0.14),11 (4.9 -- -72)
Bavaria,77148 (41351 -- 165618),Increasing,1.2 (1 -- 1.5),0.065 (0.011 -- 0.12),11 (5.6 -- 61)
Berlin,11382 (5502 -- 26193),Likely increasing,1.2 (1 -- 1.4),0.053 (-2e-04 -- 0.12),13 (6 -- -3500)
Brandenburg,12267 (6375 -- 25740),Increasing,1.3 (1.1 -- 1.6),0.085 (0.015 -- 0.15),8.2 (4.6 -- 45)
Bremen,502 (276 -- 937),Likely increasing,1.1 (0.84 -- 1.3),0.022 (-0.045 -- 0.081),32 (8.5 -- -15)
Dolnośląskie,6970 (4116 -- 12382),Increasing,1.3 (1.1 -- 1.5),0.077 (0.02 -- 0.14),9 (5 -- 35)
Germany,266619 (130690 -- 540502),Likely increasing,1.2 (1 -- 1.5),0.06 (-0.00023 -- 0.12),12 (5.6 -- -3000)
Hamburg,2804 (1364 -- 5776),Likely increasing,1.1 (0.94 -- 1.4),0.038 (-0.017 -- 0.098),18 (7.1 -- -42)
Hesse,10408 (4822 -- 22315),Likely increasing,1.1 (0.82 -- 1.4),0.029 (-0.05 -- 0.098),24 (7.1 -- -14)
Kujawsko-Pomorskie,4651 (2886 -- 7655),Increasing,1.3 (1.1 -- 1.5),0.08 (0.036 -- 0.12),8.6 (5.6 -- 19)
Lower Saxony,10833 (5779 -- 22874),Likely increasing,1.2 (0.97 -- 1.4),0.05 (-0.0079 -- 0.11),14 (6.1 -- -87)
Lubelskie,7167 (4073 -- 13857),Stable,1 (0.82 -- 1.3),0.0085 (-0.05 -- 0.081),82 (8.6 -- -14)
Lubuskie,2010 (1185 -- 3482),Increasing,1.3 (1.1 -- 1.5),0.084 (0.034 -- 0.13),8.3 (5.2 -- 20)
Mazowieckie,23364 (15750 -- 36273),Increasing,1.3 (1.1 -- 1.4),0.068 (0.034 -- 0.098),10 (7.1 -- 21)
Małopolskie,8621 (5665 -- 14172),Increasing,1.4 (1.2 -- 1.6),0.1 (0.06 -- 0.15),6.8 (4.8 -- 12)
Mecklenburg-Vorpommern,2860 (1401 -- 5038),Likely increasing,1.2 (0.92 -- 1.4),0.051 (-0.024 -- 0.097),13 (7.1 -- -29)
North Rhine-Westphalia,26356 (13956 -- 54523),Likely increasing,1.2 (0.94 -- 1.4),0.043 (-0.018 -- 0.11),16 (6.3 -- -39)
Opolskie,2000 (1195 -- 3691),Increasing,1.3 (1.1 -- 1.6),0.085 (0.034 -- 0.16),8.1 (4.5 -- 20)
Podkarpackie,4309 (2574 -- 8186),Increasing,1.2 (1 -- 1.5),0.061 (0.0054 -- 0.14),11 (4.8 -- 130)
Podlaskie,3405 (2011 -- 6028),Likely increasing,1 (0.86 -- 1.2),0.009 (-0.04 -- 0.062),77 (11 -- -17)
Poland,92023 (64502 -- 136705),Increasing,1.2 (1.1 -- 1.3),0.06 (0.029 -- 0.091),12 (7.6 -- 24)
Pomorskie,6133 (3845 -- 10228),Increasing,1.3 (1.1 -- 1.5),0.08 (0.039 -- 0.12),8.6 (5.7 -- 18)
Rhineland-Palatinate,7734 (3630 -- 16919),Likely increasing,1.2 (0.92 -- 1.5),0.051 (-0.021 -- 0.13),13 (5.4 -- -33)
Saarland,2431 (1292 -- 4926),Increasing,1.4 (1.1 -- 1.7),0.094 (0.028 -- 0.18),7.4 (3.8 -- 25)
Saxony,37930 (20005 -- 75551),Increasing,1.3 (1.1 -- 1.5),0.074 (0.025 -- 0.12),9.4 (5.6 -- 27)
Saxony-Anhalt,7721 (4366 -- 14253),Increasing,1.2 (1.1 -- 1.5),0.067 (0.017 -- 0.12),10 (5.8 -- 42)
Schleswig-Holstein,2052 (1031 -- 4025),Likely increasing,1.1 (0.86 -- 1.3),0.023 (-0.039 -- 0.083),31 (8.3 -- -18)
Thuringia,12063 (6728 -- 21922),Increasing,1.2 (1 -- 1.3),0.046 (0.0019 -- 0.083),15 (8.3 -- 360)
Warmińsko-Mazurskie,4392 (2610 -- 7044),Increasing,1.3 (1.1 -- 1.4),0.079 (0.026 -- 0.11),8.8 (6 -- 27)
Wielkopolskie,7938 (5046 -- 13763),Increasing,1.4 (1.2 -- 1.6),0.1 (0.06 -- 0.16),6.9 (4.3 -- 11)
Zachodniopomorskie,5640 (3705 -- 9417),Increasing,1.3 (1.1 -- 1.4),0.067 (0.033 -- 0.099),10 (7 -- 21)
Łódzkie,7829 (4490 -- 13264),Increasing,1.3 (1.1 -- 1.5),0.078 (0.02 -- 0.13),8.8 (5.3 -- 34)
Śląskie,9889 (6134 -- 16290),Increasing,1.4 (1.2 -- 1.5),0.1 (0.056 -- 0.14),7 (4.9 -- 12)
Świętokrzyskie,1803 (1064 -- 3216),Increasing,1.3 (1.1 -- 1.5),0.067 (0.016 -- 0.12),10 (5.6 -- 44)
