region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
North Rhine-Westphalia,0.9 (0.71 -- 1.2),0.9,0.93,0.18,0.71,0.85,0.88,0.92,0.98,1.2,Effective reproduction no.,Likely decreasing,0.78
Hamburg,0.89 (0.49 -- 1.3),0.89,0.89,0.27,0.49,0.78,0.86,0.91,0.97,1.3,Effective reproduction no.,Likely decreasing,0.81
Saxony,0.85 (0.28 -- 1.8),0.85,0.93,0.55,0.28,0.63,0.77,0.94,1.1,1.8,Effective reproduction no.,Likely decreasing,0.66
Schleswig-Holstein,0.83 (0.31 -- 1.5),0.83,0.87,0.44,0.31,0.71,0.8,0.86,0.95,1.5,Effective reproduction no.,Likely decreasing,0.78
Hesse,0.82 (0.41 -- 1.1),0.82,0.8,0.29,0.41,0.69,0.78,0.85,0.89,1.1,Effective reproduction no.,Likely decreasing,0.89
Zachodniopomorskie,0.82 (0.52 -- 1.9),0.82,0.98,0.55,0.52,0.75,0.8,0.87,1,1.9,Effective reproduction no.,Likely decreasing,0.74
Bavaria,0.81 (0.53 -- 1.2),0.81,0.84,0.3,0.53,0.73,0.79,0.84,0.88,1.2,Effective reproduction no.,Likely decreasing,0.88
Świętokrzyskie,0.81 (0.42 -- 1.5),0.81,0.87,0.38,0.42,0.72,0.78,0.84,0.93,1.5,Effective reproduction no.,Likely decreasing,0.81
Dolnośląskie,0.8 (0.26 -- 1.2),0.8,0.79,0.36,0.26,0.66,0.76,0.83,0.9,1.2,Effective reproduction no.,Likely decreasing,0.86
Lower Saxony,0.8 (0.34 -- 1.1),0.8,0.77,0.27,0.34,0.66,0.75,0.84,0.88,1.1,Effective reproduction no.,Likely decreasing,0.93
Thuringia,0.8 (0.34 -- 1.1),0.8,0.77,0.24,0.34,0.68,0.77,0.82,0.86,1.1,Effective reproduction no.,Likely decreasing,0.93
Brandenburg,0.79 (0.25 -- 1.3),0.79,0.83,0.7,0.25,0.61,0.73,0.84,0.9,1.3,Effective reproduction no.,Likely decreasing,0.86
Poland,0.79 (0.58 -- 0.97),0.79,0.79,0.14,0.58,0.75,0.78,0.81,0.84,0.97,Effective reproduction no.,Decreasing,0.96
Łódzkie,0.79 (0.45 -- 1.3),0.79,0.84,0.33,0.45,0.72,0.77,0.82,0.89,1.3,Effective reproduction no.,Likely decreasing,0.85
Lubuskie,0.78 (0.15 -- 1.7),0.78,0.85,0.67,0.15,0.57,0.72,0.82,0.94,1.7,Effective reproduction no.,Likely decreasing,0.79
Mazowieckie,0.78 (0.39 -- 1.1),0.78,0.78,0.27,0.39,0.69,0.76,0.8,0.85,1.1,Effective reproduction no.,Likely decreasing,0.91
Wielkopolskie,0.77 (0.45 -- 1.2),0.77,0.81,0.4,0.45,0.69,0.75,0.8,0.86,1.2,Effective reproduction no.,Likely decreasing,0.88
Lubelskie,0.75 (0.21 -- 1.1),0.75,0.72,0.34,0.21,0.58,0.69,0.79,0.84,1.1,Effective reproduction no.,Likely decreasing,0.93
Kujawsko-Pomorskie,0.72 (0.079 -- 1.1),0.72,0.67,0.42,0.079,0.46,0.64,0.77,0.82,1.1,Effective reproduction no.,Likely decreasing,0.93
Podlaskie,0.72 (0.17 -- 1.8),0.72,0.82,0.61,0.17,0.52,0.65,0.77,0.9,1.8,Effective reproduction no.,Likely decreasing,0.81
Małopolskie,0.71 (0.098 -- 1.1),0.71,0.67,0.41,0.098,0.49,0.64,0.76,0.81,1.1,Effective reproduction no.,Likely decreasing,0.93
Saarland,0.71 (0.036 -- 1.4),0.71,0.7,0.57,0.036,0.37,0.59,0.8,0.89,1.4,Effective reproduction no.,Likely decreasing,0.85
Śląskie,0.71 (0.24 -- 2.5),0.71,0.92,1,0.24,0.56,0.66,0.74,0.86,2.5,Effective reproduction no.,Likely decreasing,0.82
Opolskie,0.7 (0.083 -- 1.2),0.7,0.67,0.42,0.083,0.44,0.62,0.75,0.82,1.2,Effective reproduction no.,Likely decreasing,0.89
Warmińsko-Mazurskie,0.7 (0.14 -- 1.3),0.7,0.71,0.55,0.14,0.46,0.62,0.75,0.83,1.3,Effective reproduction no.,Likely decreasing,0.88
Pomorskie,0.54 (0.016 -- 3.9),0.54,1,1.6,0.016,0.23,0.4,0.69,0.95,3.9,Effective reproduction no.,Likely decreasing,0.77
