region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Poland,23058 (16783 -- 31134),23058,23400,4481,16783,20169,21988,24105,26133,31134,New confirmed cases by infection date,Increasing
Germany,22386 (16923 -- 30333),22386,22797,4114,16923,19879,21410,23399,25137,30333,New confirmed cases by infection date,Increasing
Germany,1.3 (1.3 -- 1.4),1.3,1.3,0.1,1.3,1.3,1.3,1.3,1.4,1.4,Effective reproduction no.,Increasing
Poland,1.3 (1.2 -- 1.4),1.3,1.3,0.1,1.2,1.3,1.3,1.3,1.3,1.4,Effective reproduction no.,Increasing
