Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1709 (273 -- 5720),Likely decreasing,0.9 (0.54 -- 1.1),-0.028 (-0.14 -- 0.031),-25 (22 -- -5.1)
Bavaria,1400 (77 -- 6239),Likely decreasing,0.72 (0.26 -- 1),-0.081 (-0.23 -- 0.0011),-8.5 (650 -- -3)
Berlin,334 (33 -- 1321),Likely decreasing,0.93 (0.52 -- 1.1),-0.02 (-0.14 -- 0.032),-34 (22 -- -4.9)
Brandenburg,242 (21 -- 1084),Likely decreasing,0.82 (0.44 -- 1.1),-0.05 (-0.17 -- 0.029),-14 (24 -- -4.1)
Bremen,183 (36 -- 914),Stable,1 (0.71 -- 1.3),0.00021 (-0.085 -- 0.093),3300 (7.5 -- -8.2)
Dolnośląskie,104 (5 -- 685),Likely decreasing,0.8 (0.37 -- 1.2),-0.056 (-0.2 -- 0.059),-12 (12 -- -3.5)
Germany,14393 (1267 -- 40393),Likely decreasing,0.87 (0.41 -- 1),-0.036 (-0.18 -- 0.0088),-19 (78 -- -3.8)
Hamburg,1634 (113 -- 11752),Stable,1.1 (0.46 -- 1.7),0.021 (-0.16 -- 0.18),33 (3.8 -- -4.2)
Hesse,1157 (287 -- 3316),Likely decreasing,0.96 (0.71 -- 1.1),-0.012 (-0.083 -- 0.033),-57 (21 -- -8.4)
Kujawsko-Pomorskie,10 (0 -- 123),Decreasing,0.52 (0.12 -- 0.97),-0.14 (-0.3 -- -0.0077),-4.9 (-90 -- -2.3)
Lower Saxony,3902 (454 -- 15837),Stable,0.99 (0.54 -- 1.2),-0.0032 (-0.14 -- 0.053),-220 (13 -- -5.1)
Lubelskie,279 (38 -- 1412),Likely decreasing,0.88 (0.51 -- 1.3),-0.032 (-0.15 -- 0.08),-21 (8.6 -- -4.7)
Lubuskie,26 (0 -- 332),Likely decreasing,0.65 (0.16 -- 1.1),-0.1 (-0.28 -- 0.023),-6.8 (31 -- -2.5)
Mazowieckie,126 (3 -- 880),Likely decreasing,0.73 (0.25 -- 1.2),-0.079 (-0.24 -- 0.044),-8.8 (16 -- -2.9)
Małopolskie,90 (11 -- 548),Likely decreasing,0.79 (0.5 -- 1.2),-0.06 (-0.15 -- 0.042),-12 (16 -- -4.6)
Mecklenburg-Vorpommern,628 (102 -- 2391),Likely decreasing,0.91 (0.58 -- 1.2),-0.024 (-0.12 -- 0.045),-29 (15 -- -5.6)
North Rhine-Westphalia,4255 (527 -- 12800),Likely decreasing,0.91 (0.53 -- 1.1),-0.024 (-0.14 -- 0.025),-29 (28 -- -5)
Opolskie,37 (2 -- 780),Likely decreasing,0.83 (0.45 -- 1.6),-0.047 (-0.17 -- 0.16),-15 (4.4 -- -4.2)
Podkarpackie,21 (0 -- 201),Likely decreasing,0.69 (0.29 -- 1),-0.091 (-0.22 -- 0.0077),-7.6 (91 -- -3.1)
Podlaskie,27 (0 -- 248),Likely decreasing,0.74 (0.19 -- 1.1),-0.076 (-0.27 -- 0.033),-9.1 (21 -- -2.6)
Poland,996 (125 -- 3495),Decreasing,0.71 (0.39 -- 0.99),-0.084 (-0.19 -- -0.0027),-8.2 (-250 -- -3.6)
Pomorskie,523 (43 -- 3799),Likely decreasing,0.91 (0.4 -- 1.4),-0.024 (-0.18 -- 0.1),-29 (6.9 -- -3.8)
Rhineland-Palatinate,1850 (524 -- 5158),Stable,1 (0.73 -- 1.3),0.0021 (-0.077 -- 0.068),340 (10 -- -9)
Saarland,340 (21 -- 1617),Likely decreasing,0.89 (0.46 -- 1.2),-0.03 (-0.17 -- 0.049),-23 (14 -- -4.2)
Saxony,2079 (141 -- 8537),Stable,0.96 (0.42 -- 1.2),-0.011 (-0.18 -- 0.064),-63 (11 -- -3.9)
Saxony-Anhalt,830 (166 -- 2200),Likely decreasing,0.95 (0.61 -- 1.1),-0.015 (-0.11 -- 0.035),-47 (20 -- -6.2)
Schleswig-Holstein,782 (195 -- 2316),Likely decreasing,0.98 (0.73 -- 1.2),-0.0062 (-0.078 -- 0.046),-110 (15 -- -8.9)
Thuringia,640 (14 -- 2256),Likely decreasing,0.91 (0.3 -- 1.1),-0.024 (-0.22 -- 0.03),-29 (23 -- -3.2)
Warmińsko-Mazurskie,48 (4 -- 380),Likely decreasing,0.77 (0.43 -- 1.2),-0.067 (-0.18 -- 0.046),-10 (15 -- -3.9)
Wielkopolskie,75 (2 -- 408),Decreasing,0.72 (0.26 -- 0.98),-0.082 (-0.24 -- -0.0067),-8.5 (-100 -- -2.9)
Zachodniopomorskie,187 (28 -- 791),Likely decreasing,0.85 (0.53 -- 1.1),-0.041 (-0.14 -- 0.03),-17 (23 -- -5)
Łódzkie,151 (23 -- 724),Likely decreasing,0.81 (0.52 -- 1.1),-0.055 (-0.14 -- 0.027),-13 (26 -- -4.9)
Śląskie,182 (21 -- 852),Likely decreasing,0.8 (0.47 -- 1.1),-0.057 (-0.16 -- 0.035),-12 (20 -- -4.4)
Świętokrzyskie,10 (0 -- 149),Likely decreasing,0.6 (0.22 -- 1),-0.12 (-0.25 -- 0.013),-5.9 (55 -- -2.7)
