location,location_name,epiweek,value,target_end_date
GM,Germany,7,2,2020-02-15
GM02,Free State of Bavaria,7,2,2020-02-15
GM,Germany,8,2,2020-02-22
GM02,Free State of Bavaria,8,2,2020-02-22
GM,Germany,9,52,2020-02-29
GM01,Baden-Württemberg State,9,13,2020-02-29
GM02,Free State of Bavaria,9,3,2020-02-29
GM03,Free Hanseatic City of Bremen,9,0,2020-02-29
GM04,Free Hanseatic City of Hamburg,9,0,2020-02-29
GM05,Hesse State,9,3,2020-02-29
GM06,Lower Saxony State,9,0,2020-02-29
GM07,North Rhine-Westphalia State,9,30,2020-02-29
GM08,Rhineland-Palatinate State,9,1,2020-02-29
GM09,Saarland State,9,0,2020-02-29
GM10,Schleswig-Holstein State,9,1,2020-02-29
GM11,Brandenburg State,9,0,2020-02-29
GM12,Mecklenburg-Western Pomerania State,9,0,2020-02-29
GM13,Free State of Saxony,9,0,2020-02-29
GM14,Sachsen-Anhalt State,9,0,2020-02-29
GM15,Free State of Thüringia,9,0,2020-02-29
GM16,Berlin State,9,0,2020-02-29
GM14,Sachsen-Anhalt State,10,0,2020-03-03
GM,Germany,10,781,2020-03-07
GM01,Baden-Württemberg State,10,167,2020-03-07
GM02,Free State of Bavaria,10,120,2020-03-07
GM03,Free Hanseatic City of Bremen,10,3,2020-03-07
GM04,Free Hanseatic City of Hamburg,10,12,2020-03-07
GM05,Hesse State,10,15,2020-03-07
GM06,Lower Saxony State,10,18,2020-03-07
GM07,North Rhine-Westphalia State,10,373,2020-03-07
GM08,Rhineland-Palatinate State,10,12,2020-03-07
GM09,Saarland State,10,3,2020-03-07
GM10,Schleswig-Holstein State,10,8,2020-03-07
GM11,Brandenburg State,10,2,2020-03-07
GM12,Mecklenburg-Western Pomerania State,10,4,2020-03-07
GM13,Free State of Saxony,10,4,2020-03-07
GM15,Free State of Thüringia,10,2,2020-03-07
GM16,Berlin State,10,27,2020-03-07
PL,Poland,10,5,2020-03-07
PL72,Dolnoslaskie,10,1,2020-03-07
PL73,Kujawsko-Pomorskie,10,0,2020-03-07
PL74,Lodzkie,10,0,2020-03-07
PL75,Lubelskie,10,0,2020-03-07
PL76,Lubuskie,10,1,2020-03-07
PL77,Malopolskie,10,0,2020-03-07
PL78,Mazowieckie,10,0,2020-03-07
PL79,Opolskie,10,0,2020-03-07
PL80,Podkarpackie,10,0,2020-03-07
PL81,Podlaskie,10,0,2020-03-07
PL82,Pomorskie,10,0,2020-03-07
PL83,Slaskie,10,0,2020-03-07
PL84,Swietokrzyskie,10,0,2020-03-07
PL85,Warminsko-Mazurskie,10,1,2020-03-07
PL86,Wielkopolskie,10,0,2020-03-07
PL87,Zachodniopomorskie,10,2,2020-03-07
GM,Germany,11,3776,2020-03-14
GM01,Baden-Württemberg State,11,562,2020-03-14
GM02,Free State of Bavaria,11,665,2020-03-14
GM03,Free Hanseatic City of Bremen,11,47,2020-03-14
GM04,Free Hanseatic City of Hamburg,11,159,2020-03-14
GM05,Hesse State,11,197,2020-03-14
GM06,Lower Saxony State,11,250,2020-03-14
GM07,North Rhine-Westphalia State,11,1152,2020-03-14
GM08,Rhineland-Palatinate State,11,122,2020-03-14
GM09,Saarland State,11,41,2020-03-14
GM10,Schleswig-Holstein State,11,60,2020-03-14
GM11,Brandenburg State,11,53,2020-03-14
GM12,Mecklenburg-Western Pomerania State,11,42,2020-03-14
GM13,Free State of Saxony,11,92,2020-03-14
GM14,Sachsen-Anhalt State,11,44,2020-03-14
GM15,Free State of Thüringia,11,45,2020-03-14
GM16,Berlin State,11,214,2020-03-14
PL,Poland,11,68,2020-03-14
PL72,Dolnoslaskie,11,8,2020-03-14
PL73,Kujawsko-Pomorskie,11,0,2020-03-14
PL74,Lodzkie,11,5,2020-03-14
PL75,Lubelskie,11,7,2020-03-14
PL76,Lubuskie,11,1,2020-03-14
PL77,Malopolskie,11,1,2020-03-14
PL78,Mazowieckie,11,11,2020-03-14
PL79,Opolskie,11,2,2020-03-14
