location,location_name,epiweek,value,target_end_date
GM,Germany,1,5918,2021-01-09
GM,Germany,7,5918,2020-02-15
GM,Germany,8,5918,2020-02-22
GM,Germany,9,5918,2020-02-29
GM,Germany,10,5918,2020-03-07
GM,Germany,11,5926,2020-03-14
GM,Germany,12,5965,2020-03-21
GM,Germany,13,6243,2020-03-28
GM,Germany,14,7076,2020-04-04
GM,Germany,15,8462,2020-04-11
GM,Germany,16,10028,2020-04-18
GM,Germany,17,11418,2020-04-25
GM,Germany,18,12493,2020-05-02
GM,Germany,19,13287,2020-05-09
GM,Germany,20,13799,2020-05-16
GM,Germany,21,14134,2020-05-23
GM,Germany,22,14407,2020-05-30
GM,Germany,23,14564,2020-06-06
GM,Germany,24,14699,2020-06-13
GM,Germany,25,14801,2020-06-20
GM,Germany,26,14872,2020-06-27
GM,Germany,27,14928,2020-07-04
GM,Germany,28,14978,2020-07-11
GM,Germany,29,15001,2020-07-18
GM,Germany,30,15036,2020-07-25
GM,Germany,31,15066,2020-08-01
GM,Germany,32,15113,2020-08-08
GM,Germany,33,15149,2020-08-15
GM,Germany,34,15185,2020-08-22
GM,Germany,35,15207,2020-08-29
GM,Germany,36,15242,2020-09-05
GM,Germany,37,15265,2020-09-12
GM,Germany,38,15302,2020-09-19
GM,Germany,39,15370,2020-09-26
GM,Germany,40,15445,2020-10-03
GM,Germany,41,15522,2020-10-10
GM,Germany,42,15685,2020-10-17
GM,Germany,43,15921,2020-10-24
GM,Germany,44,16370,2020-10-31
GM,Germany,45,17144,2020-11-07
GM,Germany,46,18296,2020-11-14
GM,Germany,47,19802,2020-11-21
GM,Germany,48,21883,2020-11-28
GM,Germany,49,24435,2020-12-05
GM,Germany,50,27384,2020-12-12
GM,Germany,51,31558,2020-12-19
GM,Germany,52,35340,2020-12-26
GM,Germany,53,39878,2021-01-02
GM01,Baden-Württemberg State,1,570,2021-01-09
GM01,Baden-Württemberg State,9,570,2020-02-29
GM01,Baden-Württemberg State,10,570,2020-03-07
GM01,Baden-Württemberg State,11,572,2020-03-14
GM01,Baden-Württemberg State,12,586,2020-03-21
GM01,Baden-Württemberg State,13,671,2020-03-28
GM01,Baden-Württemberg State,14,886,2020-04-04
GM01,Baden-Württemberg State,15,1192,2020-04-11
GM01,Baden-Württemberg State,16,1489,2020-04-18
GM01,Baden-Württemberg State,17,1759,2020-04-25
GM01,Baden-Württemberg State,18,1972,2020-05-02
GM01,Baden-Württemberg State,19,2104,2020-05-09
GM01,Baden-Württemberg State,20,2214,2020-05-16
GM01,Baden-Württemberg State,21,2262,2020-05-23
GM01,Baden-Württemberg State,22,2318,2020-05-30
GM01,Baden-Württemberg State,23,2360,2020-06-06
GM01,Baden-Württemberg State,24,2375,2020-06-13
GM01,Baden-Württemberg State,25,2394,2020-06-20
GM01,Baden-Württemberg State,26,2399,2020-06-27
GM01,Baden-Württemberg State,27,2407,2020-07-04
GM01,Baden-Württemberg State,28,2407,2020-07-11
GM01,Baden-Württemberg State,29,2408,2020-07-18
GM01,Baden-Württemberg State,30,2411,2020-07-25
GM01,Baden-Württemberg State,31,2417,2020-08-01
GM01,Baden-Württemberg State,32,2428,2020-08-08
GM01,Baden-Württemberg State,33,2429,2020-08-15
GM01,Baden-Württemberg State,34,2432,2020-08-22
GM01,Baden-Württemberg State,35,2432,2020-08-29
GM01,Baden-Württemberg State,36,2435,2020-09-05
GM01,Baden-Württemberg State,37,2437,2020-09-12
GM01,Baden-Württemberg State,38,2441,2020-09-19
GM01,Baden-Württemberg State,39,2447,2020-09-26
GM01,Baden-Württemberg State,40,2458,2020-10-03
GM01,Baden-Württemberg State,41,2469,2020-10-10
GM01,Baden-Württemberg State,42,2497,2020-10-17
GM01,Baden-Württemberg State,43,2536,2020-10-24
GM01,Baden-Württemberg State,44,2592,2020-10-31
GM01,Baden-Württemberg State,45,2677,2020-11-07
GM01,Baden-Württemberg State,46,2812,2020-11-14
GM01,Baden-Württemberg State,47,3006,2020-11-21
GM01,Baden-Württemberg State,48,3241,2020-11-28
GM01,Baden-Württemberg State,49,3548,2020-12-05
GM01,Baden-Württemberg State,50,3923,2020-12-12
GM01,Baden-Württemberg State,51,4462,2020-12-19
GM01,Baden-Württemberg State,52,4970,2020-12-26
GM01,Baden-Württemberg State,53,5464,2021-01-02
