region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,58085 (23844 -- 105148),58085,60168,25868,23844,41790,51879,63261,74493,105148,New confirmed cases by infection date,Likely decreasing,0.79
Poland,25162 (11763 -- 48921),25162,27123,11980,11763,18890,22806,27910,32488,48921,New confirmed cases by infection date,Likely decreasing,0.79
North Rhine-Westphalia State,14182 (8110 -- 26446),14182,15304,5985,8110,11304,12975,15540,17862,26446,New confirmed cases by infection date,Stable,0.47
Free State of Bavaria,10887 (6715 -- 18008),10887,11480,3841,6715,8985,10139,11579,13199,18008,New confirmed cases by infection date,Likely decreasing,0.73
Free State of Saxony,6188 (3305 -- 12675),6188,6887,3419,3305,4832,5631,6836,8087,12675,New confirmed cases by infection date,Likely decreasing,0.8
Baden-Württemberg State,6018 (3053 -- 11574),6018,6481,2784,3053,4621,5455,6633,7767,11574,New confirmed cases by infection date,Likely decreasing,0.86
Brandenburg State,5835 (3426 -- 10302),5835,6172,2177,3426,4698,5375,6272,7227,10302,New confirmed cases by infection date,Likely increasing,0.12
Lower Saxony State,5025 (3255 -- 8311),5025,5293,1683,3255,4180,4695,5324,6022,8311,New confirmed cases by infection date,Stable,0.41
Hesse State,4632 (2915 -- 7750),4632,4913,1689,2915,3841,4305,4975,5598,7750,New confirmed cases by infection date,Likely decreasing,0.79
Sachsen-Anhalt State,4423 (2703 -- 7172),4423,4608,1404,2703,3680,4142,4741,5232,7172,New confirmed cases by infection date,Likely increasing,0.16
Free State of Thüringia,3899 (2247 -- 7138),3899,4206,1668,2247,3114,3577,4222,4906,7138,New confirmed cases by infection date,Stable,0.56
Berlin State,3667 (2298 -- 6244),3667,3907,1298,2298,3045,3433,3974,4483,6244,New confirmed cases by infection date,Likely decreasing,0.65
Mazowieckie,3604 (2047 -- 6071),3604,3816,1397,2047,2938,3349,3901,4428,6071,New confirmed cases by infection date,Likely decreasing,0.76
Wielkopolskie,3504 (1651 -- 7568),3504,3891,1936,1651,2614,3123,3872,4691,7568,New confirmed cases by infection date,Likely decreasing,0.64
Kujawsko-Pomorskie,2879 (1879 -- 4700),2879,3040,927,1879,2435,2692,3091,3446,4700,New confirmed cases by infection date,Likely decreasing,0.77
Rhineland-Palatinate State,2606 (1053 -- 4359),2606,2720,1029,1053,2144,2417,2815,3218,4359,New confirmed cases by infection date,Likely decreasing,0.77
Pomorskie,2454 (1192 -- 4632),2454,2616,1099,1192,1886,2221,2698,3131,4632,New confirmed cases by infection date,Likely decreasing,0.87
Zachodniopomorskie,1816 (778 -- 3477),1816,1934,846,778,1368,1626,2003,2371,3477,New confirmed cases by infection date,Likely decreasing,0.84
Warminsko-Mazurskie,1781 (950 -- 3166),1781,1887,718,950,1388,1617,1950,2277,3166,New confirmed cases by infection date,Likely decreasing,0.77
Schleswig-Holstein State,1618 (795 -- 3249),1618,1788,842,795,1233,1461,1806,2145,3249,New confirmed cases by infection date,Stable,0.43
Lodzkie,1563 (814 -- 2914),1563,1680,655,814,1221,1430,1732,2023,2914,New confirmed cases by infection date,Likely decreasing,0.85
Slaskie,1504 (430 -- 5256),1504,2062,2335,430,913,1252,1829,2469,5256,New confirmed cases by infection date,Likely decreasing,0.73
Mecklenburg-Western Pomerania State,1463 (709 -- 3193),1463,1660,843,709,1100,1318,1650,2002,3193,New confirmed cases by infection date,Stable,0.4
Lubelskie,1452 (796 -- 2906),1452,1601,742,796,1127,1320,1593,1871,2906,New confirmed cases by infection date,Likely decreasing,0.6
Dolnoslaskie,1158 (419 -- 3103),1158,1390,947,419,796,1005,1351,1713,3103,New confirmed cases by infection date,Likely decreasing,0.74
Free Hanseatic City of Hamburg,1082 (496 -- 2016),1082,1152,489,496,801,972,1203,1413,2016,New confirmed cases by infection date,Likely decreasing,0.83
Malopolskie,984 (378 -- 2352),984,1134,660,378,677,868,1140,1427,2352,New confirmed cases by infection date,Likely decreasing,0.71
Saarland State,844 (444 -- 1767),844,959,565,444,666,777,932,1090,1767,New confirmed cases by infection date,Likely decreasing,0.6
Lubuskie,827 (448 -- 1634),827,897,385,448,630,748,914,1059,1634,New confirmed cases by infection date,Stable,0.56
Podlaskie,751 (322 -- 1674),751,857,506,322,528,654,858,1072,1674,New confirmed cases by infection date,Likely decreasing,0.75
Opolskie,681 (331 -- 1335),681,736,332,331,513,607,755,883,1335,New confirmed cases by infection date,Stable,0.5
Swietokrzyskie,500 (197 -- 1152),500,571,346,197,353,436,573,696,1152,New confirmed cases by infection date,Stable,0.56
Free Hanseatic City of Bremen,289 (179 -- 588),289,331,195,179,237,268,313,368,588,New confirmed cases by infection date,Likely decreasing,0.78
Podkarpackie,283 (41 -- 1236),283,450,711,41,132,215,364,551,1236,New confirmed cases by infection date,Likely decreasing,0.88
Brandenburg State,1.1 (0.95 -- 1.2),1.1,1.1,0.063,0.95,1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.12
Sachsen-Anhalt State,1.1 (0.93 -- 1.2),1.1,1.1,0.076,0.93,1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.16
Lower Saxony State,1 (0.91 -- 1.1),1,1,0.068,0.91,0.99,1,1,1,1.1,Effective reproduction no.,Stable,0.41
Mecklenburg-Western Pomerania State,1 (0.75 -- 1.4),1,1,0.18,0.75,0.94,1,1.1,1.1,1.4,Effective reproduction no.,Stable,0.4
