forecaster_id,location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,leaderboard,median,shape_log_normal,horizon,target_end_date,zero_baseline,quantile,value,target,board_name,submission_date
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.01,135806.49215557,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.025,140874.498107514,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.05,145384.280250307,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.1,150763.238838197,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.15,154504.383666098,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.2,157543.826771146,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.25,160199.00651864,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.3,162621.555642968,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.35,164899.098316355,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.4,167089.750770144,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.45,169236.927914124,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.5,171377,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.55,173544.134196901,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.6,175774.253020479,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.65,178109.379789659,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.7,180603.832086574,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.75,183334.945498446,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.8,186424.798298597,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.85,190092.186591108,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.9,194809.267533187,1 wk ahead inc case,seabbs,2020-11-02
515822,GM,Germany,incident,quantile,2020-11-02T00:00:00Z,2020-11-02T19:10:56.210215Z,45,TRUE,yes,171377,0.1,1,2020-11-07T00:00:00Z,TRUE,0.95,202016.862335005,1 wk ahead inc case,seabbs,2020-11-02
