location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,median,shape_log_normal,horizon,target_end_date,zero_baseline,quantile,value,target,forecaster_id,board_name
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.01,29970.8868796855,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.025,32486.7050036226,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.05,34818.7211948721,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.1,37715.8964095616,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.15,39805.6021427094,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.2,41548.7041895804,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.25,43104.8388187714,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.3,44551.9040504662,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.35,45936.1552382077,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.4,47289.4224073681,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.45,48636.6571587931,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.5,50000,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.55,51401.5589483831,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.6,52865.9449139408,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.65,54423.3618820717,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.7,56114.324477987,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.75,57998.1289458225,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.8,60170.3482398123,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.85,62805.2300537273,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.9,66285.0478973691,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.95,71800.4543018136,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.975,76954.557247995,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,50000,0.22,1,2020-10-24T00:00:00Z,FALSE,0.99,83414.281667271,1 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.01,40994.3901207665,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.025,44598.6471499475,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.05,47950.9641173779,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.1,52129.8844380358,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.15,55153.2438400552,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.2,57680.6843974999,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.25,59941.1111549867,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.3,62046.4392063027,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.35,64063.2921660829,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.4,66037.6747247376,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.45,68005.8092906997,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.5,70000,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.55,72052.6680162618,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.6,74200.0686793483,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.65,76486.8590783132,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.7,78973.105671828,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.75,81746.899675088,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.8,84950.4483378214,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.85,88843.3691082618,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.9,93995.9881519474,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.95,102187.726361568,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.975,109868.80349813,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,70000,0.23,2,2020-10-31T00:00:00Z,FALSE,0.99,119528.549773882,2 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,1e+05,0.24,3,2020-11-07T00:00:00Z,FALSE,0.01,57216.7504881548,3 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,1e+05,0.24,3,2020-11-07T00:00:00Z,FALSE,0.025,62475.7717570338,3 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,1e+05,0.24,3,2020-11-07T00:00:00Z,FALSE,0.05,67383.8459944938,3 wk ahead inc case,215393,seb
GM,Germany,incident,quantile,2020-10-18T00:00:00Z,2020-10-18T21:39:26.733600Z,43,TRUE,1e+05,0.24,3,2020-11-07T00:00:00Z,FALSE,0.1,73522.9652838738,3 wk ahead inc case,215393,seb
