location,location_name,type,quantile,value,target_end_date,forecast_date,target,board_name
GM,Germany,quantile,0.01,34838,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.025,34982,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.05,35259,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.1,35862,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.15,36425,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.2,36950,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.25,37483,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.3,37960,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.35,38542,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.4,39030,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.45,39484,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.5,40094,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.55,40697,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.6,41348,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.65,42014,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.7,42636,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.75,43350,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.8,44008,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.85,44702,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.9,45359,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.95,46129,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.975,46635,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.99,46887,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,point,,40094,2020-10-17,2020-10-12,1 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.01,55569,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.025,56116,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.05,56860,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.1,58320,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2
GM,Germany,quantile,0.15,59954,2020-10-24,2020-10-12,2 wk ahead inc case,EpiNow2
