location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,median,shape_log_normal,horizon,target_end_date,zero_baseline,forecaster_id,quantile,value,target
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.45,100172.664599302,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.5,101312,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.55,102464.293877548,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.6,103648.576341681,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.65,104887.013222337,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.7,106208.156642546,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.75,107652.5532693,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.8,109284.084903475,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.85,111217.069119526,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.9,113697.8515907,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.95,117476.896730868,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.975,120856.225834842,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.99,124907.838444209,2 wk ahead inc case
