region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Germany,205793 (101115 -- 438034),205793,230913,116013,101115,152651,185134,231770,276350,438034,New confirmed cases by infection date,Increasing
Poland,36513 (11664 -- 115117),36513,45931,36145,11664,23560,30783,42888,56414,115117,New confirmed cases by infection date,Unsure
Germany,1.2 (0.98 -- 1.4),1.2,1.2,0.14,0.98,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Increasing
Poland,0.87 (0.62 -- 1.2),0.87,0.87,0.16,0.62,0.77,0.83,0.9,0.96,1.2,Effective reproduction no.,Unsure
