region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Poland,327 (164 -- 668),327,360,164,164,249,293,366,433,668,New confirmed cases by infection date,Increasing
Germany,56 (29 -- 142),56,68,43,29,42,50,63,80,142,New confirmed cases by infection date,Increasing
Poland,1.3 (1.2 -- 1.5),1.3,1.3,0.1,1.2,1.3,1.3,1.3,1.4,1.5,Effective reproduction no.,Increasing
Germany,1.2 (1.1 -- 1.4),1.2,1.2,0.1,1.1,1.2,1.2,1.2,1.3,1.4,Effective reproduction no.,Increasing
