forecaster_id,location,location_name,inc,type,forecast_week,expert,leaderboard,forecast_type,distribution,median,lower_90,upper_90,width,horizon,target_end_date,assigned_baseline_model,chosen_baseline_model,forecast_duration,quantile,value,target,board_name
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.01,78564.4840309324,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.025,85159.3490282961,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.05,91272.4029913898,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.1,98866.9422121685,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.15,104344.813232813,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.2,108914.111214399,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.25,112993.300285975,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.3,116786.57920173,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.35,120415.199895228,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.4,123962.600321778,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.45,127494.187609774,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.5,131068,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.55,134741.990564934,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.6,138580.673359608,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.65,142663.223903187,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.7,147095.845613616,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.75,152033.975293421,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.8,157728.144061914,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.85,164635.117853639,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.9,173756.973156247,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.95,188214.838888602,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.975,201725.598187604,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,131068,,,0.22,1,2020-11-21,constant,constant,,0.99,218658.861391317,1 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.01,73341.1578655408,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.025,79497.5660802647,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.05,85204.1962615475,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.1,92293.81578591,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.15,97407.4928913812,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.2,101673.003048238,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.25,105480.988976639,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.3,109022.073363815,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.35,112409.446760313,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.4,115720.999784622,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.45,119017.791000139,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.5,122354,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.55,125783.726871409,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.6,129367.196480006,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.65,133178.32039438,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.7,137316.241143592,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.75,141926.061380743,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.8,147241.65577068,2 wk ahead inc case,seabbs
515822,GM,Germany,incident,quantile,47,TRUE,yes,distribution_forecast,log-normal,122354,,,0.22,2,2020-11-28,constant,constant,,0.85,153689.422359875,2 wk ahead inc case,seabbs
