forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,region,target_type,forecast_duration,forecast_week
515822,2021-03-01,TRUE,yes,normal,0.99,0.01,1,2021-02-13,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,1.07,0.02,2,2021-02-20,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,1.08,0.03,3,2021-02-27,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,1.05,0.04,4,2021-03-06,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,1.02,0.05,5,2021-03-13,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,0.96,0.06,6,2021-03-20,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,0.9,0.08,7,2021-03-27,2021-03-01,Germany,,,9
515822,2021-03-01,TRUE,yes,normal,1.13,0.02,1,2021-02-13,2021-03-01,Poland,,1.69432747364044,9
515822,2021-03-01,TRUE,yes,normal,1.19,0.03,2,2021-02-20,2021-03-01,Poland,,1.69432747364044,9
515822,2021-03-01,TRUE,yes,normal,1.17,0.06,3,2021-02-27,2021-03-01,Poland,,1.69432747364044,9
515822,2021-03-01,TRUE,yes,normal,1.11,0.07,4,2021-03-06,2021-03-01,Poland,,1.69432747364044,9
515822,2021-03-01,TRUE,yes,normal,1.07,0.08,5,2021-03-13,2021-03-01,Poland,,1.69432747364044,9
515822,2021-03-01,TRUE,yes,normal,1.03,0.09,6,2021-03-20,2021-03-01,Poland,,1.69432747364044,9
515822,2021-03-01,TRUE,yes,normal,1,0.1,7,2021-03-27,2021-03-01,Poland,,1.69432747364044,9
215393,2021-03-02,TRUE,yes,normal,1.02,0.05,1,2021-02-13,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.07,0.05,2,2021-02-20,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.13,0.05,3,2021-02-27,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.19,0.05,4,2021-03-06,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.19,0.05,5,2021-03-13,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.16,0.05,6,2021-03-20,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.13,0.05,7,2021-03-27,2021-03-01,Germany,,,9
215393,2021-03-02,TRUE,yes,normal,1.14,0.05,1,2021-02-13,2021-03-01,Poland,,26.2634658813477,9
215393,2021-03-02,TRUE,yes,normal,1.19,0.05,2,2021-02-20,2021-03-01,Poland,,26.2634658813477,9
215393,2021-03-02,TRUE,yes,normal,1.24738413206594,0.05,3,2021-02-27,2021-03-01,Poland,,26.2634658813477,9
215393,2021-03-02,TRUE,yes,normal,1.24738413206594,0.05,4,2021-03-06,2021-03-01,Poland,,26.2634658813477,9
215393,2021-03-02,TRUE,yes,normal,1.24738413206594,0.05,5,2021-03-13,2021-03-01,Poland,,26.2634658813477,9
215393,2021-03-02,TRUE,yes,normal,1.24738413206594,0.05,6,2021-03-20,2021-03-01,Poland,,26.2634658813477,9
215393,2021-03-02,TRUE,yes,normal,1.24738413206594,0.05,7,2021-03-27,2021-03-01,Poland,,26.2634658813477,9
996366,2021-03-02,TRUE,yes,normal,1,0.04,1,2021-02-13,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.07,0.05,2,2021-02-20,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.11289521276895,0.06,3,2021-02-27,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.11289521276895,0.07,4,2021-03-06,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.11289521276895,0.08,5,2021-03-13,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.11289521276895,0.09,6,2021-03-20,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.11289521276895,0.1,7,2021-03-27,2021-03-01,Germany,,,9
996366,2021-03-02,TRUE,yes,normal,1.14,0.04,1,2021-02-13,2021-03-01,Poland,,38.7491307258606,9
996366,2021-03-02,TRUE,yes,normal,1.2,0.05,2,2021-02-20,2021-03-01,Poland,,38.7491307258606,9
996366,2021-03-02,TRUE,yes,normal,1.24738413206594,0.06,3,2021-02-27,2021-03-01,Poland,,38.7491307258606,9
996366,2021-03-02,TRUE,yes,normal,1.24738413206594,0.07,4,2021-03-06,2021-03-01,Poland,,38.7491307258606,9
996366,2021-03-02,TRUE,yes,normal,1.24738413206594,0.08,5,2021-03-13,2021-03-01,Poland,,38.7491307258606,9
996366,2021-03-02,TRUE,yes,normal,1.24738413206594,0.09,6,2021-03-20,2021-03-01,Poland,,38.7491307258606,9
996366,2021-03-02,TRUE,yes,normal,1.24738413206594,0.1,7,2021-03-27,2021-03-01,Poland,,38.7491307258606,9
593160,2021-03-02,TRUE,yes,normal,1.04,0.1,1,2021-02-13,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.11289521276895,0.15,2,2021-02-20,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.13,0.2,3,2021-02-27,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.14,0.25,4,2021-03-06,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.1,0.25,5,2021-03-13,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.06,0.25,6,2021-03-20,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.03,0.28,7,2021-03-27,2021-03-01,Germany,,,9
593160,2021-03-02,TRUE,yes,normal,1.16,0.05,1,2021-02-13,2021-03-01,Poland,,41.4000287055969,9
593160,2021-03-02,TRUE,yes,normal,1.24738413206594,0.1,2,2021-02-20,2021-03-01,Poland,,41.4000287055969,9
593160,2021-03-02,TRUE,yes,normal,1.28,0.15,3,2021-02-27,2021-03-01,Poland,,41.4000287055969,9
