forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,region,target_type,forecast_duration,forecast_week
515822,2021-02-01,TRUE,yes,normal,0.88,0.01,1,2021-01-16,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.91,0.02,2,2021-01-23,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.03,3,2021-01-30,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.04,4,2021-02-06,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.93,0.05,5,2021-02-13,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.93,0.06,6,2021-02-20,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.93,0.07,7,2021-02-27,2021-02-01,Germany,case,,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,1,2021-01-16,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,2,2021-01-23,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,3,2021-01-30,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,4,2021-02-06,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,5,2021-02-13,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,6,2021-02-20,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,7,2021-02-27,2021-02-01,Germany,death,12.4726176261902,5
515822,2021-02-01,TRUE,yes,normal,0.9,0,1,2021-01-16,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.92,0,2,2021-01-23,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,3,2021-01-30,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,4,2021-02-06,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,5,2021-02-13,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,6,2021-02-20,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.94,0,7,2021-02-27,2021-02-01,Poland,case,17.8273100852966,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,1,2021-01-16,2021-02-01,Poland,death,11.9909977912903,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,2,2021-01-23,2021-02-01,Poland,death,11.9909977912903,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,3,2021-01-30,2021-02-01,Poland,death,11.9909977912903,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,4,2021-02-06,2021-02-01,Poland,death,11.9909977912903,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,5,2021-02-13,2021-02-01,Poland,death,11.9909977912903,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,6,2021-02-20,2021-02-01,Poland,death,11.9909977912903,5
515822,2021-02-01,TRUE,yes,normal,0.95,0.00197888966803195,7,2021-02-27,2021-02-01,Poland,death,11.9909977912903,5
215393,2021-02-02,TRUE,yes,normal,0.88,0.04,1,2021-01-16,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.9,0.04,2,2021-01-23,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.95,0.04,3,2021-01-30,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.95,0.04,4,2021-02-06,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.95,0.04,5,2021-02-13,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.95,0.04,6,2021-02-20,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.95,0.04,7,2021-02-27,2021-02-01,Germany,case,,5
215393,2021-02-02,TRUE,yes,normal,0.94,0.04,1,2021-01-16,2021-02-01,Germany,death,23.2452549934387,5
215393,2021-02-02,TRUE,yes,normal,0.94,0.04,2,2021-01-23,2021-02-01,Germany,death,23.2452549934387,5
