region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Poland,211,4,713,69,248,91,151,New confirmed cases by infection date,Likely increasing
Germany,14,0,52,0,14,0,4,New confirmed cases by infection date,Unsure
Poland,1.3,0.8,2.1,1.1,1.5,1.2,1.4,Effective reproduction no.,Likely increasing
Germany,1,0.2,1.5,0.8,1.2,1,1.1,Effective reproduction no.,Unsure
