region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Poland,27613,0,4520930,0,27651,0,2365,New confirmed cases by infection date,Likely increasing
Germany,5525,0,172431,0,5532,0,1178,New confirmed cases by infection date,Unsure
Poland,1.2,0.8,1.6,1.1,1.4,1.2,1.3,Effective reproduction no.,Likely increasing
Germany,1.1,0.8,1.5,1,1.3,1.1,1.2,Effective reproduction no.,Unsure
