Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,106575 (54243 -- 242388),Likely increasing,1.1 (0.8 -- 1.5),0.014 (-0.056 -- 0.12),50 (5.7 -- -12)
Bavaria,101726 (54610 -- 201009),Likely decreasing,0.96 (0.71 -- 1.3),-0.011 (-0.083 -- 0.08),-64 (8.7 -- -8.3)
Berlin,15263 (6199 -- 39917),Likely decreasing,0.92 (0.67 -- 1.3),-0.022 (-0.096 -- 0.074),-31 (9.4 -- -7.2)
Brandenburg,18074 (7706 -- 52964),Stable,0.99 (0.73 -- 1.4),-0.0018 (-0.078 -- 0.12),-380 (5.9 -- -8.9)
Bremen,1231 (438 -- 3210),Likely decreasing,0.82 (0.54 -- 1.1),-0.05 (-0.14 -- 0.036),-14 (19 -- -5.1)
Dolnośląskie,2454 (1061 -- 6055),Stable,0.95 (0.61 -- 1.5),-0.014 (-0.11 -- 0.13),-50 (5.4 -- -6)
Germany,778268 (435025 -- 1467590),Likely increasing,1.2 (0.89 -- 1.5),0.042 (-0.031 -- 0.14),16 (5.1 -- -23)
Hamburg,6021 (2478 -- 18780),Likely decreasing,0.95 (0.69 -- 1.4),-0.015 (-0.09 -- 0.12),-47 (6 -- -7.7)
Hesse,59453 (30411 -- 124966),Likely increasing,1.3 (1 -- 1.9),0.087 (0.00096 -- 0.22),8 (3.1 -- 720)
Kujawsko-Pomorskie,2483 (1258 -- 5197),Likely decreasing,0.85 (0.61 -- 1.2),-0.042 (-0.12 -- 0.054),-17 (13 -- -6)
Lower Saxony,65881 (24344 -- 181590),Stable,1 (0.77 -- 1.3),0.0066 (-0.064 -- 0.089),110 (7.8 -- -11)
Lubelskie,1682 (698 -- 3958),Stable,0.94 (0.59 -- 1.5),-0.016 (-0.12 -- 0.12),-43 (5.7 -- -5.7)
Lubuskie,1449 (677 -- 3022),Likely decreasing,0.91 (0.62 -- 1.3),-0.026 (-0.11 -- 0.074),-27 (9.4 -- -6.3)
Mazowieckie,5962 (2841 -- 12843),Stable,1 (0.66 -- 1.5),-0.001 (-0.1 -- 0.14),-670 (5.1 -- -6.9)
Małopolskie,1400 (712 -- 2767),Likely decreasing,0.88 (0.61 -- 1.3),-0.032 (-0.11 -- 0.067),-22 (10 -- -6)
Mecklenburg-Vorpommern,22220 (12795 -- 42247),Likely increasing,1.2 (0.94 -- 1.5),0.048 (-0.016 -- 0.13),14 (5.2 -- -43)
North Rhine-Westphalia,202382 (100041 -- 454952),Likely increasing,1.3 (0.97 -- 1.9),0.082 (-0.0094 -- 0.22),8.4 (3.1 -- -73)
Opolskie,311 (116 -- 825),Likely decreasing,0.73 (0.42 -- 1.2),-0.077 (-0.18 -- 0.059),-9 (12 -- -3.9)
Podkarpackie,343 (142 -- 896),Likely decreasing,0.91 (0.56 -- 1.5),-0.025 (-0.13 -- 0.13),-28 (5.4 -- -5.3)
Podlaskie,605 (229 -- 1754),Likely decreasing,0.88 (0.51 -- 1.5),-0.033 (-0.15 -- 0.14),-21 (5.1 -- -4.8)
Poland,29826 (13880 -- 66623),Likely decreasing,0.92 (0.6 -- 1.4),-0.023 (-0.12 -- 0.1),-31 (6.7 -- -5.9)
Pomorskie,1756 (749 -- 4273),Likely decreasing,0.88 (0.56 -- 1.4),-0.033 (-0.13 -- 0.1),-21 (6.9 -- -5.2)
Rhineland-Palatinate,44279 (20762 -- 102965),Likely increasing,1.2 (0.91 -- 1.7),0.059 (-0.026 -- 0.18),12 (3.9 -- -26)
Saarland,13322 (6970 -- 27887),Likely increasing,1.3 (0.97 -- 1.7),0.069 (-0.0097 -- 0.19),10 (3.7 -- -72)
Saxony,31529 (15875 -- 64137),Stable,1 (0.8 -- 1.4),0.011 (-0.058 -- 0.1),63 (6.7 -- -12)
Saxony-Anhalt,21911 (11921 -- 44024),Stable,1 (0.78 -- 1.3),0.0012 (-0.063 -- 0.084),590 (8.2 -- -11)
Schleswig-Holstein,15378 (7684 -- 31225),Stable,0.99 (0.73 -- 1.3),-0.0022 (-0.08 -- 0.086),-310 (8.1 -- -8.7)
Thuringia,24075 (12032 -- 50605),Likely increasing,1.2 (0.88 -- 1.6),0.041 (-0.033 -- 0.15),17 (4.5 -- -21)
Warmińsko-Mazurskie,1200 (541 -- 2850),Likely decreasing,0.87 (0.56 -- 1.3),-0.037 (-0.13 -- 0.079),-19 (8.7 -- -5.3)
Wielkopolskie,4037 (2041 -- 8986),Likely decreasing,0.92 (0.65 -- 1.4),-0.022 (-0.1 -- 0.095),-31 (7.3 -- -6.9)
Zachodniopomorskie,3079 (1313 -- 7301),Stable,1 (0.67 -- 1.6),0.0052 (-0.097 -- 0.15),130 (4.8 -- -7.2)
Łódzkie,1409 (581 -- 3459),Likely decreasing,0.87 (0.54 -- 1.4),-0.035 (-0.14 -- 0.097),-20 (7.2 -- -5.1)
Śląskie,1425 (525 -- 4195),Likely decreasing,0.83 (0.47 -- 1.5),-0.046 (-0.16 -- 0.13),-15 (5.5 -- -4.3)
Świętokrzyskie,872 (463 -- 1702),Likely decreasing,0.95 (0.7 -- 1.3),-0.015 (-0.085 -- 0.084),-48 (8.3 -- -8.1)
