Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,37359 (7889 -- 124827),Likely decreasing,0.86 (0.55 -- 1.1),-0.04 (-0.13 -- 0.028),-17 (25 -- -5.2)
Bavaria,33769 (21069 -- 55989),Decreasing,0.76 (0.63 -- 0.93),-0.067 (-0.11 -- -0.02),-10 (-34 -- -6.3)
Berlin,5583 (1820 -- 12450),Decreasing,0.8 (0.53 -- 0.97),-0.056 (-0.14 -- -0.0093),-12 (-75 -- -4.9)
Brandenburg,5375 (1263 -- 15293),Likely decreasing,0.88 (0.57 -- 1.1),-0.035 (-0.13 -- 0.014),-20 (48 -- -5.5)
Bremen,4292 (1121 -- 12924),Likely decreasing,0.95 (0.6 -- 1.3),-0.014 (-0.12 -- 0.089),-50 (7.8 -- -5.9)
Dolnośląskie,128 (50 -- 364),Likely decreasing,0.78 (0.49 -- 1.2),-0.063 (-0.15 -- 0.058),-11 (12 -- -4.5)
Germany,177616 (94810 -- 332496),Decreasing,0.73 (0.56 -- 0.9),-0.078 (-0.13 -- -0.027),-8.9 (-26 -- -5.3)
Hamburg,10729 (4030 -- 28205),Likely decreasing,0.9 (0.62 -- 1.2),-0.028 (-0.11 -- 0.064),-25 (11 -- -6.2)
Hesse,24287 (13458 -- 47402),Likely decreasing,0.88 (0.68 -- 1.1),-0.033 (-0.092 -- 0.04),-21 (17 -- -7.6)
Kujawsko-Pomorskie,186 (52 -- 761),Likely increasing,1.2 (0.68 -- 2.3),0.066 (-0.091 -- 0.31),10 (2.2 -- -7.6)
Lower Saxony,43275 (7387 -- 127836),Likely decreasing,0.92 (0.55 -- 1.1),-0.023 (-0.13 -- 0.027),-30 (25 -- -5.2)
Lubelskie,271 (87 -- 841),Stable,1.1 (0.61 -- 1.8),0.014 (-0.12 -- 0.19),50 (3.6 -- -6)
Lubuskie,56 (12 -- 276),Stable,1 (0.54 -- 2),-8e-04 (-0.14 -- 0.25),-860 (2.8 -- -5)
Mazowieckie,644 (233 -- 1824),Stable,1.1 (0.61 -- 1.7),0.019 (-0.11 -- 0.18),37 (3.8 -- -6.1)
Małopolskie,243 (94 -- 654),Stable,0.99 (0.61 -- 1.6),-0.0017 (-0.11 -- 0.15),-410 (4.7 -- -6.2)
Mecklenburg-Vorpommern,3562 (1394 -- 8196),Decreasing,0.71 (0.49 -- 0.91),-0.082 (-0.15 -- -0.024),-8.4 (-28 -- -4.5)
North Rhine-Westphalia,49732 (25858 -- 86478),Decreasing,0.8 (0.61 -- 0.98),-0.058 (-0.12 -- -0.0063),-12 (-110 -- -6)
Opolskie,43 (15 -- 152),Likely decreasing,0.83 (0.5 -- 1.4),-0.048 (-0.15 -- 0.1),-14 (6.6 -- -4.6)
Podkarpackie,63 (23 -- 160),Likely decreasing,0.78 (0.45 -- 1.2),-0.063 (-0.17 -- 0.053),-11 (13 -- -4.1)
Podlaskie,136 (50 -- 394),Likely increasing,1.1 (0.73 -- 1.8),0.039 (-0.079 -- 0.21),18 (3.4 -- -8.8)
Poland,3160 (1126 -- 9066),Stable,1 (0.58 -- 1.7),0.0051 (-0.13 -- 0.17),130 (4.1 -- -5.5)
Pomorskie,297 (90 -- 1200),Likely increasing,1.2 (0.63 -- 2.1),0.041 (-0.11 -- 0.27),17 (2.5 -- -6.4)
Rhineland-Palatinate,11371 (5652 -- 22325),Decreasing,0.77 (0.58 -- 0.97),-0.067 (-0.12 -- -0.0096),-10 (-72 -- -5.6)
Saarland,4195 (1588 -- 10347),Likely decreasing,0.82 (0.58 -- 1.1),-0.051 (-0.13 -- 0.015),-14 (46 -- -5.5)
Saxony,4056 (946 -- 13520),Decreasing,0.59 (0.32 -- 0.87),-0.12 (-0.21 -- -0.037),-5.8 (-19 -- -3.2)
Saxony-Anhalt,4098 (1901 -- 8926),Decreasing,0.68 (0.49 -- 0.86),-0.094 (-0.15 -- -0.041),-7.4 (-17 -- -4.5)
Schleswig-Holstein,6517 (3149 -- 12830),Decreasing,0.75 (0.56 -- 0.95),-0.07 (-0.13 -- -0.013),-9.9 (-54 -- -5.3)
Thuringia,3800 (747 -- 14946),Decreasing,0.68 (0.37 -- 0.96),-0.093 (-0.19 -- -0.011),-7.4 (-65 -- -3.6)
Warmińsko-Mazurskie,58 (18 -- 169),Likely decreasing,0.85 (0.49 -- 1.4),-0.041 (-0.16 -- 0.093),-17 (7.5 -- -4.5)
Wielkopolskie,240 (68 -- 953),Likely increasing,1.3 (0.67 -- 2.3),0.07 (-0.098 -- 0.32),9.9 (2.2 -- -7.1)
Zachodniopomorskie,184 (51 -- 722),Likely increasing,1.1 (0.59 -- 2),0.029 (-0.12 -- 0.24),24 (2.8 -- -5.7)
Łódzkie,411 (139 -- 1233),Likely increasing,1.3 (0.76 -- 2.2),0.089 (-0.068 -- 0.3),7.8 (2.3 -- -10)
Śląskie,386 (121 -- 1237),Stable,1 (0.58 -- 1.8),0.013 (-0.13 -- 0.2),52 (3.5 -- -5.5)
Świętokrzyskie,66 (26 -- 191),Likely decreasing,0.9 (0.59 -- 1.4),-0.027 (-0.12 -- 0.11),-26 (6.1 -- -5.8)
