region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,36941 (21108 -- 83436),36941,42596,22124,21108,28705,33619,40534,49219,83436,New confirmed cases by infection date,Likely decreasing,0.62
Poland,16786 (9884 -- 34753),16786,18691,8244,9884,13529,15523,18136,21245,34753,New confirmed cases by infection date,Likely decreasing,0.7
North Rhine-Westphalia State,7434 (4379 -- 14105),7434,8087,3382,4379,5957,6842,8061,9253,14105,New confirmed cases by infection date,Likely decreasing,0.74
Free State of Bavaria,4991 (3089 -- 7994),4991,5222,1610,3089,4148,4679,5362,6058,7994,New confirmed cases by infection date,Likely decreasing,0.94
Baden-Württemberg State,3819 (2039 -- 7171),3819,4122,1790,2039,2948,3477,4171,4889,7171,New confirmed cases by infection date,Likely decreasing,0.87
Free State of Thuringia,3780 (1003 -- 15244),3780,5574,6295,1003,2258,3167,4639,6539,15244,New confirmed cases by infection date,Likely increasing,0.37
Lower Saxony State,3353 (1841 -- 5442),3353,3466,1122,1841,2695,3102,3620,4091,5442,New confirmed cases by infection date,Likely decreasing,0.78
Mazowieckie,3001 (1721 -- 6788),3001,3460,1912,1721,2328,2717,3291,3922,6788,New confirmed cases by infection date,Stable,0.54
Hesse State,2765 (1626 -- 4636),2765,2911,947,1626,2247,2554,2979,3435,4636,New confirmed cases by infection date,Likely decreasing,0.87
Rhineland-Palatinate State,2490 (1523 -- 4616),2490,2707,1061,1523,2030,2310,2690,3067,4616,New confirmed cases by infection date,Likely decreasing,0.64
Brandenburg State,2349 (994 -- 4645),2349,2508,1155,994,1676,2073,2605,3118,4645,New confirmed cases by infection date,Likely decreasing,0.87
Free State of Saxony,1853 (1021 -- 3561),1853,2014,875,1021,1434,1688,2019,2379,3561,New confirmed cases by infection date,Likely decreasing,0.94
Berlin State,1548 (771 -- 2888),1548,1650,677,771,1173,1389,1720,2015,2888,New confirmed cases by infection date,Decreasing,0.97
Free State of Thüringia,1528 (657 -- 2740),1528,1597,680,657,1138,1363,1677,1947,2740,New confirmed cases by infection date,Decreasing,0.95
Wielkopolskie,1502 (849 -- 2921),1502,1645,726,849,1176,1358,1645,1935,2921,New confirmed cases by infection date,Likely decreasing,0.83
Pomorskie,1424 (878 -- 2511),1424,1525,560,878,1151,1311,1528,1766,2511,New confirmed cases by infection date,Likely decreasing,0.83
Kujawsko-Pomorskie,1388 (869 -- 2157),1388,1435,434,869,1143,1294,1478,1665,2157,New confirmed cases by infection date,Decreasing,0.95
Dolnoslaskie,1220 (699 -- 2270),1220,1320,514,699,983,1123,1322,1536,2270,New confirmed cases by infection date,Stable,0.59
Slaskie,1197 (632 -- 2387),1197,1329,645,632,921,1093,1326,1575,2387,New confirmed cases by infection date,Likely decreasing,0.7
Warminsko-Mazurskie,1086 (638 -- 1765),1086,1132,373,638,883,1003,1164,1322,1765,New confirmed cases by infection date,Likely decreasing,0.94
Sachsen-Anhalt State,1025 (380 -- 2216),1025,1136,594,380,710,898,1183,1441,2216,New confirmed cases by infection date,Decreasing,0.99
Schleswig-Holstein State,958 (433 -- 1946),958,1042,485,433,716,859,1062,1263,1946,New confirmed cases by infection date,Likely decreasing,0.73
Zachodniopomorskie,956 (534 -- 1920),956,1085,744,534,749,866,1045,1224,1920,New confirmed cases by infection date,Likely decreasing,0.83
Lubelskie,849 (535 -- 1472),849,908,303,535,702,786,920,1057,1472,New confirmed cases by infection date,Likely decreasing,0.77
Free Hanseatic City of Hamburg,820 (451 -- 1690),820,921,435,451,642,746,910,1073,1690,New confirmed cases by infection date,Likely decreasing,0.75
Mecklenburg-Western Pomerania State,810 (378 -- 1503),810,864,407,378,600,714,895,1052,1503,New confirmed cases by infection date,Likely decreasing,0.74
