region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,95450 (64395 -- 150822),95450,99728,27205,64395,81132,89588,101543,113310,150822,New confirmed cases by infection date,Likely increasing,0.076
Poland,27634 (16101 -- 51774),27634,29930,11555,16101,22205,25353,30001,34926,51774,New confirmed cases by infection date,Decreasing,0.95
Germany,1.1 (0.98 -- 1.3),1.1,1.1,0.1,0.98,1.1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.076
Poland,0.8 (0.66 -- 1),0.8,0.81,0.11,0.66,0.74,0.78,0.82,0.87,1,Effective reproduction no.,Decreasing,0.95
