Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,118999 (58078 -- 245880),Likely increasing,1.1 (0.85 -- 1.5),0.035 (-0.043 -- 0.12),20 (5.7 -- -16)
Bavaria,195447 (111017 -- 373773),Likely increasing,1.2 (0.94 -- 1.5),0.05 (-0.016 -- 0.13),14 (5.2 -- -43)
Berlin,72118 (32423 -- 162575),Likely increasing,1.2 (0.9 -- 1.5),0.045 (-0.029 -- 0.12),15 (5.7 -- -24)
Brandenburg,29931 (13532 -- 60116),Likely increasing,1.1 (0.76 -- 1.4),0.02 (-0.068 -- 0.096),35 (7.2 -- -10)
Bremen,8028 (2095 -- 20336),Likely increasing,1.1 (0.66 -- 1.3),0.017 (-0.097 -- 0.079),42 (8.8 -- -7.1)
Dolnośląskie,25853 (10379 -- 50055),Likely increasing,1.2 (0.75 -- 1.5),0.049 (-0.072 -- 0.13),14 (5.4 -- -9.7)
Germany,972772 (540562 -- 1747210),Likely increasing,1.2 (0.93 -- 1.5),0.045 (-0.02 -- 0.12),16 (5.6 -- -35)
Hamburg,46242 (23286 -- 92935),Increasing,1.2 (1 -- 1.5),0.064 (0.0014 -- 0.12),11 (5.8 -- 490)
Hesse,74233 (42668 -- 134503),Likely increasing,1.1 (0.89 -- 1.4),0.034 (-0.031 -- 0.11),20 (6.4 -- -22)
Kujawsko-Pomorskie,16578 (9356 -- 29151),Increasing,1.4 (1.1 -- 1.7),0.11 (0.027 -- 0.18),6.4 (3.8 -- 26)
Lower Saxony,94518 (32283 -- 332526),Likely increasing,1.2 (0.93 -- 1.7),0.063 (-0.018 -- 0.17),11 (4.1 -- -38)
Lubelskie,23683 (13198 -- 40120),Increasing,1.4 (1.1 -- 1.7),0.11 (0.03 -- 0.17),6.5 (4.1 -- 23)
Lubuskie,6710 (3289 -- 12926),Increasing,1.4 (1 -- 1.8),0.11 (0.002 -- 0.19),6.3 (3.6 -- 340)
Mazowieckie,28723 (11438 -- 57919),Likely decreasing,0.94 (0.56 -- 1.3),-0.018 (-0.13 -- 0.072),-39 (9.7 -- -5.3)
Małopolskie,15321 (7130 -- 27370),Likely decreasing,0.96 (0.65 -- 1.2),-0.011 (-0.1 -- 0.053),-64 (13 -- -6.6)
Mecklenburg-Vorpommern,16559 (8587 -- 32369),Likely increasing,1.2 (0.91 -- 1.5),0.056 (-0.024 -- 0.14),12 (5 -- -29)
North Rhine-Westphalia,251239 (143454 -- 465729),Likely increasing,1.2 (0.96 -- 1.6),0.063 (-0.01 -- 0.15),11 (4.6 -- -68)
Opolskie,12955 (6512 -- 23423),Increasing,1.4 (1.1 -- 1.8),0.11 (0.017 -- 0.19),6.3 (3.7 -- 41)
Podkarpackie,6287 (2206 -- 15063),Likely decreasing,0.78 (0.41 -- 1.2),-0.062 (-0.18 -- 0.044),-11 (16 -- -3.9)
Podlaskie,10565 (5894 -- 18210),Increasing,1.5 (1.2 -- 1.8),0.13 (0.052 -- 0.2),5.2 (3.4 -- 13)
Poland,199027 (76882 -- 434269),Stable,0.97 (0.58 -- 1.4),-0.0073 (-0.13 -- 0.096),-95 (7.2 -- -5.5)
Pomorskie,33142 (16972 -- 59194),Likely increasing,1.4 (0.99 -- 1.6),0.095 (-0.0018 -- 0.16),7.3 (4.3 -- -380)
Rhineland-Palatinate,29531 (14469 -- 57655),Likely increasing,1.1 (0.76 -- 1.4),0.024 (-0.067 -- 0.11),28 (6.1 -- -10)
Saarland,9305 (4690 -- 18811),Likely increasing,1.1 (0.79 -- 1.4),0.02 (-0.059 -- 0.1),35 (6.9 -- -12)
Saxony,36309 (13666 -- 105048),Likely increasing,1.4 (0.98 -- 2),0.1 (-0.0044 -- 0.24),6.9 (2.9 -- -160)
Saxony-Anhalt,30016 (15811 -- 70442),Increasing,1.4 (1.2 -- 1.9),0.12 (0.042 -- 0.22),5.9 (3.2 -- 17)
Schleswig-Holstein,10525 (4525 -- 21565),Likely decreasing,0.81 (0.52 -- 1.1),-0.053 (-0.14 -- 0.031),-13 (23 -- -4.9)
Thuringia,16051 (8010 -- 35233),Increasing,1.5 (1.2 -- 2),0.13 (0.047 -- 0.25),5.2 (2.8 -- 15)
Warmińsko-Mazurskie,11946 (5865 -- 22209),Likely increasing,1.3 (0.94 -- 1.6),0.078 (-0.018 -- 0.16),8.9 (4.4 -- -38)
Wielkopolskie,29735 (14077 -- 54135),Likely increasing,1.3 (0.89 -- 1.6),0.084 (-0.029 -- 0.16),8.3 (4.2 -- -24)
Zachodniopomorskie,18633 (8960 -- 32299),Increasing,1.4 (1 -- 1.7),0.11 (0.009 -- 0.18),6.2 (3.8 -- 77)
Łódzkie,30165 (15021 -- 56095),Increasing,1.5 (1.1 -- 1.8),0.12 (0.018 -- 0.19),5.9 (3.6 -- 39)
Śląskie,29588 (10716 -- 72512),Likely decreasing,0.88 (0.5 -- 1.3),-0.033 (-0.15 -- 0.083),-21 (8.4 -- -4.6)
Świętokrzyskie,6195 (3163 -- 10570),Likely increasing,1.3 (0.9 -- 1.5),0.067 (-0.029 -- 0.13),10 (5.4 -- -24)
