Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,277 (18 -- 964),Likely decreasing,0.86 (0.43 -- 1.1),-0.04 (-0.17 -- 0.036),-17 (19 -- -4)
Bavaria,84 (4 -- 428),Likely decreasing,0.76 (0.36 -- 1.1),-0.07 (-0.2 -- 0.026),-9.9 (26 -- -3.4)
Berlin,49 (4 -- 787),Likely decreasing,0.84 (0.49 -- 1.5),-0.046 (-0.15 -- 0.12),-15 (5.6 -- -4.6)
Brandenburg,15 (0 -- 144),Likely decreasing,0.74 (0.13 -- 1.1),-0.076 (-0.3 -- 0.034),-9.1 (20 -- -2.3)
Bremen,10 (0 -- 131),Likely decreasing,0.86 (0.15 -- 1.5),-0.04 (-0.29 -- 0.12),-17 (5.8 -- -2.4)
Dolnośląskie,238 (30 -- 4320),Stable,1 (0.63 -- 2),0.0011 (-0.11 -- 0.24),620 (2.9 -- -6.3)
Germany,986 (336 -- 2384),Decreasing,0.83 (0.64 -- 1),-0.049 (-0.1 -- -0.00022),-14 (-3200 -- -6.6)
Hamburg,47 (7 -- 325),Likely decreasing,0.91 (0.63 -- 1.3),-0.025 (-0.11 -- 0.092),-28 (7.5 -- -6.3)
Hesse,82 (4 -- 344),Likely decreasing,0.81 (0.4 -- 1.1),-0.054 (-0.19 -- 0.02),-13 (34 -- -3.7)
Kujawsko-Pomorskie,14 (0 -- 213),Likely decreasing,0.75 (0.1 -- 1.4),-0.07 (-0.31 -- 0.098),-9.9 (7 -- -2.3)
Lower Saxony,112 (16 -- 408),Likely decreasing,0.86 (0.57 -- 1.1),-0.038 (-0.13 -- 0.022),-18 (31 -- -5.4)
Lubelskie,44 (2 -- 238),Likely decreasing,0.82 (0.46 -- 1.2),-0.05 (-0.16 -- 0.061),-14 (11 -- -4.3)
Lubuskie,30 (1 -- 1512),Likely decreasing,0.86 (0.35 -- 2),-0.039 (-0.2 -- 0.24),-18 (2.9 -- -3.4)
Mazowieckie,37 (2 -- 204),Likely decreasing,0.78 (0.42 -- 1.2),-0.062 (-0.18 -- 0.043),-11 (16 -- -3.9)
Małopolskie,70 (10 -- 655),Likely decreasing,0.83 (0.51 -- 1.4),-0.047 (-0.15 -- 0.091),-15 (7.6 -- -4.8)
Mecklenburg-Vorpommern,42 (3 -- 1482),Stable,0.93 (0.52 -- 2.2),-0.02 (-0.14 -- 0.3),-34 (2.3 -- -4.9)
North Rhine-Westphalia,391 (151 -- 1427),Likely decreasing,0.87 (0.71 -- 1.1),-0.037 (-0.082 -- 0.031),-19 (22 -- -8.5)
Opolskie,6 (0 -- 77),Likely decreasing,0.74 (0.15 -- 1.3),-0.073 (-0.28 -- 0.069),-9.5 (10 -- -2.4)
Podkarpackie,8 (0 -- 134),Likely decreasing,0.76 (0.33 -- 1.4),-0.067 (-0.21 -- 0.11),-10 (6 -- -3.3)
Podlaskie,2 (0 -- 484),Likely decreasing,0.72 (0.21 -- 2.6),-0.081 (-0.26 -- 0.38),-8.6 (1.8 -- -2.6)
Poland,398 (134 -- 1290),Likely decreasing,0.8 (0.61 -- 1),-0.058 (-0.11 -- 0.011),-12 (64 -- -6.1)
Pomorskie,0 (0 -- 188),Likely decreasing,0.34 (0.0053 -- 1.8),-0.21 (-0.38 -- 0.21),-3.3 (3.4 -- -1.8)
Rhineland-Palatinate,0 (0 -- 28),Likely decreasing,0.25 (0.0041 -- 1.3),-0.24 (-0.38 -- 0.076),-2.9 (9.2 -- -1.8)
Saarland,24 (0 -- 455),Likely decreasing,0.86 (0.23 -- 1.6),-0.038 (-0.25 -- 0.15),-18 (4.5 -- -2.8)
Saxony,113 (5 -- 3622),Likely decreasing,0.88 (0.38 -- 2.1),-0.033 (-0.19 -- 0.28),-21 (2.5 -- -3.6)
Saxony-Anhalt,12 (0 -- 530),Likely decreasing,0.76 (0.35 -- 1.8),-0.067 (-0.2 -- 0.19),-10 (3.6 -- -3.4)
Schleswig-Holstein,24 (0 -- 641),Likely decreasing,0.86 (0.39 -- 1.9),-0.038 (-0.19 -- 0.22),-18 (3.2 -- -3.7)
Thuringia,78 (11 -- 471),Likely decreasing,0.84 (0.53 -- 1.2),-0.046 (-0.14 -- 0.047),-15 (15 -- -4.9)
Warmińsko-Mazurskie,4 (0 -- 107),Likely decreasing,0.68 (0.11 -- 1.3),-0.094 (-0.3 -- 0.092),-7.4 (7.5 -- -2.3)
Wielkopolskie,21 (0 -- 163),Likely decreasing,0.74 (0.29 -- 1.3),-0.074 (-0.22 -- 0.069),-9.4 (10 -- -3.1)
Zachodniopomorskie,10 (0 -- 88),Likely decreasing,0.75 (0.3 -- 1.2),-0.07 (-0.22 -- 0.065),-9.9 (11 -- -3.1)
Łódzkie,36 (7 -- 525),Likely decreasing,0.82 (0.6 -- 1.4),-0.051 (-0.12 -- 0.11),-14 (6.4 -- -5.9)
Śląskie,3 (0 -- 58),Decreasing,0.54 (0.063 -- 1),-0.14 (-0.33 -- 0.0022),-5 (310 -- -2.1)
Świętokrzyskie,35 (3 -- 474),Likely decreasing,0.81 (0.49 -- 1.4),-0.055 (-0.16 -- 0.11),-13 (6.4 -- -4.5)
