Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1615 (263 -- 6711),Likely decreasing,0.92 (0.59 -- 1.2),-0.023 (-0.12 -- 0.056),-30 (12 -- -5.8)
Bavaria,3400 (1137 -- 8740),Likely decreasing,0.94 (0.75 -- 1.1),-0.016 (-0.072 -- 0.033),-43 (21 -- -9.6)
Berlin,775 (242 -- 6287),Stable,1 (0.82 -- 1.6),0.0045 (-0.052 -- 0.16),150 (4.4 -- -13)
Brandenburg,572 (151 -- 2218),Likely decreasing,0.96 (0.75 -- 1.3),-0.0098 (-0.074 -- 0.073),-70 (9.6 -- -9.4)
Bremen,254 (62 -- 1266),Likely increasing,1 (0.8 -- 1.4),0.0067 (-0.057 -- 0.11),100 (6.3 -- -12)
Dolnośląskie,174 (45 -- 3589),Stable,0.96 (0.74 -- 1.9),-0.012 (-0.076 -- 0.21),-57 (3.2 -- -9.1)
Germany,17275 (6709 -- 39513),Likely decreasing,0.96 (0.78 -- 1.1),-0.01 (-0.064 -- 0.032),-69 (21 -- -11)
Hamburg,175 (2 -- 2832),Likely decreasing,0.78 (0.19 -- 1.7),-0.062 (-0.27 -- 0.17),-11 (4 -- -2.6)
Hesse,930 (297 -- 2831),Likely decreasing,0.97 (0.74 -- 1.2),-0.0089 (-0.075 -- 0.048),-78 (14 -- -9.3)
Kujawsko-Pomorskie,1 (0 -- 100),Likely decreasing,0.52 (0.11 -- 1.4),-0.14 (-0.31 -- 0.099),-4.9 (7 -- -2.3)
Lower Saxony,3029 (798 -- 13672),Stable,1 (0.76 -- 1.4),-0.00031 (-0.068 -- 0.1),-2200 (6.8 -- -10)
Lubelskie,31 (0 -- 143),Likely decreasing,0.76 (0.32 -- 1),-0.068 (-0.22 -- 0.0055),-10 (130 -- -3.2)
Lubuskie,5 (0 -- 104),Likely decreasing,0.65 (0.24 -- 1.3),-0.1 (-0.25 -- 0.088),-6.8 (7.9 -- -2.8)
Mazowieckie,81 (6 -- 288),Decreasing,0.79 (0.41 -- 1),-0.06 (-0.18 -- 0.00074),-12 (930 -- -3.9)
Małopolskie,34 (2 -- 181),Likely decreasing,0.79 (0.41 -- 1.1),-0.061 (-0.18 -- 0.019),-11 (36 -- -3.8)
Mecklenburg-Vorpommern,212 (24 -- 1025),Likely decreasing,0.83 (0.49 -- 1.1),-0.049 (-0.16 -- 0.036),-14 (19 -- -4.5)
North Rhine-Westphalia,4839 (2132 -- 15063),Likely decreasing,0.98 (0.83 -- 1.2),-0.0067 (-0.048 -- 0.064),-100 (11 -- -14)
Opolskie,12 (0 -- 213),Likely decreasing,0.81 (0.45 -- 1.4),-0.053 (-0.17 -- 0.12),-13 (5.9 -- -4.1)
Podkarpackie,25 (2 -- 344),Likely decreasing,0.8 (0.51 -- 1.4),-0.056 (-0.14 -- 0.11),-12 (6.2 -- -4.8)
Podlaskie,27 (1 -- 740),Likely decreasing,0.85 (0.44 -- 1.7),-0.043 (-0.17 -- 0.18),-16 (3.9 -- -4.1)
Poland,1205 (427 -- 9397),Likely decreasing,0.85 (0.67 -- 1.5),-0.042 (-0.097 -- 0.13),-17 (5.5 -- -7.1)
Pomorskie,88 (0 -- 971),Likely decreasing,0.81 (0.18 -- 1.4),-0.055 (-0.27 -- 0.1),-13 (6.7 -- -2.5)
Rhineland-Palatinate,1121 (341 -- 3122),Likely decreasing,0.98 (0.76 -- 1.2),-0.0066 (-0.068 -- 0.048),-110 (15 -- -10)
Saarland,536 (103 -- 2730),Likely decreasing,0.97 (0.69 -- 1.3),-0.0074 (-0.091 -- 0.083),-94 (8.3 -- -7.6)
Saxony,1968 (289 -- 8189),Likely decreasing,0.96 (0.6 -- 1.3),-0.012 (-0.12 -- 0.073),-56 (9.5 -- -5.9)
Saxony-Anhalt,851 (186 -- 2780),Likely decreasing,0.94 (0.67 -- 1.1),-0.017 (-0.098 -- 0.037),-42 (19 -- -7)
Schleswig-Holstein,614 (155 -- 1794),Likely decreasing,0.98 (0.73 -- 1.2),-0.0062 (-0.076 -- 0.049),-110 (14 -- -9.1)
Thuringia,1226 (228 -- 4302),Likely decreasing,0.98 (0.66 -- 1.2),-0.0056 (-0.099 -- 0.052),-120 (13 -- -7)
Warmińsko-Mazurskie,6 (0 -- 75),Likely decreasing,0.68 (0.26 -- 1.1),-0.093 (-0.24 -- 0.032),-7.5 (22 -- -2.9)
Wielkopolskie,164409 (1595 -- 4460150),Increasing,4.2 (1.2 -- 9.5),0.68 (0.046 -- 1.6),1 (0.43 -- 15)
Zachodniopomorskie,39 (1 -- 223),Likely decreasing,0.76 (0.35 -- 1),-0.069 (-0.2 -- 0.006),-10 (120 -- -3.5)
Łódzkie,58 (6 -- 302),Likely decreasing,0.79 (0.5 -- 1.1),-0.059 (-0.15 -- 0.037),-12 (19 -- -4.6)
Śląskie,69 (8 -- 294),Likely decreasing,0.8 (0.52 -- 1.1),-0.058 (-0.14 -- 0.023),-12 (30 -- -4.8)
Świętokrzyskie,182 (22 -- 7271),Stable,1 (0.6 -- 2.3),9e-04 (-0.12 -- 0.3),770 (2.3 -- -5.9)
