Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,9725 (5823 -- 17731),Increasing,1.2 (1 -- 1.4),0.054 (0.0043 -- 0.11),13 (6.2 -- 160)
Bavaria,11346 (6551 -- 21260),Likely increasing,1.1 (0.96 -- 1.3),0.035 (-0.011 -- 0.091),20 (7.6 -- -62)
Berlin,2526 (1371 -- 4823),Likely increasing,1.1 (0.93 -- 1.4),0.033 (-0.021 -- 0.097),21 (7.2 -- -33)
Brandenburg,2991 (1221 -- 8689),Likely increasing,1.3 (0.93 -- 1.8),0.07 (-0.018 -- 0.2),9.9 (3.4 -- -38)
Bremen,365 (236 -- 701),Likely increasing,1 (0.97 -- 1.2),0.0098 (-0.0087 -- 0.061),71 (11 -- -79)
Dolnośląskie,15125 (8348 -- 32239),Increasing,1.2 (1 -- 1.4),0.055 (0.0059 -- 0.11),13 (6.3 -- 120)
Germany,69530 (47457 -- 110903),Increasing,1.2 (1 -- 1.4),0.05 (0.013 -- 0.1),14 (6.8 -- 55)
Hamburg,1469 (684 -- 4016),Likely increasing,1.1 (0.9 -- 1.4),0.021 (-0.027 -- 0.1),33 (6.7 -- -25)
Hesse,6770 (4022 -- 11457),Likely increasing,1.1 (0.99 -- 1.3),0.04 (-0.0014 -- 0.087),17 (7.9 -- -500)
Kujawsko-Pomorskie,11051 (6345 -- 24940),Increasing,1.2 (1 -- 1.3),0.045 (0.0066 -- 0.092),16 (7.5 -- 100)
Lower Saxony,6425 (3795 -- 12322),Likely increasing,1.1 (0.98 -- 1.4),0.033 (-0.0058 -- 0.098),21 (7.1 -- -120)
Lubelskie,4775 (2998 -- 8735),Increasing,1.2 (1 -- 1.3),0.041 (0.014 -- 0.078),17 (8.9 -- 50)
Lubuskie,4020 (2250 -- 8324),Likely increasing,1.1 (0.93 -- 1.3),0.026 (-0.02 -- 0.076),27 (9.1 -- -36)
Mazowieckie,35474 (18467 -- 90581),Likely increasing,1.1 (0.97 -- 1.2),0.026 (-0.0092 -- 0.061),27 (11 -- -75)
Małopolskie,12733 (7539 -- 23134),Increasing,1.2 (1 -- 1.4),0.049 (0.0027 -- 0.098),14 (7 -- 260)
Mecklenburg-Vorpommern,828 (512 -- 1530),Likely increasing,1.1 (0.96 -- 1.4),0.025 (-0.011 -- 0.096),28 (7.2 -- -62)
North Rhine-Westphalia,13741 (8806 -- 22847),Increasing,1.2 (1 -- 1.4),0.044 (0.0011 -- 0.093),16 (7.4 -- 640)
Opolskie,3734 (2111 -- 6837),Increasing,1.3 (1.1 -- 1.5),0.07 (0.016 -- 0.13),10 (5.2 -- 43)
Podkarpackie,10944 (4640 -- 28677),Likely increasing,1.2 (0.9 -- 1.8),0.061 (-0.027 -- 0.19),11 (3.7 -- -26)
Podlaskie,2473 (1589 -- 4251),Likely increasing,1.1 (0.97 -- 1.2),0.019 (-0.0086 -- 0.046),36 (15 -- -81)
Poland,222619 (126375 -- 509634),Increasing,1.2 (1 -- 1.3),0.043 (0.007 -- 0.083),16 (8.3 -- 99)
Pomorskie,8668 (5188 -- 15842),Likely increasing,1 (0.89 -- 1.2),0.0094 (-0.031 -- 0.049),74 (14 -- -22)
Rhineland-Palatinate,2271 (1110 -- 6016),Likely increasing,1.1 (0.92 -- 1.5),0.03 (-0.021 -- 0.12),23 (5.7 -- -33)
Saarland,287 (155 -- 633),Likely decreasing,0.96 (0.83 -- 1.1),-0.012 (-0.05 -- 0.04),-56 (17 -- -14)
Saxony,5477 (3215 -- 9888),Increasing,1.2 (1 -- 1.5),0.058 (0.011 -- 0.13),12 (5.3 -- 63)
Saxony-Anhalt,2134 (860 -- 5428),Likely increasing,1.1 (0.83 -- 1.5),0.026 (-0.047 -- 0.12),27 (5.9 -- -15)
Schleswig-Holstein,1192 (746 -- 1928),Likely increasing,1.1 (0.99 -- 1.3),0.033 (-0.0039 -- 0.079),21 (8.8 -- -180)
Thuringia,3826 (2262 -- 6911),Likely increasing,1.2 (0.99 -- 1.5),0.05 (-0.0022 -- 0.12),14 (5.9 -- -310)
Warmińsko-Mazurskie,3749 (2048 -- 7327),Likely decreasing,0.94 (0.76 -- 1.1),-0.016 (-0.069 -- 0.04),-45 (17 -- -10)
Wielkopolskie,18904 (10866 -- 38258),Increasing,1.2 (1.1 -- 1.5),0.065 (0.021 -- 0.12),11 (5.9 -- 34)
Zachodniopomorskie,5812 (3251 -- 11621),Increasing,1.2 (1 -- 1.5),0.061 (0.0088 -- 0.14),11 (5.1 -- 79)
Łódzkie,9461 (5765 -- 17553),Increasing,1.2 (1 -- 1.4),0.049 (0.005 -- 0.098),14 (7.1 -- 140)
Śląskie,27576 (16177 -- 52816),Increasing,1.3 (1.1 -- 1.5),0.069 (0.022 -- 0.12),10 (5.8 -- 32)
Świętokrzyskie,4025 (2408 -- 7135),Increasing,1.2 (1.1 -- 1.4),0.056 (0.016 -- 0.1),12 (6.7 -- 44)
