Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,366 (129 -- 1847),Likely decreasing,0.95 (0.76 -- 1.3),-0.015 (-0.067 -- 0.091),-46 (7.7 -- -10)
Bavaria,490 (54 -- 6361),Stable,1.1 (0.55 -- 1.9),0.016 (-0.13 -- 0.22),43 (3.1 -- -5.2)
Berlin,21 (0 -- 229),Likely decreasing,0.84 (0.24 -- 1.3),-0.044 (-0.24 -- 0.075),-16 (9.2 -- -2.8)
Brandenburg,0 (0 -- 50),Likely decreasing,0.63 (0.12 -- 1.4),-0.11 (-0.3 -- 0.097),-6.4 (7.1 -- -2.3)
Bremen,2 (0 -- 78),Likely decreasing,0.74 (0.088 -- 1.3),-0.075 (-0.32 -- 0.082),-9.2 (8.4 -- -2.2)
Dolnośląskie,2 (0 -- 45),Likely decreasing,0.71 (0.037 -- 1.3),-0.085 (-0.34 -- 0.07),-8.2 (9.9 -- -2)
Germany,1681 (360 -- 6559),Likely decreasing,0.95 (0.6 -- 1.3),-0.014 (-0.12 -- 0.083),-50 (8.3 -- -5.8)
Hamburg,375 (36 -- 6959),Likely increasing,1.1 (0.58 -- 2),0.027 (-0.13 -- 0.24),26 (2.9 -- -5.5)
Hesse,55 (0 -- 369),Likely decreasing,0.82 (0.028 -- 1.2),-0.05 (-0.37 -- 0.051),-14 (14 -- -1.9)
Kujawsko-Pomorskie,28 (1 -- 2399),Stable,0.95 (0.55 -- 2.3),-0.015 (-0.13 -- 0.33),-47 (2.1 -- -5.2)
Lower Saxony,29 (1 -- 165),Likely decreasing,0.82 (0.41 -- 1.2),-0.05 (-0.18 -- 0.042),-14 (16 -- -3.9)
Lubelskie,17 (1 -- 378),Likely decreasing,0.85 (0.46 -- 1.5),-0.043 (-0.16 -- 0.13),-16 (5.3 -- -4.3)
Lubuskie,9 (0 -- 801),Likely decreasing,0.88 (0.32 -- 2.2),-0.033 (-0.21 -- 0.29),-21 (2.4 -- -3.3)
Mazowieckie,3 (0 -- 87),Likely decreasing,0.74 (0.23 -- 1.4),-0.074 (-0.24 -- 0.12),-9.3 (6 -- -2.8)
Małopolskie,0 (0 -- 11),Likely decreasing,0.42 (0.0088 -- 1.3),-0.18 (-0.37 -- 0.081),-3.9 (8.6 -- -1.9)
Mecklenburg-Vorpommern,49 (0 -- 477),Likely decreasing,0.92 (0.28 -- 1.5),-0.023 (-0.23 -- 0.12),-30 (5.9 -- -3)
North Rhine-Westphalia,97 (12 -- 307),Likely decreasing,0.85 (0.52 -- 1.1),-0.043 (-0.15 -- 0.015),-16 (45 -- -4.8)
Opolskie,0 (0 -- 30),Likely decreasing,0.67 (0.079 -- 1.5),-0.095 (-0.32 -- 0.12),-7.3 (5.6 -- -2.2)
Podkarpackie,9 (0 -- 224),Likely decreasing,0.83 (0.14 -- 1.6),-0.047 (-0.29 -- 0.15),-15 (4.6 -- -2.4)
Podlaskie,0 (0 -- 69),Likely decreasing,0.57 (0.015 -- 1.9),-0.13 (-0.36 -- 0.23),-5.5 (3 -- -1.9)
Poland,104 (41 -- 793),Likely decreasing,0.83 (0.67 -- 1.3),-0.049 (-0.096 -- 0.074),-14 (9.4 -- -7.2)
Pomorskie,1 (0 -- 38),Likely decreasing,0.71 (0.12 -- 1.3),-0.084 (-0.3 -- 0.065),-8.2 (11 -- -2.3)
Rhineland-Palatinate,70 (0 -- 7060),Stable,0.91 (0.13 -- 2.7),-0.024 (-0.3 -- 0.4),-29 (1.7 -- -2.3)
Saarland,1 (0 -- 50),Likely decreasing,0.73 (0.0047 -- 1.6),-0.076 (-0.37 -- 0.16),-9.1 (4.4 -- -1.9)
Saxony,23 (0 -- 649),Likely decreasing,0.75 (0.14 -- 1.7),-0.073 (-0.29 -- 0.17),-9.5 (4.1 -- -2.4)
Saxony-Anhalt,644 (8 -- 52365),Likely increasing,1.2 (0.35 -- 4.1),0.061 (-0.2 -- 0.67),11 (1 -- -3.4)
Schleswig-Holstein,50 (0 -- 1759),Likely decreasing,0.86 (0.14 -- 2.1),-0.039 (-0.29 -- 0.27),-18 (2.6 -- -2.4)
Thuringia,37 (0 -- 333),Likely decreasing,0.85 (0.29 -- 1.3),-0.041 (-0.22 -- 0.077),-17 (9 -- -3.1)
Warmińsko-Mazurskie,8 (0 -- 897),Likely decreasing,0.87 (0.36 -- 2.1),-0.037 (-0.2 -- 0.27),-19 (2.5 -- -3.5)
Wielkopolskie,29 (0 -- 945),Likely decreasing,0.86 (0.26 -- 1.8),-0.038 (-0.24 -- 0.2),-18 (3.4 -- -2.9)
Zachodniopomorskie,0 (0 -- 14),Likely decreasing,0.64 (0.056 -- 1.2),-0.11 (-0.33 -- 0.062),-6.6 (11 -- -2.1)
Łódzkie,2 (0 -- 42),Likely decreasing,0.74 (0.083 -- 1.3),-0.075 (-0.32 -- 0.085),-9.3 (8.2 -- -2.2)
Śląskie,14 (0 -- 1647),Likely decreasing,0.88 (0.47 -- 2.5),-0.034 (-0.16 -- 0.36),-20 (1.9 -- -4.3)
Świętokrzyskie,2 (0 -- 130),Likely decreasing,0.76 (0.23 -- 1.7),-0.07 (-0.25 -- 0.18),-9.9 (3.9 -- -2.7)
